claim	status	scope	open_boundary
positive_static_metric_embeds_in_regular_global_hyperboloid	DERIVED_CONDITIONAL	G304_R0_positive_centered_family	other_global_quotients_and_nonspherical_completion
positive_static_zero_is_observer_horizon_not_material_boundary	DERIVED_CONDITIONAL	standard_connected_global_completion	physical_population_and_G17_foundation
positive_global_spatial_slice_is_compact_S3	DERIVED_CONDITIONAL	standard_simply_connected_completion	topology_change_and_quotients
zero_standard_spatial_slice_is_R3	DERIVED_CONDITIONAL	bounded_centered_completion	compact_quotients_outside_scope
negative_causal_cover_spatial_slice_is_H3_like_R3	DERIVED_CONDITIONAL	standard causal universal cover	other_quotients_and_boundary conditions
nontrivial_Hopf_class_exists_on_positive_slice	DERIVED_MATHEMATICAL_EXISTENCE	explicit_S3_to_S2_map	physical map target and population
Hopf_integer_is_scale_and_slice_independent	DERIVED_CONDITIONAL	explicit supplied map on regular product slicing	dynamics stability and topology change
null_optical_tidal_matrix_is_constant_sector_blind	DERIVED_CONDITIONAL	constant_curvature null screen	general nonspherical histories
celestial_Euler_number_is_sign_blind	DERIVED_CONDITIONAL	full observer sky TS2	pair_screen_identification
historical_outer_boundary_scaffold_removed	DERIVED_CONDITIONAL	positive compact domain only	remaining target action and field scaffolds
positive_sector_independent_history_selection	NOT_DERIVED	bounded result	same_geometry_consistency_only
curvature_magnitude_mass_or_physical_Xmax	OPEN	all_positive_X	needs_independent_owned_law_or_anchor
metric_or_kernel_change	NONE	G305	unchanged
