target	source	line	column	source_immutability	operational_scope	reference_role	corrected_scanner	literal_git_grep	agreement
AUDIT.md	AUDIT.md	238	53	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	CANON.md	63	50	HARD_FROZEN_SOURCE	YES	ROOT_BASENAME_REFERENCE	MATCH	MATCH	YES
AUDIT.md	HANDOFF_ARCHIVE.md	340	39	MUTABLE_NAVIGATION_SOURCE	YES	ROOT_BASENAME_REFERENCE	MATCH	MATCH	YES
AUDIT.md	HANDOFF_ARCHIVE.md	364	51	MUTABLE_NAVIGATION_SOURCE	YES	ROOT_BASENAME_REFERENCE	MATCH	MATCH	YES
AUDIT.md	HANDOFF_ARCHIVE.md	1141	10	MUTABLE_NAVIGATION_SOURCE	YES	ROOT_BASENAME_REFERENCE	MATCH	MATCH	YES
AUDIT.md	HANDOFF_ARCHIVE.md	1400	49	MUTABLE_NAVIGATION_SOURCE	YES	ROOT_BASENAME_REFERENCE	MATCH	MATCH	YES
AUDIT.md	STATE.md	1045	8	MUTABLE_NAVIGATION_SOURCE	YES	ROOT_BASENAME_REFERENCE	MATCH	MATCH	YES
AUDIT.md	archive/INDEX_pre_simple_metric_WR_L_2026-07-09.md	93	99	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	ROOT_BASENAME_REFERENCE	MATCH	MATCH	YES
AUDIT.md	archive/LIVE_2026-07-06_EOD1_readout_provenance_arc.md	37	109	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	ROOT_BASENAME_REFERENCE	MATCH	MATCH	YES
AUDIT.md	archive/LIVE_historical_frontier_through_2026-07-08.md	162	49	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	ROOT_BASENAME_REFERENCE	MATCH	MATCH	YES
AUDIT.md	archive/RECON_A_cosmology.md	7	61	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	ROOT_BASENAME_REFERENCE	MATCH	MATCH	YES
AUDIT.md	archive/RECON_A_cosmology.md	195	12	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	ROOT_BASENAME_REFERENCE	MATCH	MATCH	YES
AUDIT.md	archive/macro_contamination_map.md	8	16	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	ROOT_BASENAME_REFERENCE	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	5	1942	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	5	1972	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	193	169	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	ROOT_BASENAME_REFERENCE	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	258	818	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	298	49	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	326	37	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	326	167	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	373	49	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	375	37	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	375	134	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	375	182	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	375	282	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	375	750	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	439	55	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	439	170	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	439	227	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	439	264	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	439	404	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	439	574	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	439	756	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	512	450	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	ROOT_BASENAME_REFERENCE	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	537	1045	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	537	1099	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	566	524	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	640	820	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	640	869	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	642	5433	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	ROOT_BASENAME_REFERENCE	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	843	4031	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	843	4061	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	843	6503	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	843	6531	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	843	6559	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	843	6617	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	843	6645	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	843	6673	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	843	11536	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	843	11943	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	843	20745	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	843	20775	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	843	27361	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	843	34398	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	843	34428	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	843	34531	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	843	40151	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	843	40181	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	843	40211	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	843	40282	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	843	40312	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	843	40348	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	843	40378	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	843	40408	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	843	40464	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	843	41862	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	843	42066	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	844	721	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	846	1526	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	908	2518	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	917	45	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	917	702	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	917	950	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
