target	source	line	column	source_immutability	source_formally_frozen	forensic_scope	operational_scope	reference_role	line_excerpt
AUDIT.md	AUDIT.md	238	53	SOFT_EVIDENCE_PATH_ONLY_SOURCE	NO	YES	YES	QUALIFIED_PATH_SUFFIX	- Predecessor: `dispatch_D_CMB_EE_AMPLITUDE_RUNG2_1/AUDIT.md` §E6 (radial R(ℓ) ℓ-flat — the radial half; this dispatch closes the angular half).
AUDIT.md	CANON.md	63	50	HARD_FROZEN_SOURCE	YES	YES	YES	ROOT_BASENAME_REFERENCE	**Provenance:** macro_sector_fork_resolution.md; AUDIT.md (S116 weld
AUDIT.md	HANDOFF_ARCHIVE.md	340	39	MUTABLE_NAVIGATION_SOURCE	NO	YES	YES	ROOT_BASENAME_REFERENCE	>    solvers refine the CMB models in AUDIT.md; SPARC needs dim-baryon distribution + infinite-time
AUDIT.md	HANDOFF_ARCHIVE.md	364	51	MUTABLE_NAVIGATION_SOURCE	NO	YES	YES	ROOT_BASENAME_REFERENCE	> - Provenance: commit scripts WITH results docs; AUDIT.md / step0_bridge*.py / dpf_verify_indep.py are
AUDIT.md	HANDOFF_ARCHIVE.md	1141	10	MUTABLE_NAVIGATION_SOURCE	NO	YES	YES	ROOT_BASENAME_REFERENCE	F5 CC, AUDIT.md CC, scale_symmetry/macro_fork/weld×2/lepton_ladder SUPERSEDED. **PROVENANCE FLOOR CLOSED BOTH SIDES.**
AUDIT.md	HANDOFF_ARCHIVE.md	1400	49	MUTABLE_NAVIGATION_SOURCE	NO	YES	YES	ROOT_BASENAME_REFERENCE	- Provenance: commit scripts WITH results docs; AUDIT.md / step0_bridge*.py / dpf_verify_indep.py are
AUDIT.md	STATE.md	1045	8	MUTABLE_NAVIGATION_SOURCE	NO	YES	YES	ROOT_BASENAME_REFERENCE	CMB in AUDIT.md refined by the new solvers; SPARC dim-baryon + infinite-time stellar; SNe ~unchanged).
AUDIT.md	archive/INDEX_pre_simple_metric_WR_L_2026-07-09.md	93	99	SOFT_EVIDENCE_PATH_ONLY_SOURCE	NO	YES	YES	ROOT_BASENAME_REFERENCE	**Verifier requirements:** `CROSS_MODEL_VERIFY.md` (cross-tier blind verify) · `PROVENANCE.md` · `AUDIT.md` [CC 2026-07-06 — stale header, see doc banner].
AUDIT.md	archive/LIVE_2026-07-06_EOD1_readout_provenance_arc.md	37	109	SOFT_EVIDENCE_PATH_ONLY_SOURCE	NO	YES	YES	ROOT_BASENAME_REFERENCE	X=−2e5 kluge; F5 CC; scale_symmetry_bootstrap / macro_sector_fork / weld×2 / lepton_ladder_test SUPERSEDED; AUDIT.md
AUDIT.md	archive/LIVE_historical_frontier_through_2026-07-08.md	162	49	SOFT_EVIDENCE_PATH_ONLY_SOURCE	NO	YES	YES	ROOT_BASENAME_REFERENCE	- Provenance: commit scripts WITH results docs; AUDIT.md / step0_bridge*.py / dpf_verify_indep.py are
AUDIT.md	archive/RECON_A_cosmology.md	7	61	SOFT_EVIDENCE_PATH_ONLY_SOURCE	NO	YES	YES	ROOT_BASENAME_REFERENCE	the S99/S104/S105 audits), macro_sector_fork_resolution.md, AUDIT.md (EE dispatch),
AUDIT.md	archive/RECON_A_cosmology.md	195	12	SOFT_EVIDENCE_PATH_ONLY_SOURCE	NO	YES	YES	ROOT_BASENAME_REFERENCE	closed (AUDIT.md, D-CMB-EE-PROJECTION-SPIN-1, S116):**
AUDIT.md	archive/macro_contamination_map.md	8	16	SOFT_EVIDENCE_PATH_ONLY_SOURCE	NO	YES	YES	ROOT_BASENAME_REFERENCE	Recon sources: AUDIT.md (S116), /home/udt-admin/UDT canonical geometry +
AUDIT.md	archive/udt_active_results.md	5	1942	SOFT_EVIDENCE_PATH_ONLY_SOURCE	NO	YES	YES	QUALIFIED_PATH_SUFFIX	> **⚠ S99-010 canonicalization + wave-equation-CMB purge banner (2026-05-26 late evening):** Per S99-009 operator-class Gate 8 catch + S99-010 canonical-record-edit, the canonical CMB observable kernel at canonical UDT is the **pure-Bessel kinematic projection** $\Delta_\ell(k) = \int_0^{r_{\rm CMB}} dr\, \mathcal{W}(r)\, j_\ell(k r)$ with $\mathcal{W}(r) = r^2 e^{-3\phi_0(r)}$ (algebraic; sympy-verified at canonical content; NO wave equation). The §229 frame-relation form stands; the kernel rea
