source	immutability_class	forensic_occurrences	operational_occurrences	candidate_targets	root_basename_occurrences	qualified_suffix_occurrences	source_sha256_at_base
.claude/hooks/corral_trigger.py	RUNTIME_OR_MANIFEST_IMMUTABLE	7	7	CLAUDE.md;COGNITIVE_CORRAL_TRIGGERS_SETUP.md;LIVE.md	7	0	fb2b9eeaa9c06431ec38af993324649deaf7a5a150166757587022a08c73cc0f
.claude/skills/verifier-before-record/SKILL.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	1	1	CROSS_MODEL_VERIFY.md	1	0	c9928f141171e2c5913add6399c2706d25de47a41074db1eac4dc4689742bad5
AGENTS.md	MUTABLE_NAVIGATION_SOURCE	9	9	CANON.md;CLAUDE.md;HANDOFF.md;INDEX.md;LIVE.md	9	0	bf95a1ddfdfd3beb22d2bdc8387ee9604c99d0303335f2adf9525b7c647ff86a
AUDIT.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	1	1	AUDIT.md	0	1	0e36df7cbd2e2198fa1a9785f6c8d9b5054fc42b24a1dfb1a44244ca331942ec
CANON.md	HARD_FROZEN_SOURCE	11	11	AUDIT.md;PROVENANCE.md;angular_lagrangian_results.md;angular_lagrangian_verifier_results.md;external_input_notes.md;native_stabilizer_results.md;ns_scan_results.md;ns_scan_verifier_results.md;relativistic_metric_rederivation_results.md;seal_junction_condition_results.md;solution_space_map.md	11	0	5d99c0ba09fcee0429a34ac6b3dda4faff489b7d214b622fcbd286deb3785314
CLAUDE.md	MUTABLE_NAVIGATION_SOURCE	29	29	CANON.md;CLAUDE.md;COGNITIVE_CORRAL_TRIGGERS_SETUP.md;FOUNDATIONAL_ASSUMPTIONS_LEDGER.md;HANDOFF.md;INDEX.md;LIVE.md;NEGATIVES_REGISTRY.md;STATE.md;dimension_ladder_null_audit.md;legacy_hadron_survivor_filter.md;mass_emergence_canonical_geometry.md;negative_phi_native_geometry.md;particle_spectrum_native_geometry.md;udt_canonical_geometry.md	29	0	25838399458a34573fb4bc9dd4a211de8142eabb682ba382822aad57ba019b45
COGNITIVE_CORRAL_TRIGGERS_SETUP.md	MUTABLE_NAVIGATION_SOURCE	18	18	CLAUDE.md;HANDOFF.md;LIVE.md;STATE.md	18	0	0d5a008470726a54745f5e35f94e27ef0d40554a9569b89d2e99a9c4e45f9fda
D1_FIX_DESIGN.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	1	1	D1_FIX_DESIGN.md	0	1	57a4d86c84f5a042a9ff1ed739440e2648aafae6b5f962377e9c57481d78d964
F2_closure_results.md	HARD_FROZEN_SOURCE	5	5	CANON.md;F2_matter_action_forcedness_results.md;FOUNDATIONAL_ASSUMPTIONS_LEDGER.md;MATTER_SECTOR_MAP_new_foundation.md;matter_regrade_derived_operator_results.md	5	0	976edc403b9bcb7be392dbe48ae67d3eef051ae46f0ff5e43c061a5e38b9ad35
F2_matter_action_forcedness_results.md	HARD_FROZEN_SOURCE	3	3	CANON.md;angular_lagrangian_results.md;scale_symmetry_bootstrap_analysis_results.md	3	0	1d1b852312615516910d489a67d9c9c8f445812678df19dbbe67e2b08cd2d1b2
F4_seal_boundary_MAP.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	13	13	CANON.md;F0_SYSTEMATIC_AUDIT_results.md;P5e_proper_results.md;w6_results.md;w7_results.md	13	0	7ea689de0fa792b63fa9246865925240311e119106a61aa5e89b958eed93f064
F5_critical_universe_closure_results.md	HARD_FROZEN_SOURCE	7	7	CANON.md;F0_SYSTEMATIC_AUDIT_results.md;FOUNDATIONAL_ASSUMPTIONS_LEDGER.md;scale_symmetry_bootstrap_analysis_results.md;seal_junction_condition_results.md	7	0	16f800d165ae5abf10af3737cb4626e69c1df62c8cfccfa124ff5793d9548599
F6_postulate_A_ledger_results.md	HARD_FROZEN_SOURCE	4	4	F0_SYSTEMATIC_AUDIT_results.md;FOUNDATIONAL_ASSUMPTIONS_LEDGER.md;QUANTIZATION_MAP.md	4	0	268bc7434dc2634785bb07c13b02ed43c34ac646ce9e955a9e40d298a13e64b8
F7_scale_bridge_native_results.md	HARD_FROZEN_SOURCE	3	3	CANON.md;FOUNDATIONAL_ASSUMPTIONS_LEDGER.md;scale_symmetry_bootstrap_analysis_results.md	3	0	52551c529dfc99af9f2f12efbc8e7575f8f49a3efdac326018b266b29ea056a7
F8_metric_choices_results.md	HARD_FROZEN_SOURCE	5	5	CANON.md;FOUNDATIONAL_ASSUMPTIONS_LEDGER.md;P5e_proper_results.md;native_dilation_weight_derivation_results.md;relativistic_metric_rederivation_results.md	5	0	815f90c3c8a69158d021404065f31bd8f1ce892eb0e542f259c88a9c211b62d5
FOUNDATIONAL_ASSUMPTIONS_LEDGER.md	MUTABLE_NAVIGATION_SOURCE	10	10	CANON.md;F0_SYSTEMATIC_AUDIT_results.md;F2_matter_action_forcedness_results.md;HANDOFF.md;LIVE.md;P5e_proper_results.md;matter_regrade_derived_operator_results.md;native_dilation_weight_derivation_results.md;scale_symmetry_bootstrap_analysis_results.md;seal_junction_condition_results.md	10	0	405edaf2302d5a9f8ed1cc2de48714fad0265b7eb310c8fc93c92567067cc480
H4_N5_whole_cell_criticality_MAP.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	8	8	CANON.md;F7_scale_bridge_native_results.md;LIVE.md;NEGATIVES_REGISTRY.md	8	0	4c0e37a689b541bc0a95846cbe4ec982d61682a413e357f1a76e83ba7c10cfd8
H4_N5a_whole_cell_criticality_rederivation_results.md	HARD_FROZEN_SOURCE	3	3	F7_scale_bridge_native_results.md;NEGATIVES_REGISTRY.md	3	0	7ec48597033bbbc20abe96bb49a043cf1fe573212d6e89868790b92e3b7898bc
H4_N5b_flux_budget_closure_results.md	HARD_FROZEN_SOURCE	1	1	NEGATIVES_REGISTRY.md	1	0	4834122f529845d8093f0005f74047f06274b074d24d9f1d75a8e82a84b5d4da
H4_backreaction_mass_MAP.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	5	5	CANON.md;F7_scale_bridge_native_results.md;phase1_geon_results.md;w8_results.md	5	0	b85beb966de629438357d83deb1be9f5fb1c1049e1a01cfc58ed3f24b15358d2
HANDOFF.md	MUTABLE_NAVIGATION_SOURCE	14	14	CANON.md;CLAUDE.md;HANDOFF_ARCHIVE.md;LIVE.md;NEGATIVES_REGISTRY.md	14	0	ce81416f91c506427ac4470c15bdb332aae140353e727e228cc9c8acab5d3c9e
HANDOFF_ARCHIVE.md	MUTABLE_NAVIGATION_SOURCE	84	84	AUDIT.md;CANON.md;CLAUDE.md;F0_SYSTEMATIC_AUDIT_results.md;F2_matter_action_forcedness_results.md;FOUNDATIONAL_ASSUMPTIONS_LEDGER.md;HANDOFF.md;HANDOFF_ARCHIVE.md;INDEX.md;LIVE.md;NEGATIVES_REGISTRY.md;P1_PURITY_HARNESS_MAP.md;P5e_proper_results.md;SOLVER_INTEGRITY_UPGRADES_SPEC.md;STATE.md;matter_regrade_derived_operator_results.md;native_dilation_weight_derivation_results.md;p1_purity_harness_results.md;p2_operator_from_action_results.md;p3_discipline_skills_results.md;p4_cross_model_verify_results.md;p5_live_state_shrink_results.md;scale_symmetry_bootstrap_analysis_results.md;seal_junction_condition_results.md;udt_canonical_geometry.md	84	0	23340d081d4b52d1fbb7f019f0240d79891ca2c67ccd438698c7e29ef0cc85ec
INDEX.md	MUTABLE_NAVIGATION_SOURCE	16	16	CANON.md;CLAUDE.md;HANDOFF.md;HANDOFF_ARCHIVE.md;LIVE.md;NEGATIVES_REGISTRY.md	16	0	42e334e9c046ca9aa4e568914ccb61d15d97744f40d15ea11e4ac53199d91a06
J_of_s_light_deflection_confrontation_MAP.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	LIVE.md;native_dilation_weight_derivation_results.md	2	0	10e0f00f1641b9c9f899f7ac7ee7ce59cfec887ed909df15e400033cf3cc5b0c
LIVE.md	MUTABLE_NAVIGATION_SOURCE	7	7	CANON.md;CLAUDE.md;HANDOFF.md;HANDOFF_ARCHIVE.md;LIVE.md	7	0	f0d2d89c29111d145e756a8c486d0c58f9b114e473920b3ba81ea7c6851d49e9
MATTER_SECTOR_MAP_new_foundation.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	5	5	CANON.md;FOUNDATIONAL_ASSUMPTIONS_LEDGER.md;angular_lagrangian_results.md;native_dilation_weight_derivation_results.md;scale_symmetry_bootstrap_analysis_results.md	5	0	11ed3645af15a3cb6035b1bf6619477d0a8f253f92ada35093204e31eec762b0
MEMORY.md	MUTABLE_NAVIGATION_SOURCE	3	3	LIVE.md	3	0	8ad497a134c2182512fdbd1d9acf46d06409ece782135bdd13900397fad0740b
N5d_solver_build_plan.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	1	1	CLAUDE.md	1	0	ce8d8fd3733e776d1b19fc0d96cd76e52221277b6db10d5303450e6f89d156b8
NEGATIVES_REGISTRY.md	MUTABLE_NAVIGATION_SOURCE	49	49	CANON.md;CLAUDE.md;LIVE.md;STATE.md;angular_completeness_results.md;branchP_solver_floor_xcontinuation_results.md;exterior_cavity_results.md;kap8_characterization_complete_solver_results.md;measure_fork_results.md;native_stabilizer_results.md;nonstationary_opener_results.md;ns_scan_verifier_results.md;open_domain_discreteness_results.md;p_domain_closure_attempt_results.md;pde_p1_results.md;phase1_geon_results.md;phase2a_rotation_results.md;phase2b_ensemble_results.md;seal_junction_condition_results.md;sector_weight_spectral_probe_results.md;solution_space_map.md;sourced_second_jet_results.md;tier_d_round2_results.md;tier_d_round3_results.md;udt_canonical_geometry.md;w3_results.md;w4_results.md;w5_results.md;w6_results.md;w7_results.md;w8_results.md;w_alg_results.md;w_stiffness_results.md;w_whole_results.md;weld_interface_mode_results.md;weld_status_results.md;weld_two_sided_results.md	49	0	981786b260b2671fdd66638b4b64d9c40a0994c1a1e09bb33f461751593d7cdc
P1_PURITY_HARNESS_MAP.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	3	3	LIVE.md;SOLVER_INTEGRITY_UPGRADES_SPEC.md;p1_purity_harness_results.md	3	0	0219b6a21f3bd953dae4aa9613abd0acd1704b042ce5e8b63f9ca9b7defe7c32
P5e_proper_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	1	1	native_dilation_weight_derivation_results.md	1	0	d9f0da3604c6c304d4537d940d69e49bf98b6271b8b2ac336db9ba9dbaa2b0a8
PURSUIT_CHARTER_2026-07-04.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	3	3	CLAUDE.md;HANDOFF.md;LIVE.md	3	0	90c4c54e58e8f7db31cd39239a8c67ffd0e84773a3a9d2003ebc8784323054da
README.md	MUTABLE_NAVIGATION_SOURCE	13	13	CANON.md;HANDOFF.md;INDEX.md;LIVE.md;NEGATIVES_REGISTRY.md;PROVENANCE.md	13	0	d3efea890bc3876aa3ba56cc8096dae96aad9f06572ffb075df2489e812ae599
REORGANIZATION_R0_PREREG_2026-07-18.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	9	9	CANON.md;CLAUDE.md;HANDOFF.md;INDEX.md;LIVE.md	9	0	dce487c438f597dc267bd7c2fed4eb908442c9b133747f1255ea6b78dd4e4b87
SOLVER_INTEGRITY_UPGRADES_SPEC.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	6	6	CLAUDE.md;HANDOFF.md;LIVE.md;STATE.md	6	0	f105bdb094d361c40046c688ca2428bf6e2f620e85915ee9c68962232a3b2312
STATE.md	MUTABLE_NAVIGATION_SOURCE	80	80	AUDIT.md;CANON.md;CLAUDE.md;FOUNDATIONAL_ASSUMPTIONS_LEDGER.md;HANDOFF.md;INDEX.md;LIVE.md;NEGATIVES_REGISTRY.md;P5e_proper_results.md;QUANTIZATION_MAP.md;angular_lagrangian_results.md;angular_lagrangian_verifier_results.md;dimension_ladder_null_audit.md;exterior_cavity_results.md;lepton_ladder_falsification_contract.md;n_derivation_results.md;native_stabilizer_results.md;negative_phi_native_geometry.md;nonstationary_opener_results.md;open_domain_discreteness_results.md;p1_VERIFIER.md;p2_VERIFIER.md;p2_matter_fullmetric_results.md;p3_VERIFIER.md;p3_aphi_FIX_results.md;p3_aphi_coupling_results.md;p4_VERIFIER.md;p4_time_live_results.md;p5_solver_survey_results.md;p_domain_closure_attempt_results.md;particle_spectrum_native_geometry.md;pde_p1_results.md;phase1_geon_results.md;seal_junction_condition_results.md;sector_weight_spectral_probe_results.md;sourced_second_jet_results.md;tier_d_round2_results.md;tier_d_round3_results.md;udt_canonical_geometry.md;udt_field_equations_derivation_results.md;w2_uncovering_results.md;w3_results.md;w4_results.md;w5_results.md;w_stiffness_results.md;weld_interface_mode_results.md;weld_status_results.md;weld_two_sided_results.md	80	0	a964ec91c1afe5e5144cc2ed05d5ee49d0a6ab141551bb45e45b30720b09d066
STEP2_timelive_matter_MAP.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	4	4	F2_matter_action_forcedness_results.md;matter_regrade_derived_operator_results.md;native_dilation_weight_derivation_results.md;scale_symmetry_bootstrap_analysis_results.md	4	0	44447c0269c1712f2afe47497c89c2b6e908ba15e1e28735463dd0254f1ab715
STRUCTURE_HYGIENE.md	MUTABLE_NAVIGATION_SOURCE	2	2	CLAUDE.md	2	0	a59ff2cad96aba64cdf3d37f73c557382ba316d49deb1097b33c7cf9b40aeae3
UDT_F_POSTRETURN_AUDIT_AND_CODEX_TRANSITION_DISPATCH.md	HARD_FROZEN_SOURCE	13	13	CANON.md;CLAUDE.md;HANDOFF.md;INDEX.md;LIVE.md	13	0	eda3f3c2b0e03a37a58ffd0ba74b08384a986db3d041d25c03d6c685e7b8ede7
UDT_GR_TO_UDT_SELECTOR_AUDIT_PREREG_2026-07-18.md	HARD_FROZEN_SOURCE	3	3	HANDOFF.md;INDEX.md;LIVE.md	3	0	6a835388e8f7a82a4bb4b9496f99c4a5e4181f5e5ccb2637641a1b4346922cc6
UDT_H3_BOUNDARY_AUDIT_PATCH_THEN_F_DISPATCH.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	8	8	CANON.md;HANDOFF.md;LIVE.md	8	0	1108767722d32250bbb46396dd54c9c915b591cbd07b2d3e0b95db24737d3f5c
UDT_H3_BOUNDARY_VIRIAL_CLOSURE_BEFORE_F_DISPATCH.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	6	6	CANON.md;HANDOFF.md;LIVE.md	6	0	ab974da9b841eae9b9c7d2c2684765820afedddb095d320ff696961c7f70526e
UDT_H3_CORRECTED_G_THEN_F_SEQUENCING_DISPATCH.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	6	6	CANON.md;HANDOFF.md;LIVE.md	6	0	c0882cc4a2233b6278bb1e573f30ac43e67141301c4a3933ba6722652a038d9f
UDT_H3_STATIC_MASS_BACKREACTION_DISPATCH.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	3	3	LIVE.md	3	0	546e91e5d09b4131ddbcba608a2583e952cdcb99237353b33e47b50fd2c4b5f4
UDT_NATIVE_ACTION_ARM_C_INPUT_SHA256SUMS_2026-07-18.txt	HARD_FROZEN_SOURCE	2	2	CANON.md;udt_field_equations_derivation_results.md	0	2	010e7922423ab724467d94f6408425905fb872c5ccaebc5fa5941fc66080f2dc
UDT_NATIVE_ACTION_COLD_PACKET.md	HARD_FROZEN_SOURCE	1	1	CANON.md	1	0	d38232792ac78188687db433a3f60a08c775c46e9ecf5fc42ad7953dc89fadb0
UDT_NATIVE_ACTION_DERIVATION_DISPATCH.md	HARD_FROZEN_SOURCE	2	2	CANON.md;udt_field_equations_derivation_results.md	2	0	9b7c172a395084bf9a7fede33a261de7a61ca7704c3650e9b7828f9ec814b668
UDT_NATIVE_ACTION_STAGE2_A1_A6_SHA256SUMS_2026-07-18.txt	HARD_FROZEN_SOURCE	2	2	CANON.md;udt_field_equations_derivation_results.md	2	0	85776969410e6dc8bee6b1aa901331dcc139e718dbdfd28c593df3f2054408b7
