source_id	sha256	bytes	path
S01	ea15d0f0dc344c566309a7f95cff4b0efc5d182f58858de5b0076857b746d64d	11408	udt_uncompressed_pair_kernel_reconstruction_2026-08-14/EXACT_DERIVATION.md
S02	45fa4a9a2a7ff911e3abf20ceae33eb88b2622c9201b4e0c63e9f63693fb9a13	4845	udt_uncompressed_pair_kernel_reconstruction_2026-08-14/AUDIT_REPORT.md
S03	19cafc48140aaee8fdd7fbb510a68f48f1528c67d2d71d185774e220945d58c9	8872	udt_g141_endpoint_triangular_transition_inverse_join_2026-08-17/EXACT_DERIVATION.md
S04	aac5a2ec5c4ed4ea508aff4f65514e54e8d0502980c49f57f3595560596bd96d	2692	udt_g142_abstract_carrier_physical_carry_join_2026-08-17/AUDIT_REPORT.md
S05	e89a2d283ccf5685cbef8a20ad03c9855586c54d8f3c1717b2fd31b26db65d30	1763	udt_g143_single_pair_domain_carry_ownership_2026-08-17/AUDIT_REPORT.md
S06	bab96c51b5cf2bb4e57e78e16b18e604eb33f8950a0097f3b225023920b5e1fd	8160	udt_g145_copresent_relation_history_descent_equivalence_2026-08-17/EXACT_DERIVATION.md
S07	14498cb47337face0529524c83e0241a3124a50ff072aa760e2e2133513be843	4608	udt_g156_three_observer_scale_carry_audit_2026-08-18/AUDIT_REPORT.md
S08	e31bdb39d09883fb191ecc0ca1ef720dfa0014c3eea8f81724188baec99f760f	4608	udt_g157_regime_dependent_channel_balance_regrading_2026-08-18/AUDIT_REPORT.md
S09	cd7ab9444d897e12f68c12f2aac005c50853ece1b850c51c0916b373aa633fb2	6406	udt_g157_regime_dependent_channel_balance_regrading_2026-08-18/EXACT_DERIVATION.md
S10	5621bd2922f17b07a379e829a9776f0f91dd4921bc91b5512661b064526cdf5f	8572	CURRENT_RESEARCH_PROGRAM.md
