item	status	use	guard
primary static-spherical areal metric	DERIVED_CONDITIONAL	bounded arena	not full time-live metric
real phi and positive f	FREE_AND_EXPLORED	complete signed local profile space	finite sign is not a singularity
phi less than zero iff f greater than one	DERIVED_DEFINITIONAL	negative-sector label	no physical selection
areal radial chart	CHOSE	center and asymptotic classifier	chart scope explicit
smooth-center classifier	CONDITIONAL_GEOMETRIC_CLASSIFIER	finite curvature at r zero	not a universal population law
asymptotic flatness	CONDITIONAL_GEOMETRIC_CLASSIFIER	classify bump family	not founded history law
static-slice completeness	CONDITIONAL_GEOMETRIC_CLASSIFIER	classify radial proper length	not full Lorentzian completeness theorem
bounded scalar and Kretschmann curvature	CONDITIONAL_GEOMETRIC_CLASSIFIER	classify growth ends	not imported dynamics
negative bump epsilon and L	FREE_AND_EXPLORED	counterfamily parameters	no fit or physical calibration
growth C and alpha	FREE_AND_EXPLORED	asymptotic class parameters	no preferred exponent
geometric mass aspect	DERIVED_CHANGE_OF_VARIABLES	possible diagnostic	not physical mass or positivity gate
observations source action matter Xmax	OMITTED	none	no imported mechanism or value
