object	exact result	ownership	forbidden promotion
negative sign	phi less than zero iff f greater than one	DERIVED_DEFINITIONAL	physical selection
finite negative region	no automatic signature or determinant failure	DERIVED_CONDITIONAL	universal global regularity
negative bump	arbitrarily deep finite smooth asymptotically flat counterfamily	FREE_AND_EXPLORED_WITNESS	physical history
scalar curvature	-f_second-4f_first/r-2(f-1)/r^2	DERIVED_CONDITIONAL	field equation
Kretschmann	f_second^2+4(f_first/r)^2+4((f-1)/r^2)^2	DERIVED_CONDITIONAL	dynamics
Einstein channels	geometric diagnostics of supplied metric	DERIVED_CONDITIONAL	physical source or mass
power end	f asymptotic to C(r/L)^alpha	CHOSE_CONDITIONAL_CLASSIFIER	universal asymptotic law
alpha two	finite nonzero curvature and acceleration with logarithmically infinite radial length	DERIVED_CONDITIONAL	selected endpoint
alpha six	spatial volume threshold	DERIVED_CONDITIONAL	physical population gate
G201 intersection	f=1+C(r/L)^2 has Aparallel=Aperp=0	DERIVED_CONDITIONAL_INTERSECTION	unique physical universe
Xmax history dynamics	no result	OPEN	inference from threshold coincidence
