object	status	role
G205_base_family	DERIVED_CONDITIONAL	supplied complete base for global tests
arbitrary_positive_spatial_hA	CONDITIONAL_CONFIGURATION_ARENA	full local shift theorem
G205_time_foliation	PINNED_BY_DECLARED_REALIZATION	ADM decomposition
full_three_component_shift_b	CHOSE_EXTENSION_CLASS	one complete local sector
growth_and_subluminal_bounds	FREE_AND_EXPLORED	survivor strata
radial_failure_profile	CHOSE_CONTROL	incompleteness witness only
geometric_evaluators	STANDARD_GEOMETRIC_EVALUATOR	causal and affine classification
completed_pair_dual_reciprocity	WORKING_FOUNDATIONAL_CLARIFICATION	post-pullback scalar
tracechange_lapse_full_spatial_history	OMITTED_OPEN	outside bounded global theorem
Xmax_action_source_transfer_observations	OMITTED_OPEN	forbidden inputs
