source_id	path	role	git_blob	sha256	size_bytes
S01	udt_bootstrap_to_local_response_map_audit_2026-07-25/EXACT_DERIVATION.md	controlling_two_arrow_response_architecture_and_density_curvature_result	783704fa943e45995d459b4b32abec8ad20dfb9a	c677aeb41e74d8d91978d661cd68db428d497a4bdf91c7a5ef78938c2e361fd4	9425
S02	udt_bootstrap_clock_angular_closure_audit_2026-07-24/AUDIT_REPORT.md	clock_tidal_kernel_projector_and_bootstrap_response_gap	8bc8f4e138856b566b96eb428beda01505654cc3	d1950defd5397be0d75bbcbb4c747e8e4969852c1ed73840d9402824de169551	4769
S03	udt_pre_density_substrate_response_atlas_2026-07-24/AUDIT_REPORT.md	angular_metric_lattice_connection_and_conditional_carrier_response	ab23332f28e1a57ff44b662f222703408985ed1e	8f3a3947ce8421b53c95285266421f45df354c2bb5a6f96c6c5d6129e89f7d5a	8983
S04	udt_global_metric_assembly_atlas_2026-07-22/AUDIT_REPORT.md	projector_transport_global_completion_and_density_fixed_point_type	41ae13b2d01794988ce8a716e57ce8494c894b6c	7a596530a78a75aec03bac6f35db31ebe534e0115ca51dda64acffd0c781844a	14055
S05	udt_finite_cell_reciprocal_survival_density_audit_2026-07-23/AUDIT_REPORT.md	reciprocal_3plus3_global_survival_null_transition_and_density_gap	ab97f46877abf7306752dc8e29846e5e608cc1dd	25e6b85882d27e746826d124baf61235a22360ccc28ae4f545bd24d6da48c433	9994
S06	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/AUDIT_REPORT.md	founded_pair_depth_and_open_complete_extension	3f134a87767bfeefbe98a8464ba115dfed788239	3c7fed27fae474c8718ffe8f09dad858c12b0aba068494e2a8248fe19f642783	5790
S07	udt_macro_phi_angular_xmax_extension_atlas_2026-07-25/AUDIT_REPORT.md	local_and_global_angular_distance_modulation	ea10052c7d25883d3d4e3ab356d0b83b24472e94	5439674fc3fd66afb48fdde08c4e1c18871f145cd155cbbf68a59372150cd75f	5245
S08	udt_observer_pair_clock_operator_audit_2026-07-24/AUDIT_REPORT.md	derived_pair_operator_and_open_physical_pair_depth	4b9004c84dff265ba97a8a5c694033a1d3ed26f6	a7ae3805927d7d8efe1a2daabfd07c0612c0f52375b60e727a6d0d0fabe66c87	4804
S09	udt_dual_systole_global_transport_audit_2026-07-24/AUDIT_REPORT.md	continuous_systole_wall_and_global_monodromy_descent	5a8ac7ca1190fed19400295e67e45567bab623b0	a60dbce9e8908436b5038001be015c6a8b9d019cb74256cf63091f3f92f54582	5188
S10	udt_global_local_relational_closure_audit_2026-07-25/AUDIT_REPORT.md	conditional_Hopf_join_and_downstream_action_contract	deefa2dd350e892a0fd80fa90b7835df792f1ad9	61c0f3301d3b9f1105611efc23d81a8c58cb96f855745757dafaba29c8aba0cd	8153
S11	udt_free_global_seal_transversality_audit_2026-07-21/AUDIT_REPORT.md	moving_boundary_transversality_and_missing_complete_boundary_functional	31ea788da7aa9bec5865c471656ba7e596fa3b99	51c756fff55876b65d342dd075b6f215c20ad9af4b1767ccb20efdae1a9cc5a1	10302
S12	native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md	conditional_carrier_topology_and_native_section_gap	776220ebee57c9a55e82db8cf1dc832d951be0d6	df0171eb83d75ad175727a8db541df8500b7826edf6059ae63a52f1a1ba15bea	10290
S13	udt_local_selector_holonomy_closure_2026-07-22/AUDIT_REPORT.md	generic_curvature_irreducibility_and_local_selector_gap	0f8d5d259efe7d7a95cbe3cf3ad3bff0a2069f12	245b2d40d795a413252265e07500f275c8c0892b7df8848a554da91a176715f6	8557
S14	udt_reciprocal_pair_global_module_audit_2026-07-24/AUDIT_REPORT.md	full_toric_module_exchange_and_conditional_Hopf_chain	af3cf520e6027263e44491ee5296fcbce309b033	4627ad0480ca7fe55b253755efe46c9264c3fbe16a091eb8226345b67361e53f	5546
S15	udt_metric_native_nontriviality_connector_audit_2026-07-25/OWNER_HYPOTHESIS.md	frozen_owner_mutual_tuning_hypothesis	1c15385e456456cbdf73a9dba0f0caa9807ae8e1	038f4fc37127fb7575eef783b709b0ea77a2979ec5eaa190b45235135047bffc	826
S16	udt_metric_native_nontriviality_connector_audit_2026-07-25/CANDIDATE_CONNECTOR_UNIVERSE.tsv	frozen_candidate_universe	c1830a14fd837d5ea911b71412c9e0d6463fc261	e90d3bbe43b95188c64fcd7c4c12d3fb3e8c964bba76a8828b29c90eea6cefff	1267
