candidate_id	positive_source_ids	exact_positive	blocking_source_ids	exact_blocker
C01	S01;S15	Coupled two-arrow architecture has exact reduced operator A_X plus A_O R_X	S01	Neither complete A nor R nor native dual pairing/domain is supplied
C02	S02	Simple clock-tidal match det(T+a^2 I)=0 selects one intrinsic screen projector	S02	Parallelism global descent same-branch matter feedback and varying-rate cocycle remain open
C03	S01	Integrated scalar-curvature candidate has local tracefree bulk response and global integral type	S01;S11	No curvature invariant target coefficient or finite-cell boundary completion is selected
C04	S01;S02	Proper volume and density quotient have exact local variations and global aggregation type	S01;S02	Volume is trace-only and native mass response plus varied placement are absent
C05	S03;S09	Angular metric and lattice give exact shortest-character chambers walls and reciprocal tie	S09	Toric lattice is conditional and no UDT premise breaks ties or supplies physical selection
C06	S03;S09;S14	A supplied character projects the toric connection and monodromy determines global descent	S09;S14	Unique line sign section caps and physical use are unselected; exchange can destroy an individual line
C07	S10;S12;S14	Reciprocal weights plus supplied phases caps and completion give a conditional unit Hopf prototype	S10;S12;S14	Carrier section action source energy boundary and global lift remain supplied or open
C08	S05	Nonnull dphi gives reciprocal 3plus3 projectors and null strata give exact rank change	S05	No complete on-shell finite-cell branch; static compact cells force critical points and feedback is absent
C09	S04	Metric-derived projectors have exact Kato transport	S04;S13	Open paths do not give holonomy; the separate general curvature-algebra family does not supply a selected Kato bundle
C10	S11;S01	Moving boundaries carry exact shape and transversality response types	S11;S01	Complete boundary polarization corners gluing variation and native functional are absent
C11	S07;S08	Complete angular geometry can modulate global diameter and local pair-depth embedding	S07;S08	No complete branch supplies observer pairing comparison connection and evaluable physical Xmax
C12	S01;S02;S10	Native energy and mass are exactly the required recomputation and backreaction channels	S01;S02;S10	No native energy or mass functional source boundary response or aggregation law exists
C13	S13	The bounded metric atlas exactly classifies local Levi-Civita curvature-algebra reducibility versus flat ambiguity	S13	Evidence is local only with no closed-loop holonomy theorem realization law boundary action source or mass
