candidate_id	connector_family	G1_metric_native_local_definition	G2_local_nontriviality_or_response	G3_global_completion_or_descent	G4_same_complete_branch_colocation	G5_global_to_local_A_arrow	G6_local_to_global_R_arrow	G7_finite_cell_boundary_differentiability	G8_reciprocity_and_metric_ontology	G9_noncircular_bootstrap_selection	disposition	ruling
C01	COUPLED_CLOSURE_SCHUR_OPERATOR	CONDITIONAL	CONDITIONAL	ABSENT	ABSENT	ABSENT	ABSENT	ABSENT	CONDITIONAL	ABSENT	DERIVED_CONDITIONAL_NONTRIVIALITY_SKELETON	The two-arrow hypothesis exactly yields S=A_X+A_O R_X and feedback can create or remove a kernel, but neither physical arrow nor a common complete domain is instantiated.
C02	CLOCK_SCREEN_TIDAL_KERNEL	PASS	PASS	CONDITIONAL	ABSENT	ABSENT	ABSENT	ABSENT	PASS	ABSENT	CONDITIONAL_CONNECTOR	The exact simple-spectrum clock-tidal kernel selects a local screen projector; parallelism and global descent remain conditional, while neither bootstrap arrow is supplied.
C03	INTEGRATED_CURVATURE_RESPONSE	PASS	PASS	CONDITIONAL	ABSENT	ABSENT	CONDITIONAL	ABSENT	PASS	ABSENT	DERIVED_PARTIAL_CONNECTOR	Curvature supplies a concrete tracefree local response and global integral type, but no selected global-to-local closure role or boundary completion.
C04	PROPER_VOLUME_DENSITY_RESPONSE	CONDITIONAL	CONDITIONAL	CONDITIONAL	ABSENT	ABSENT	CONDITIONAL	CONDITIONAL	CONDITIONAL	ABSENT	TYPE_INCOMPLETE	Proper volume is exact and global but trace-only locally; density additionally lacks native mass, a physical varied placement, and a completed boundary domain.
C05	ANGULAR_DUAL_SYSTOLE_WALL	CONDITIONAL	PASS	CONDITIONAL	ABSENT	ABSENT	CONDITIONAL	CONDITIONAL	CONDITIONAL	ABSENT	CONDITIONAL_CONNECTOR	The metric-lattice wall and reciprocal tie are exact on supplied toric branches but do not supply physical selection or bootstrap feedback.
C06	TORIC_CONNECTION_HOLONOMY	CONDITIONAL	PASS	CONDITIONAL	ABSENT	CONDITIONAL	CONDITIONAL	CONDITIONAL	CONDITIONAL	ABSENT	CONDITIONAL_CONNECTOR	A supplied character gives local projected connection and global monodromy conditions, the nearest conditional mathematical two-arrow model; its line, caps, and physical use remain unselected.
C07	RECIPROCAL_HOPF_WEIGHT_CAP_CHAIN	CONDITIONAL	CONDITIONAL	CONDITIONAL	ABSENT	ABSENT	CONDITIONAL	CONDITIONAL	CONDITIONAL	ABSENT	CONDITIONAL_CONNECTOR	A nontrivial topological prototype exists only under supplied toric phases, caps, and completion and has no instantiated bootstrap feedback.
C08	NONNULL_DPHI_RECIPROCAL_3PLUS3	PASS	PASS	CONDITIONAL	ABSENT	ABSENT	ABSENT	CONDITIONAL	CONDITIONAL	ABSENT	DERIVED_PARTIAL_CONNECTOR	The reciprocal subbundle and null rank-change condition are metric-native, but no complete finite-cell witness or bootstrap arrow is derived.
C09	PROJECTOR_KATO_TRANSPORT	PASS	PASS	CONDITIONAL	ABSENT	ABSENT	CONDITIONAL	ABSENT	PASS	ABSENT	LOCAL_ONLY	Projector transport is exact along open paths; its possible local-to-global role remains conditional and does not furnish a closed descending section.
C10	FINITE_CELL_SEAL_BOUNDARY_RESPONSE	CONDITIONAL	CONDITIONAL	ABSENT	ABSENT	PROVENANCE_BLOCKED	CONDITIONAL	ABSENT	CONDITIONAL	ABSENT	TYPE_INCOMPLETE	A moving seal identifies required shape and flux response types, but the global-to-local arrow would require the still-unselected boundary functional and no complete global closure exists.
C11	OBSERVER_PAIR_DIAMETER_XMAX	CONDITIONAL	CONDITIONAL	CONDITIONAL	ABSENT	ABSENT	CONDITIONAL	CONDITIONAL	CONDITIONAL	ABSENT	GLOBAL_ONLY	Metric diameter and pair depth are conditional global and local types, but no complete physical comparison branch or bootstrap feedback exists.
C12	NATIVE_ENERGY_MASS_RESPONSE	ABSENT	ABSENT	ABSENT	ABSENT	ABSENT	ABSENT	ABSENT	ABSENT	ABSENT	ABSENT	Energy and mass are required connector channels but their native functionals, responses, and metric-ontology placement are absent.
C13	LEVI_CIVITA_CURVATURE_HOLONOMY	PASS	PASS	ABSENT	ABSENT	ABSENT	CONDITIONAL	ABSENT	CONDITIONAL	ABSENT	LOCAL_ONLY	The bounded metric atlas gives an exact local curvature-algebra reducibility dichotomy, but no closed-loop holonomy theorem, realization law, or bootstrap arrow.
