premise_id	object	status	use_in_audit	not_supplied
P01	Reciprocal_clock_ruler_operator	DERIVED	Exact local ordered pair action and clock-depth rate	Physical pair-depth assignment and complete angular lift
P02	Observer_frame_Reciprocity	FOUNDING_PINNED_BY_THEORY	Reject preferred-frame connector claims	Accelerated and unrestricted micro realization
P03	Complete_UDT_metric_coframe	OPEN_FREE_AND_EXPLORED	Candidate local and global geometric domain	Selected complete branch and field equations
P04	Finite_mirrored_cell	FOUNDING_GLOBAL_SETTING	Require boundary gluing topology and global variables	Complete boundary functional and selected completion
P05	Bootstrap_mutual_tuning	OWNER_STATED_WORKING	Two-arrow closure architecture	Actual A and R maps
P06	Bootstrap_scalar_extremization	OPEN_STRONGER_PREMISE	Do not assume a scalar objective	Objective ordering sign weights and domain
P07	Native_total_energy	OPEN_FREE_AND_EXPLORED	Required candidate observable	Functional normalization and boundary terms
P08	Native_total_mass	OPEN_FREE_AND_EXPLORED	Required density and response numerator	Carrier source and functional
P09	Total_proper_density	WORKING_DEFINITION	M_native divided by same-solution V_proper	Native M closure target and varied role
P10	Curvature_integral_family	MATHEMATICALLY_AVAILABLE_NOT_SELECTED	Test local/global connector availability	Native invariant derivative order target and coefficient
P11	Angular_toric_lattice	CONDITIONAL	Use only on genuinely toric integral branches	Physical selection and global occurrence
P12	Round_S2_carrier	POSIT_NOT_INPUT	May appear only as conditional comparison	Native section action and source
P13	Conditional_Hopf_completion	CONDITIONAL	Global topology control only	Selected phases caps section energy and dynamics
P14	Moving_finite_cell_boundary	OPEN_REQUIRED_DOMAIN	Do not freeze global shape variations	Boundary polarization corner and charge
P15	Measured_c_E	OBSERVED_ANCHOR	Calibrates reciprocal clock-length conversion	Closure selector
P16	Measured_G_obs	OBSERVED_ANCHOR	Calibrates gravitational dimensions	Native curvature-mass law
P17	Strong_local_CSN	CHALLENGED_OWNER_POSTULATE_NOT_DERIVED	Retain ontology fork without using it as selector	Physical representative equivalence
P18	Action	OPEN_NOT_INPUT	Only downstream after a response exists	C2 EH carrier or other selection
P19	Gauge_reduction	OPEN_REQUIRED_CHECK	Reject gauge kernels	Selected gauge group slice and zero-mode quotient
P20	Nonlinear_branch_continuation	OPEN_REQUIRED_CHECK	Keep infinitesimal kernels premise-scoped	Existence regularity amplitude and stability
P21	CPU_exact_controls	CATEGORY_A_METHOD	Exact finite-dimensional and symbolic checks only	PDE branch solution or GPU exploration
