item	role	owner_or_argument	limit
G288	accepted source at exact scope	SOURCE_PINS; original exact derivation and final repair review	static spherical analytic-even regular center; unchanged
G179	accepted conditional evaluator	SOURCE_PINS; supplied complete metric/pair pullback	regular supplied pairs only; no physical metric selection
G176	working foundational clarification	SOURCE_PINS; completed reciprocity	WORKING, not bare-metric-derived or canon
G166	native-admission boundary	SOURCE_PINS; current audit	general native nonspherical assembly remains OPEN
G312	current authority boundary	current GR-filter AUTHORITY_RECORD	FILTER ONLY; no Ricci/evolution law introduced
G405_ER1	reused record reconstruction	current registry and pinned original candidate/review	actual common marked record fields and retained densities; second differentiation is method, not source regrading
LSR1_C1	new exact geometric realization	INITIAL_CANDIDATE plus SCOPE_CLARIFICATION	local analytic positivity; retained radial block and total area; no native admission
LSR1_C2	new leading-jet classification	LEADING_JET_CLASSIFICATION plus REVIEWED_RESULT	complete marked second jet in declared class only; no physical mode count
LSR1_C3	new center consequence	original metric tensors and C2	central tides and invariants; not higher-jet or full-history classification
standard_math	methods	Taylor jets; curvature; sphere moments; linear algebra; differentiation	hypotheses stated and checked; not scientific premises
review	independent criticism and recomputation	review SOURCE_FIRST_FREEZE and direct review	fresh context; no model/runtime attestation or physical adoption
