gate_id	claim_at_risk	falsifier	maximum_if_failed
F01	order_zero_invariant_covector_rank_complete	an_SO2_invariant_screen_covector_or_missing_intrinsic_E_covector	ORDER_ZERO_CLASSIFICATION_WITHDRAWN
F02	dphi_exact_and_endpoint_additive	d_dphi_nonzero_or_endpoint_composition_failure	FOUNDED_DEPTH_TYPE_FAILURE
F03	unit_clock_or_ruler_coform_metric_owned_on_declared_branch	required_unlisted_gauge_or_normalization	OWNERSHIP_DEMOTION
F04	nonclosed_R17_one_form_witness	exterior_derivative_vanishes_exactly	NONEXACT_WITNESS_WITHDRAWN
F05	connection_potential_not_scalar_gauge_invariant	A_primed_equals_A_under_nonconstant_screen_rotation	GAUGE_CLASSIFICATION_WITHDRAWN
F06	finite_jet_naturality_does_not_select_coefficients	metric_equation_fixes_all_module_coefficients	NONSELECTION_WITHDRAWN
F07	scalar_multiplier_module_creates_nonuniqueness	declared_naturality_forbids_every_nonconstant_multiplier	MODULE_NONUNIQUENESS_WITHDRAWN
F08	orientation_odd_candidates_need_local_system	candidate_survives_orientation_reversal_unchanged	ORIENTATION_CLASSIFICATION_WITHDRAWN
F09	stationary_scalar_gradient_module_reduces_to_base_direction	actual_R17_scalar_invariant_has_angular_gradient	COHOMOGENEITY_REDUCTION_WITHDRAWN
F10	special_flat_or_constant_phi_locus_not_selector	existing_equation_requires_that_locus_and_one_form	SPECIAL_LOCUS_SELECTION_CORRECTION
F11	line_integral_composition_does_not_select_integrand	composition_identity_singles_out_one_form	COMPOSITION_NONSELECTION_WITHDRAWN
F12	no_manifest_backed_local_one_form_selector	one_included_equation_uniquely_requires_a_candidate	OWNER_FOUND
F13	physical_path_and_arrow_remain_open	manifest_backed_physical_query_or_arrow_selector	OWNERSHIP_CORRECTION_REQUIRED
F14	candidate_universe_complete_by_structural_module_classes	one_finite_jet_tensorial_or_connection_family_outside_L01_L16	COMPLETENESS_FAILURE
F15	no_downstream_physics_follows	action_source_bootstrap_c_eff_or_observable_is_derived	SCOPE_FAILURE
