catch_id	mutation	result
DROP_CANDIDATE	DROP_CANDIDATE	REJECTED
DUPLICATE_CANDIDATE	DUPLICATE_CANDIDATE	REJECTED
DEMOTE_dphi_ENDPOINT_OWNER	DEMOTE_dphi_ENDPOINT_OWNER	REJECTED
MARK_CLOCK_CLOSED	MARK_CLOCK_CLOSED	REJECTED
ERASE_RULER_ORIENTATION	ERASE_RULER_ORIENTATION	REJECTED
INVENT_THIRD_TWIST_DIRECTION	INVENT_THIRD_TWIST_DIRECTION	REJECTED
INVENT_MEAN_CURVATURE_DIRECTION	INVENT_MEAN_CURVATURE_DIRECTION	REJECTED
ERASE_EXACT_ENDPOINT_FAMILY	ERASE_EXACT_ENDPOINT_FAMILY	REJECTED
DEMOTE_R17_WITNESS_TO_GENERAL_RECTANGLE	DEMOTE_R17_WITNESS_TO_GENERAL_RECTANGLE	REJECTED
PROMOTE_CONNECTION_POTENTIAL_TO_SCALAR	PROMOTE_CONNECTION_POTENTIAL_TO_SCALAR	REJECTED
SELECT_c_ZERO_BY_COMPOSITION	SELECT_c_ZERO_BY_COMPOSITION	REJECTED
CHANGE_ORDER_ZERO_RANK	CHANGE_ORDER_ZERO_RANK	REJECTED
CHANGE_GENERIC_FIRST_JET_RANK	CHANGE_GENERIC_FIRST_JET_RANK	REJECTED
MARK_Hdphi_CLOSED	MARK_Hdphi_CLOSED	REJECTED
ERASE_DIMENSIONLESS_EXACT_FAMILY	ERASE_DIMENSIONLESS_EXACT_FAMILY	REJECTED
MARK_A_GAUGE_INVARIANT	MARK_A_GAUGE_INVARIANT	REJECTED
FABRICATE_SELECTION_OWNER	FABRICATE_SELECTION_OWNER	REJECTED
PROMOTE_PHYSICAL_TRANSGRESSION	PROMOTE_PHYSICAL_TRANSGRESSION	REJECTED
PROMOTE_SELECTION_OWNER	PROMOTE_SELECTION_OWNER	REJECTED
ERASE_REQUIRED_OWNER	ERASE_REQUIRED_OWNER	REJECTED
