candidate_id	classification	metric_ownership	closedness	selection_status
L01	DERIVED_EXACT_ENDPOINT_DEPTH_GENERATOR	OWNED_ON_STATIONARY_R17	CLOSED_EXACT	SELECTED_ONLY_FOR_ALREADY_OWNED_delta_K
L02	TIME_ORIENTED_UNIT_CLOCK_COFORM	OWNED	NONCLOSED_FOR_a_POSITIVE	GEOMETRIC_FORM_NOT_RECIPROCAL_TRANSGRESSION_SELECTOR
L03	UNIT_TWIST_RULER_COFORM	OWNED_WITH_ORIENTATION_LOCAL_SYSTEM	NONCLOSED	SIGN_ORIENTATION_AND_PHYSICAL_USE_UNSELECTED
L04	NORMALIZED_KILLING_COFORM	SAME_UNIT_CLOCK_LINE_AS_L02	NONCLOSED	NO_NEW_INDEPENDENT_CHANNEL
L05	KILLING_TWIST_ONE_FORM	OWNED_ORIENTATION_ODD	SCALAR_MULTIPLE_OF_L03	NO_NEW_INDEPENDENT_CHANNEL
L06	DISTRIBUTION_MEAN_CURVATURE_FORMS	OWNED	E_MEAN_ZERO__H_MEAN_RULER_MULTIPLE	NO_NEW_DIRECTION_OR_COEFFICIENT_SELECTOR
L07	GRADIENTS_OF_LOCAL_SCALAR_INVARIANTS	INFINITE_EXACT_FAMILY_INCLUDING_dphi_PLUS_c*dJ_H	CLOSED_EXACT	J_H=I_H/(I_H+TWIST_NORM2)_DIMENSIONLESS_AND_VANISHES_ON_PAIR_PURE_LOCUS__c_UNSELECTED
L08	SCALAR_INVARIANT_TIMES_dphi	INFINITE_TENSORIAL_FAMILY	GENERALLY_NONCLOSED__ACTUAL_S3_R17_WITNESS	MULTIPLIER_UNSELECTED
L09	CURVATURE_CONTRACTION_ONE_FORMS	TENSORIAL_FINITE_JET_MODULE	MEMBER_DEPENDENT	CONTRACTION_AND_COEFFICIENT_UNSELECTED
L10	HODGE_DUAL_WEDGE_ONE_FORMS	OWNED_AFTER_ORIENTATION	MEMBER_DEPENDENT	ORIENTATION_TYPED_FAMILY_UNSELECTED
L11	NORMAL_CONNECTION_POTENTIAL	CONNECTION_OWNED__REPRESENTATIVE_NOT	dA_EQUALS_F	NOT_ENDPOINT_FRAME_INVARIANT_SCALAR_ONE_FORM
L12	CONNECTION_TRANSGRESSION_DESCENDANTS	RELATIVE_OR_TRIVIALIZATION_DEPENDENT	MEMBER_DEPENDENT	EXTRA_REFERENCE_OR_GLOBAL_DATA_REQUIRED
L13	SMOOTH_INVARIANT_MODULE_CLOSURE	INFINITE_FAMILY_INCLUDING_dphi_PLUS_c_Hdphi	MEMBER_DEPENDENT__Hdphi_NONCLOSED_R17_WITNESS	PURE_PAIR_LEAF_REDUCTION_DOES_NOT_FIX_c
L14	ORDER_ZERO_INVARIANT_COVECTOR_SPACE	SPAN_tau_nu	TWO_NONCLOSED_GENERATORS	DIMENSION_TWO_NOT_UNIQUE
L15	CONSTANT_phi_AND_FLAT_CONTROLS	SPECIAL_LOCI	dphi_ZERO_BUT_tau_nu_REMAIN_NONCLOSED	NO_LOCUS_SELECTED
L16	MANIFEST_BACKED_SELECTION_OWNER_CENSUS	OFFSHELL_IDENTITIES_ONLY	NOT_APPLICABLE	NO_PHYSICAL_TRANSGRESSION_OWNER
