source_id	path	role	source_ref	git_blob	sha256	size
S01	CURRENT_SCIENTIFIC_PREMISES.tsv	G51 precedence and guards	7effab89775b0ef33ee58dcab144ae0a0d36686b:CURRENT_SCIENTIFIC_PREMISES.tsv	cebf952a42610bb810a76a9e7a4eccd21733cc8d	a7fc1794f8448bab44244db36154dfa29a05375dcbe32b7250bd71f483cd522c	39056
S02	udt_r17_depth_holonomy_joint_invariant_audit_2026-08-10/AUDIT_REPORT.md	current joint ruling	7effab89775b0ef33ee58dcab144ae0a0d36686b:udt_r17_depth_holonomy_joint_invariant_audit_2026-08-10/AUDIT_REPORT.md	7edc7decac98608160b264822dd46edb3e5de5ab	8226eb912a0cc2cfa48ab0bdabecb3dce1842e077223087a1da99ad24986db38	3447
S03	udt_r17_depth_holonomy_joint_invariant_audit_2026-08-10/EXACT_DERIVATION.md	joint groupoid and higher-jet scope	7effab89775b0ef33ee58dcab144ae0a0d36686b:udt_r17_depth_holonomy_joint_invariant_audit_2026-08-10/EXACT_DERIVATION.md	98e04830bddd70eb59c1d3536d0b71c0f4dfa42f	78a044ee9e1f0df4f5e0673c3b8867984cd8f11070780f728f1056d204311ec6	11963
S04	udt_r17_depth_holonomy_joint_invariant_audit_2026-08-10/DERIVATION_RESULT.json	machine joint result	7effab89775b0ef33ee58dcab144ae0a0d36686b:udt_r17_depth_holonomy_joint_invariant_audit_2026-08-10/DERIVATION_RESULT.json	d4b8eb2059fa642822209ebcaa9044ba4be92206	acfbd53f0f36d4814563b87aff39fa84285957626bf8129e8df204574a5d0b32	2140
S05	udt_r17_depth_holonomy_joint_invariant_audit_2026-08-10/STATUS_LEDGER.tsv	joint claim scope	7effab89775b0ef33ee58dcab144ae0a0d36686b:udt_r17_depth_holonomy_joint_invariant_audit_2026-08-10/STATUS_LEDGER.tsv	878463e60d1a5c511a0ed32d590297c0f13ea95d	a4c88544f28851ee30a01dc6bf5109e3070089a55620a59f822d0d83a88f41aa	1956
S06	udt_r17_depth_holonomy_joint_invariant_audit_2026-08-10/NEXT_STEP.md	authorized bounded question	7effab89775b0ef33ee58dcab144ae0a0d36686b:udt_r17_depth_holonomy_joint_invariant_audit_2026-08-10/NEXT_STEP.md	47a8641083639ed790a53a0a638bf3c359f0f2c9	f5033d2411e6ce45881a0c57f646a6f563dd1faec28b225ac4287e1a8fbdbf4e	1186
S07	udt_r17_stationary_connection_sublocus_ownership_audit_2026-08-10/EXACT_DERIVATION.md	stationary curvature and special loci	7effab89775b0ef33ee58dcab144ae0a0d36686b:udt_r17_stationary_connection_sublocus_ownership_audit_2026-08-10/EXACT_DERIVATION.md	f029b2f67ddc7eb7b2cdf0da4cf0290373c9351d	ff2c0147f4ab6a3119d662d15426d927bf1938a7fcaa2c92c668a6835c6c1354	10569
S08	udt_r17_stationary_connection_sublocus_ownership_audit_2026-08-10/DERIVATION_RESULT.json	machine stationary strata	7effab89775b0ef33ee58dcab144ae0a0d36686b:udt_r17_stationary_connection_sublocus_ownership_audit_2026-08-10/DERIVATION_RESULT.json	016a5aafd2715d82d4f1d4d19da3bb8f0b8692d3	74d632ef9e1089fc1f8f6af36061dbc66af5cf1471a438a2ec4324d4f1e8bad0	2080
S09	udt_r17_path_labelled_connection_decomposition_audit_2026-08-10/EXACT_DERIVATION.md	complete normal connection and curvature	7effab89775b0ef33ee58dcab144ae0a0d36686b:udt_r17_path_labelled_connection_decomposition_audit_2026-08-10/EXACT_DERIVATION.md	bacc1cdfdf8d39a74b89cf61a17f34208dbf06c4	f789f2196b451a0e9d9d530d7b436800ec3ea17c273a410ffc56c1e03a12aa50	7502
S10	udt_r17_path_labelled_connection_decomposition_audit_2026-08-10/DERIVATION_RESULT.json	machine connection components	7effab89775b0ef33ee58dcab144ae0a0d36686b:udt_r17_path_labelled_connection_decomposition_audit_2026-08-10/DERIVATION_RESULT.json	56ea9f7e0bbdb81b06d3d1aa343a523734c091d9	6936bc691f0f1a80dc97e1c49bfda8c4b209e36ddc6b46c095a73de4972332bc	4785
S11	udt_r17_pair_leaf_normal_holonomy_audit_2026-08-10/EXACT_DERIVATION.md	leaf connection and intrinsic split	7effab89775b0ef33ee58dcab144ae0a0d36686b:udt_r17_pair_leaf_normal_holonomy_audit_2026-08-10/EXACT_DERIVATION.md	e29c93192c53f770644b9ad412551f2f1230d6cf	bc12d74d4f28bacb9764f26604bb667085dd2d359f6fdb19059bf715d09e07f6	5976
S12	udt_r17_pair_leaf_normal_holonomy_audit_2026-08-10/DERIVATION_RESULT.json	machine leaf curvature	7effab89775b0ef33ee58dcab144ae0a0d36686b:udt_r17_pair_leaf_normal_holonomy_audit_2026-08-10/DERIVATION_RESULT.json	1ea87bbdd663890b10e13e5cdfd73c96e0947987	9a9faeb3b73262e5dbcc8c93f4c21af7f3b66bc85b0e4e21d5db4561c22822f5	2750
S13	udt_r17_intrinsic_pair_foliation_integrability_audit_2026-08-10/EXACT_DERIVATION.md	clock ruler foliation and coframe	7effab89775b0ef33ee58dcab144ae0a0d36686b:udt_r17_intrinsic_pair_foliation_integrability_audit_2026-08-10/EXACT_DERIVATION.md	a83304a2e34f1b11603677ad78163f0b10932b77	c041ccf8a718d44728abe2f617767b8553e3d2795aa9988945d93035ff0b7ec2	7677
S14	udt_r17_magnitude_to_grading_selection_audit_2026-08-10/EXACT_DERIVATION.md	complete coframe grading and screen isotropy	7effab89775b0ef33ee58dcab144ae0a0d36686b:udt_r17_magnitude_to_grading_selection_audit_2026-08-10/EXACT_DERIVATION.md	ff51b1a7e8b91fa6a87c0c67f7751cb977b95f12	fd140c5452faa49021f748e8a27384ba07dabb83dda0c4166ffb3f931cbf9d80	7900
S15	udt_branch_nonisometric_calibration_transition_audit_2026-08-10/EXACT_DERIVATION.md	intrinsic grading and conditional carry	7effab89775b0ef33ee58dcab144ae0a0d36686b:udt_branch_nonisometric_calibration_transition_audit_2026-08-10/EXACT_DERIVATION.md	4a52ada768c25257641e01cfdc3c67b436e8ed82	30b563b30e4ab6ac2af11c77cf28d627fa8dd400f854617cb55be1177e2f723b	9329
S16	udt_carried_intrinsic_middle_morphism_ownership_audit_2026-08-10/EXACT_DERIVATION.md	SO2 bitorsor and gauge typing	7effab89775b0ef33ee58dcab144ae0a0d36686b:udt_carried_intrinsic_middle_morphism_ownership_audit_2026-08-10/EXACT_DERIVATION.md	688656b59fd2d2883a8c5edd30ef4f2c9d895259	925ca9fce8872392240fe390f2c10ec81685fea7e289d2286b1b8d3fa49dba87	11131
S17	udt_reciprocal_scalar_calibration_bitorsor_descent_audit_2026-08-10/EXACT_DERIVATION.md	scalar gauge descent	7effab89775b0ef33ee58dcab144ae0a0d36686b:udt_reciprocal_scalar_calibration_bitorsor_descent_audit_2026-08-10/EXACT_DERIVATION.md	fed12c71b30a3a1a1bb412e882643ef3135eca9d	6fd2a2d4167b92ac62b060479fa8d6e5faf0f080a1f6a63b861cfff8f095b412	7055
S18	udt_reciprocal_flag_foundation_ownership_audit_2026-08-09/EXACT_DERIVATION.md	one_form_and_higher_jet_ownership_boundary	7effab89775b0ef33ee58dcab144ae0a0d36686b:udt_reciprocal_flag_foundation_ownership_audit_2026-08-09/EXACT_DERIVATION.md	1b322f69194351add2da4a17ce9987c5bca4a8d1	eabfad044b0caf404a7bfab8dfa2462e3a68cf7a578e67451c86baf8b95aa71a	11710
