claim_id	claim	status	exact_scope	open_scope
S01	dphi_generates_existing_endpoint_depth	DERIVED	stationary_R17_delta_K	physical_complete_pair_law
S02	order_zero_invariant_covector_space	DERIVED	span_tau_nu_on_regular_full_projector_stratum	orientation_sign_and_physical_use
S03	unit_clock_and_twist_ruler_forms	DERIVED_CONDITIONAL	regular_time_oriented_nonzero_twist_R17	degenerate_null_twist_off_strata
S04	unit_clock_and_ruler_closed	REFUTED	both_have_nonzero_screen_wedge_terms	other_special_geometries
S05	distribution_mean_curvature_adds_new_direction	REFUTED	Mean_E_zero__Mean_H_ruler_directed	other_branches
S06	generic_first_jet_covector_rank	DERIVED	full_rank_when_Hdphi_nonzero	rank_change_when_Hdphi_zero
S07	stationary_R17_nonexact_metric_one_form	DERIVED_CONSTRUCTIVE	global_phi_w_lambda_0_a_1_over_64_witness	physical_selection
S08	pair_leaf_reduction_and_composition_select_integrand	REFUTED	alpha_c=dphi+c_Hdphi_all_real_c	additional_rule
S09	path_independence_selects_unique_endpoint_potential	REFUTED	beta_c=dphi+c_dJ_dimensionless_exact_family	global_period_or_operational_selection
S10	normal_connection_potential_is_scalar_gauge_invariant	REFUTED	A_changes_by_dchi__F_owned	trivialization_or_relative_transgression
S11	finite_jet_metric_naturality_selects_coefficients	REFUTED_CONSTRUCTIVE	multiple_exact_and_nonexact_families	on_shell_global_or_query_owner
S12	existing_R17_equation_selects_one_form	NOT_DERIVED	exact_18_source_manifest	repo_wide_future_equation
S13	physical_path_or_complete_observer_arrow	OPEN	outside_audit	complete_relation_functor
S14	downstream_action_source_bootstrap_c_eff_physics	OPEN_NOT_DERIVED	outside_audit	complete_dynamics
