candidate_id	candidate_family	declared_type	selection_question	pre_outcome
L01	dphi	exact_scalar_one_form	baseline_owned_depth_generator	UNSEEN
L02	unit_clock_coform_u_flat	orientation_fixed_tensorial_one_form	owned_beyond_dphi_and_closedness	UNSEEN
L03	twist_selected_ruler_coform_n_flat	orientation_local_system_one_form	owned_beyond_dphi_and_closedness	UNSEEN
L04	normalized_Killing_coform	scale_invariant_stationary_one_form	relation_to_unit_clock_and_twist	UNSEEN
L05	normalized_Killing_twist_one_form	metric_jet_one_form	independence_and_orientation	UNSEEN
L06	E_H_projector_mean_curvature_forms	metric_first_jet_one_form_family	independence_and_coefficients	UNSEEN
L07	d_of_scalar_differential_invariants	exact_finite_jet_one_form_module	whether_any_scalar_is_selected	UNSEEN
L08	scalar_invariant_times_dphi	finite_jet_one_form_module	closedness_and_free_functions	UNSEEN
L09	curvature_contractions_with_intrinsic_lines	tensorial_finite_jet_one_form_module	gauge_and_orientation_type	UNSEEN
L10	Hodge_dual_wedge_constructions	orientation_typed_finite_jet_one_form_module	gauge_and_parity	UNSEEN
L11	normal_connection_potential_A	SO2_connection_representative	gauge_dependence_vs_scalar_form	UNSEEN
L12	connection_transgression_or_Chern_Simons_descendants	gauge_relative_form_family	representative_free_status	UNSEEN
L13	arbitrary_smooth_scalar_combinations_of_owned_forms	module_closure	uniqueness_obstruction	UNSEEN
L14	order_zero_SO2_invariant_covector_space	isotropy_representation	complete_rank_and_generators	UNSEEN
L15	constant_phi_and_flat_controls	stationary_special_loci	whether_degeneracy_selects	UNSEEN
L16	existing_R17_equations_and_completion_data	selection_owner_census	whether_any_member_is_required	UNSEEN
