premise_id	premise	status	provenance	use
P01	regular_stationary_R17_C01_C06_complete_coframes	pinned-by-THEORY	SOURCE_MANIFEST_S07_S14	bounded_configuration_family
P02	supplied_six_lambda_values	free-and-explored	SOURCE_MANIFEST_S07_S14	classify_each_no_selection
P03	both_Maurer_Cartan_orientations	free-and-explored	SOURCE_MANIFEST_S09_S12	orientation_parity
P04	intrinsic_clock_ruler_screen_projectors	pinned-by-THEORY	SOURCE_MANIFEST_S13_S16	order_zero_isotropy_type
P05	endpoint_depth_delta_K_equals_phi_q_minus_phi_p	pinned-by-THEORY	SOURCE_MANIFEST_S02_S03_S13	derived_exact_control
P06	metric_projected_normal_connection_and_curvature	pinned-by-THEORY	SOURCE_MANIFEST_S09_S12	angular_tensor_inputs
P07	supplied_path	free-and-explored	QUERY_DATA	line_integral_composition_only
P08	time_orientation	pinned-by-THEORY	SUPPLIED_TIME_ORIENTED_LORENTZIAN_BRANCH	clock_sign
P09	spacetime_or_screen_orientation	free-and-explored	EXPLICIT_LOCAL_SYSTEM	orientation_odd_candidates
P10	arbitrary_finite_metric_jet_order	free-and-explored	DECLARED_NATURALITY_CLASS	structural_module_classification
P11	action_source_bootstrap_weight	EXCLUDED	CURRENT_SCIENTIFIC_PREMISES_G16_G21_G51	no_selection_import
P12	physical_path_or_observer_arrow	OPEN	CURRENT_SCIENTIFIC_PREMISES_G51	must_not_be_inferred
P13	universal_mixed_geometry_c_eff	OPEN	CURRENT_SCIENTIFIC_PREMISES_G51	must_not_be_inferred
P14	protected_curvature_atlas	EXCLUDED	AGENTS_AND_LIVE_GUARD	must_not_read_or_cite
