id	premise	status	use_or_limit
P01	c_E_and_inverse_are_clock_length_conversion_directions	OBSERVED_PLUS_OWNER_FOUNDING	sets_calibrated_clock_length_conversion
P02	positional_comparison_acts_dually_on_reciprocal_pair	FOUNDATIONAL_DERIVED_INPUT	gives_uv_equal_one
P03	continuous_additive_composition	FOUNDATIONAL_POSIT	gives_exponential_phi_readout
P04	signed_phi_is_log_reciprocal_imbalance	DERIVED_CONDITIONAL	sign_and_unit_convention_retained
P05	physical_separation_is_nonnegative	OWNER_CORRECTION	required_for_every_candidate
P06	macro_observer_frames_are_reciprocal	OWNER_FOUNDING_PLUS_METRIC_COVARIANCE	no_identical_component_requirement
P07	complete_ten_slot_coframe	CONDITIONAL_CONFIGURATION_PARENT	all_shift_and_angular_terms_retained
P08	calibrated_physical_metric_ontology	WORKING_OWNER_MOTIVATED	primary audit branch_not_canon
P09	strong_local_common_scale_neutrality	CHALLENGED_NOT_DERIVED	parallel conformal_countercontrol_only
P10	global_co_presence	WORKING_FRAMING	no_foliation_or_event_pairing_silently_added
P11	WRL_A_equal_one_minus_r_over_X	CONDITIONAL_CONTROL	not_complete_metric_or_global_diameter
P12	tanh_positional_readout	CONDITIONAL_CANDIDATE	not_target_or_selector
P13	action_source_carrier_boundary_mass_density	OPEN_EXCLUDED	may_not_select_distance_or_profile
P14	angular_topology_and_global_completion	OPEN_FREE_IN_COUNTERFAMILY	must_not_be_frozen_to_desired_universe
P15	observer_domain_event_pairing_and_native_D_g	OPEN_OUTPUTS	required_before_global_Xmax
