path	sha256
ADVERSARIAL_REVIEW_REQUEST.md	d6a0e6acceab715a4424aafe784cb2288aa4879380d6680d823026d80fd89fea
AUDIT_REPORT.md	17498596165aa9b5678d937aed37fd1f28be438a8c1745814abd60d0d78ebe16
DERIVATION_RESULT.json	c4d02838d1a0547fae3dd2ac8a2d1253ecdb7cace047713ced1fbc59acb3d94e
EVIDENCE_GATES.md	94debca64f2bde6971b8f699bb3758bdc635ec126d9408563c1b5a9c089a6077
EXACT_DERIVATION.md	5bcc38c32ddef6fd88e6c8608305f3d3317defdd2263972392184416295c2955
EXTERNAL_REPAIR_FOLLOWUP.md	1f1c31cdc31662600d14ad50325747123eddb68568d67fee9b696d86c3852d5e
EXTERNAL_REVIEW.md	f2a0e061c78ea24b2bd80f161479500a128dba5a6e35545f9c401a549c7eed8a
EXTERNAL_REVIEW_REPAIR_PREREGISTRATION.md	78bda01816c7e785bc135438877eb677c812c9c95ed0f0b0d50d252b19665978
INDEPENDENT_VERIFICATION.json	5928eaa39dc5648813b19e89bfcfb892560eba8d87fc2baf6c8d6f6c13869446
LAY_REPORT.md	5fedacf7532a1406f812915c7e0f25d8cb9e1803508db3034c237bc5a59572fb
MAP.md	238b5692490f1788fe8aafb87f4e6533054018019883f74e89ae051d7681a71f
NETWORK_TWIN_ATLAS.tsv	9b1203a21ae5128ed1ba1dbc8c3e17a85bd834069bd63464644e6c2586c5c286
POST_REVIEW_STARTUP_REPAIR_PREREGISTRATION.md	ac6aa600dd885cd6f9950447052a0d20aca1ffb23bb230926d0f700f511586ed
PREMISE_LEDGER.tsv	1a9813e21dc760d92d145606eb674bc26c6fa1cd471650ff44048b5e88c6aa9f
PREREGISTRATION.md	0960c897162cabe356ffdaeae53f678742bff9f1aee73eae8d9d1be7c5798721
REPAIR_FOLLOWUP_REQUEST.md	ff61f96b3a86283c908ac921a465b8237d7e6cf6bb2ccc1171b59e7a6af24991
SOURCE_MANIFEST.tsv	13702ec5630fd0e5b193ac809ebd199daa7d0eb340f312c2fe2ccfef9e0d7143
STATUS_LEDGER.tsv	2f21249dbb6a641cf269ceb4c37c0af8d221edeffa9a1ffc94f0fc798657ea83
VERIFICATION_STRENGTHENING_PREREGISTRATION.md	22fff9654fc5657f751ba454b1667038ccb9c8f46e13de387767c8727d1a049c
build_review_intake.py	8cf4e5ae036d49e59b01f2c19d9fa8423505bdac73ea59bdbd3d7c8827a3bfad
derive_matched_network_nonselection.py	2dccd672cecc07a278616b55e2a20d73398399a91beaffdf2fdc0a4d5704a648
verify_matched_network_independent.py	62237a544bdb414812d2ee6991ef3d058f9adc320382f957888b7cbea72c7c82
verify_package.py	0c1c29c9a1caa57ccd9df463f2af5387e4195816e1b215f8c21891c9fc505e2e
