item	status	role	guard
primary Lorentz metric	CONDITIONAL_SUPPLIED_ARENA	object tested by network existence	not a selected history
completed-pair Dual Reciprocity	WORKING_FOUNDATIONAL_CLARIFICATION	fiberwise normalization after full pullback	not canon or metric-derived
completed tuple (m,h_s)	DERIVED_CONDITIONAL	retains each full pullback	density m may not be deleted
rank-ten six-plane design	DERIVED_BOUNDED_G129	reconstruction witness	not unique minimal or physically populated
common clock field	SUPPLIED_QUERY_CONTROL	makes incidence scalar germ-independent at a vertex	not a preferred congruence claim
matched endpoint incidence	SUPPLIED_COMPATIBILITY	permits scalar telescoping	not generated by local completion
overlap descent	DERIVED_CONDITIONAL_G214	glues supplied values	identity not value generator
observer reversal	DERIVED_CONDITIONAL	negates matched edge depth	not pair-chart orientation reversal
G233 b=0 and b=7 profiles	FREE_AND_EXPLORED	preregistered invariant twins	neither is target physics
annular regular region	FREE_AND_EXPLORED	avoids center and singular strata	no global-completeness claim
all-germ universal incidence equality	NOT_ACTIVATED_UNOWNED	stronger possible premise	not smuggled into P_net
time-live and nonspherical sector functions	OMITTED_OPEN	outside bounded discriminator	negative does not exclude cross-sector law
observations Xmax action source matter bootstrap transfer	EXCLUDED	no role	must not enter selector
protected local packages	PROTECTED_EXCLUDED	no role	must not inspect cite or modify
