id	object	status	regime	evidence	remaining_open
S01	h0_equals_abs_s_times_g	DERIVED_IN_NONNULL_DPHI_CONFIGURATION_BRANCH	SMOOTH_S_NONZERO	exact_CSN_weight_cancellation	phi_complete_metric_ownership
S02	h0_unit_gradient	DERIVED_EXACT	SMOOTH_S_NONZERO	h0_inverse_dphi_norm_equals_sign_s	no_physical_unit_or_absolute_scale
S03	h0_gradient_line_geodesic	DERIVED_GEOMETRIC_IDENTITY	SMOOTH_S_NONZERO	exact_dphi_Hessian_symmetry_and_constant_norm	not_an_equation_of_motion
S04	LC_h0_CSN_invariant_connection	DERIVED_GEOMETRIC_CANDIDATE	SMOOTH_S_NONZERO	A0_half_dlog_abs_s_Weyl_shift_cancels_LC_shift	physical_authority
S05	LC_h0_absolute_scale	NOT_DERIVED	ALL_AUDITED_DOMAINS	h0_is_relational_and_dimensionless	c_G_Xmax_mass_calibration
S06	h_f_natural_connection_family	DERIVED_COUNTERFAMILY	SMOOTH_S_NONZERO	h_f_exp_2fphi_h0	and_new_selector
S07	reciprocal_reversal_and_static_seal_select_f_zero	REFUTED	f_lambda_equals_lambda_phi_squared	even_and_zero_at_phi_zero_nontrivial_family	full_transport_naturality_rule
S08	unrestricted_natural_connection_uniqueness	REFUTED_IN_DECLARED_COUNTERFAMILY	SMOOTH_S_NONZERO	ten_nonzero_connection_difference_components	higher_jet_family_not_exhausted
S09	torsion_free_Weyl_line_preservation	UNIQUE_CONDITIONAL	SMOOTH_S_NONZERO	exists_iff_screen_shape_operator_pure_trace	complete_branch_umbilicity
S10	generic_tracefree_screen_shear_compatible	REFUTED_IN_TORSION_FREE_WEYL_CLASS	TIMELIKE_AND_SPACELIKE_NONNULL	rank4_augmented_rank5_exact_witness	broader_torsionful_connection
S11	projected_metric_split_transport	DERIVED_GEOMETRIC_IDENTITY	SMOOTH_FIXED_RANK_NONNULL	DP_zero_and_Dh0_zero_exact_checks	not_physical_evolution
S12	induced_3plus3_preservation	DERIVED_GEOMETRIC_IDENTITY	SMOOTH_FIXED_RANK_NONNULL	exact_Lambda2_commutator_checks	global_holonomy
S13	projected_transport_torsion	GENERICALLY_NONZERO_IN_EXACT_WITNESS	NONPARALLEL_DPHI_LINE	fourteen_nonzero_components_both_causal_signs	vanishes_on_totally_geodesic_split
S14	split_preserving_metric_connection_uniqueness	REFUTED_IN_DECLARED_AFFINE_CLASS	SMOOTH_FIXED_RANK_NONNULL	screen_orthogonal_stabilizer_dimension_three_per_tangent	torsion_or_minimality_selector
S15	timelike_and_spacelike_coverage	DERIVED_SEPARATELY	S_NONZERO	both_signatures_pass_exact_and_independent_checks	spacelike_not_observer_interpretation
S16	null_extension_by_h0_A0	OBSTRUCTED_FOR_THIS_CONSTRUCTION	S_ZERO_DPHI_NONNULL	det_h0_zero_and_dlog_abs_s_undefined	other_native_interface_law
S17	zero_dphi_extension	OPEN_NO_INTRINSIC_LINE	DPHI_ZERO	h0_zero_and_projector_undefined	extra_line_or_interface_data
S18	type_change_global_transport	OPEN	TYPE_CHANGING_BRANCH	must_cross_null_or_zero	no_complete_onshell_branch
S19	normal_conformal_tractor_connection	CANONICAL_CONDITIONAL_REPRESENTATION_TRANSPORT	SMOOTH_CONFORMAL_PARENT	rank_six_bundle_not_rank_four_tangent_connection	tangent_section_and_physical_reduction
S20	bootstrap_needed_for_local_connection_existence	REFUTED_IN_NONNULL_BRANCH	h0_construction	local_connection_exists_without_scale_selection	bootstrap_role_in_physical_global_selection
S21	physical_connection_selector	OPEN	ALL_BRANCHES	h_f_and_stabilizer_families_survive	no_registered_operator
S22	complete_finite_cell_connection	OPEN	ALL_TWELVE_REGISTERED_FAMILIES	zero_complete_onshell_g_phi_branches	interface_holonomy_and_branch_selection
S23	action_source_boundary_carrier_mass	OPEN_NOT_ACTIVATED	OUTSIDE_AUDIT	no_downstream_operator_used	separate_derivation
