candidate	type	derived_content	solder_ruling
OBSERVER_PATH_2PLUS2_REDUCTION	TANGENT_BUNDLE_REDUCTION	NORMAL_PLANE_PLUS_SCREEN_GIVEN_G_U_K	CONDITIONAL_REDUCTION_NOT_CLOCK_SCREEN_IDENTIFICATION
HODGE_NORMAL_SCREEN_AREA_DUALITY	SPACETIME_TWOFORM_MAP	STAR_NORMAL_AREA_EQUALS_SCREEN_AREA_UP_TO_ORIENTATION_SIGN	DERIVED_UNIVERSAL_CONTROL_TYPE_MISMATCH_TO_JACOBI_PHASE
SO2_EQUIVARIANT_LINEAR_CLOCK_TO_PHASE_MAP	BUNDLE_HOMOMORPHISM	ZERO_ONLY_WITHOUT_SCREEN_DIRECTION	OBSTRUCTED_BY_ENDPOINT_SCREEN_GAUGE
SO2_INVARIANT_CLOCK_PHASE_CROSS_PAIRING	BILINEAR_CROSS_BLOCK	ZERO_ONLY_WITHOUT_SCREEN_DIRECTION	OBSTRUCTED_BY_ENDPOINT_SCREEN_GAUGE
PARALLEL_TIDAL_INVARIANT_SCREEN_LINE	RANK2_PHASE_SUBBUNDLE	EXISTS_IFF_DP_EQUALS_ZERO_AND_T_COMMUTES_WITH_P	CONDITIONAL_NOT_SELECTED
SCALAR_JACOBI_RECIPROCAL_GENERATOR_MATCH	REAL_INTERTWINER	POINTWISE_NATURAL_FRAME_NONTRIVIAL_MATCH_IFF_K_EQUALS_MINUS_A_SQUARED	UNIQUE_CONDITION_CHARACTERIZED_NO_REGISTERED_COMPLETE_WITNESS
WRL_SCALAR_PROFILE_RELATION	BRANCH_SPECIFIC_SCALAR_IDENTITY	R_EQUALS_X_TIMES_ONE_MINUS_Q_INVERSE_SQUARED	DERIVED_LOCAL_PROFILE_RELATION_NOT_TRANSPORT_SOLDER
FULL_COFRAME_CONNECTION	SPACETIME_FRAME_TRANSPORT	HODGE_PARALLEL_BUT_OFFSTABILIZER_BLOCK_MIXES_SPLIT	DERIVED_PER_METRIC_NOT_RECIPROCAL_JACOBI_IDENTIFICATION
DPHI_3PLUS3_TWOFORM_REDUCTION	FIELD_ASSISTED_LAMBDA2_REDUCTION	REAL_HODGE_EXCHANGED_SECTORS_ON_NONNULL_DPHI	DERIVED_ON_DOMAIN_NO_CANONICAL_RANK2_JACOBI_SUBBUNDLE
PRIOR_MATCHED_ANGULAR_INTERTWINER	CONDITIONAL_REPRESENTATION_THEOREM	FULL_RANK_IFF_ANGULAR_GENERATOR_SIMILAR_TO_RECIPROCAL_GENERATOR	CONDITIONAL_INPUT_NOT_SELECTED
CURVATURE_OR_HOLONOMY_SELECTED_PLANE	SPECTRAL_OR_GLOBAL_REDUCTION	ZERO_ISOLATED_REAL_SIMPLE_EIGENBIVECTOR_PLANES_IN_REGISTERED_6144_TWOJETS	BOUNDED_NEGATIVE_REUSED_GLOBAL_REDUCTION_OPEN
DIRECT_SUM_CLOCK_PLUS_JACOBI	REDUCIBLE_PATH_COCYCLE	EXACT_COMPOSITION_GIVEN_COMMON_TYPED_PATH_DATA	DERIVED_AND_REMAINS_STRONGEST_UNCONDITIONAL_ASSEMBLY
