completion_id	topology_family	dphi_reduction	hodge_globality	angular_representation	complete_g_phi_witness	solder_ruling
FC01_BOUNDARY_BOUNDARY	I_X_ORBIT	CONDITIONAL_ON_UNSUPPLIED_G_PHI_PROFILE_AND_BOUNDARY_DATA	CONDITIONAL_ON_ORIENTATION_AND_NONNULL_DPHI	NO_UNIQUE_MATCHED_CONTINUOUS_ANGULAR_REPRESENTATION_SUPPLIED	NO	NO_COMPLETE_ONSHELL_SOLDER_WITNESS;NO_BRANCH_SELECTED
FC02_ONE_CAP_BOUNDARY	SOLID_TORUS_WITH_BOUNDARY	CONDITIONAL_AND_CAP_EXTENSION_PROFILE_DEPENDENT	CONDITIONAL_ON_ORIENTATION_CAP_REGULARITY_AND_NONNULL_DPHI	NO_UNIQUE_MATCHED_CONTINUOUS_ANGULAR_REPRESENTATION_SUPPLIED	NO	NO_COMPLETE_ONSHELL_SOLDER_WITNESS;NO_BRANCH_SELECTED
FC03_TWO_CAP_P0	S2_X_S1_STANDARD_OR_GENERAL_P0	OBSTRUCTED_FOR_STATIC_REAL_PHI__CONDITIONAL_TIME_LIVE	ORIENTABLE_CLASS_BUT_DPHI_DOMAIN_OPEN	NO_UNIQUE_MATCHED_CONTINUOUS_ANGULAR_REPRESENTATION_SUPPLIED	NO	NO_COMPLETE_ONSHELL_SOLDER_WITNESS;NO_BRANCH_SELECTED
FC04_TWO_CAP_P1	S3	OBSTRUCTED_FOR_STATIC_REAL_PHI__CONDITIONAL_TIME_LIVE	ORIENTABLE_CLASS_BUT_DPHI_DOMAIN_OPEN	NO_UNIQUE_MATCHED_CONTINUOUS_ANGULAR_REPRESENTATION_SUPPLIED	NO	NO_COMPLETE_ONSHELL_SOLDER_WITNESS;NO_BRANCH_SELECTED
FC05_TWO_CAP_P_GT1	LENS_L_P_Q	OBSTRUCTED_FOR_STATIC_REAL_PHI__CONDITIONAL_TIME_LIVE	ORIENTABLE_CLASS_BUT_DPHI_DOMAIN_OPEN	NO_UNIQUE_MATCHED_CONTINUOUS_ANGULAR_REPRESENTATION_SUPPLIED	NO	NO_COMPLETE_ONSHELL_SOLDER_WITNESS;NO_BRANCH_SELECTED
FC06_NONPRIMITIVE_CAP	SINGULAR_TORIC_COMPLETION	DEFINED_ONLY_ON_REGULAR_NONNULL_DPHI_COMPLEMENT	UNDEFINED_AT_TRUE_METRIC_OR_MANIFOLD_SINGULARITY	SINGULAR_OR_ORBIFOLD_CAP_DATA	NO	NO_COMPLETE_ONSHELL_SOLDER_WITNESS;NO_BRANCH_SELECTED
FC07_PERIODIC_TORUS_BUNDLE	TORUS_BUNDLE_OVER_S1	OBSTRUCTED_FOR_STATIC_REAL_PHI__CONDITIONAL_TIME_LIVE	GL2Z_ORIENTATION_AND_DPHI_GLUE_DEPENDENT	GENERAL_GL2Z_MONODROMY__NO_MATCHED_CONTINUOUS_CHARACTER_REQUIRED	NO	NO_COMPLETE_ONSHELL_SOLDER_WITNESS;NO_BRANCH_SELECTED
FC08_MIRROR_DOUBLE	DOUBLE_OR_REFLECTION_QUOTIENT	EVEN_STATIC_MIRROR_BRANCH_OBSTRUCTED__OTHER_LIFTS_CONDITIONAL	ANGULAR_AND_ORIENTATION_LIFT_DEPENDENT	MULTIPLE_DISCRETE_SEAL_LIFTS__NO_CONTINUOUS_ANGULAR_CHARACTER_SELECTED	NO	NO_COMPLETE_ONSHELL_SOLDER_WITNESS;NO_BRANCH_SELECTED
FC09_NONORIENTABLE_GLUE	NONORIENTABLE_ORIENTATION_TWISTED	REAL_3PLUS3_PROJECTORS_CAN_DESCEND_IF_DPHI_LINE_DESCENDS	ORDINARY_GLOBAL_HODGE_ENDOMORPHISM_FAILS__ORIENTATION_TWIST_REQUIRED	NO_UNIQUE_MATCHED_CONTINUOUS_ANGULAR_REPRESENTATION_SUPPLIED	NO	NO_COMPLETE_ONSHELL_SOLDER_WITNESS;NO_BRANCH_SELECTED
FC10_STRATIFIED_PROJECTOR	STRATIFIED_DISTRIBUTION	SURVIVES_OTHER_MOTIF_CHANGES_IFF_METRIC_REGULAR_AND_DPHI_NONNULL	CONDITIONAL_ON_ORIENTATION_METRIC_REGULARITY_AND_NONNULL_DPHI	NO_UNIQUE_MATCHED_CONTINUOUS_ANGULAR_REPRESENTATION_SUPPLIED	NO	NO_COMPLETE_ONSHELL_SOLDER_WITNESS;NO_BRANCH_SELECTED
FC11_NONINTEGRABLE_DISTRIBUTION	NONINTEGRABLE_PLANE_FIELD	CONDITIONAL_INDEPENDENT_OF_REGISTERED_NONINTEGRABLE_PLANE	CONDITIONAL_ON_ORIENTATION_AND_NONNULL_DPHI	NO_UNIQUE_MATCHED_CONTINUOUS_ANGULAR_REPRESENTATION_SUPPLIED	NO	NO_COMPLETE_ONSHELL_SOLDER_WITNESS;NO_BRANCH_SELECTED
FC12_RECIPROCAL_TORIC_DIAGONAL	BOUNDARY_P0_S3_LENS_OR_OTHER_PER_CAP_DATA	EXACT_ON_OPEN_NONNULL_DPHI_PROFILE__GLOBAL_ENDPOINT_EXTENSION_OPEN	AVAILABLE_ON_ORIENTED_NONNULL_OPEN_CONTROL__GLOBAL_CAP_OR_GLUE_OPEN	MATCHED_CONTINUOUS_REPRESENTATION_SUPPLIED_CONDITIONALLY	NO	NO_COMPLETE_ONSHELL_SOLDER_WITNESS;NO_BRANCH_SELECTED
