claim	status	scope	forbidden_promotion
oriented_screen_holonomy_curvature_degree_two_differential_character	DERIVED_CONDITIONAL	supplied_smooth_oriented_regular_rank_two_screen_bundle	physical_transport_or_dynamics
curvature_periods_represent_euler_class	DERIVED_CONDITIONAL	closed_oriented_two_cycles_with_frozen_sign	physical_charge
smooth_regular_continuation_preserves_euler_class	DERIVED_CONDITIONAL_KINEMATIC	fixed_rank_bundle_over_W_times_I	physical_conservation_law
connections_on_identified_oriented_metric_bundle_differ_by_bJ	DERIVED_MATHEMATICAL	supplied_orientation_preserving_isometric_bundle_identification	universal_sky_pair_identity
same_class_curvature_differs_by_db	DERIVED_MATHEMATICAL	fixed_identified_oriented_bundle	physical_evolution_equation
G225_full_sky_TS2_euler_number_two	DERIVED_CONDITIONAL_REFRAME	supplied_calibrated_observer_event_and_full_direction_sphere	general_pair_worldtube_flux
global_g_R_epsilon_same_pair_state_same_class_different_local_flux	SYMBOLIC_AND_INDEPENDENTLY_REPLAYED	R_t_times_R_z_times_S2_R_positive_epsilon_real	selected_physical_history
global_witness_smooth_complete_globally_hyperbolic	DERIVED_CONDITIONAL	finite_epsilon_positive_R_product_metric	whole_metric_solution_space
continuous_screen_flux_propagation	OPEN	complete_time_live_UDT_history	topological_identity
nonorientable_reflection_twisted_euler_descent	OPEN_STRATUM	general_O2_screen_bundle	closed_by_orientable_result
physical_metric_history_selection	OPEN	complete_UDT_theory	claimed_from_same_class_counterfamily
