object	status	role	omitted_or_forbidden_promotion
smooth_Lorentzian_metric_history	SUPPLIED	defines_Levi_Civita_connection	physical_history_selection
regular_complete_pair_screen_carry	SUPPLIED_REGULAR	defines_base_bundle_projection_and_paths	physical_pair_or_loop_population
oriented_positive_rank_two_screen_bundle	BOUNDED_STRATUM	SO2_connection_and_signed_Euler_flux	nonorientable_O2_completion
G290_projected_screen_connection	DERIVED_CONDITIONAL	connection_holonomy_and_curvature	physical_transport_or_dynamics
closed_cycles_and_worldtubes	SUPPLIED_OR_RANGED_OVER	global_period_and_transgression_domains	preferred_physical_cycles
orientation_sign	FREE_AND_EXPLORED	signed_flux_convention	orientation_as_physical_selection
R	FREE_AND_EXPLORED	global_witness_screen_scale	selected_absolute_scale
epsilon	FREE_AND_EXPLORED	continuous_same_class_metric_family	fitted_history_coefficient
c_E	OBSERVED	clock_ruler_units_in_pair_block	history_or_flux_law
G225_unit_celestial_sphere	PINNED_BY_THEORY_G225	normalized_direction_space_and_TS2_screen	physical_radius_or_matter_carrier
sky_pair_bundle_identification	SUPPLIED_WHEN_USED	types_connection_comparison	automatic_identity
differential_character_Euler_and_Gauss_Bonnet_methods	MATHEMATICAL_METHODS	global_descent_and_period_classification	new_UDT_dynamics
action_source_field_equation_boundary_observation_mass_Planck_Xmax	FORBIDDEN	none	owned_input_or_conclusion
physical_continuous_flux_propagation_and_history_selection	OPEN	future_law_target	inferred_from_topological_persistence
