claim	status	scope
reciprocal exponential response	DERIVED_CONDITIONAL_WITH_FOUNDING_PREMISE_STAMPS	given additive reciprocal depth
projective tanh profile	AVAILABLE_PROJECTIVE_PHYSICAL_SOLDER_OPEN	unique anchored projective coordinate
WRL exponential profile	DERIVED_CONDITIONAL_LOCAL_CLOCK_DEPTH	not global observer_pair diameter
B19 round profile	DERIVED_CONDITIONAL_THIRD_BOUNDED_PROFILE	angular depth constant lapse conditional C2
three bounded profiles exact identity	REFUTED_PAIRWISE	positive constant length and depth_unit rescalings
shared endpoint exponent selects profile	REFUTED	tanh and B19 kappa_one share exponent two but differ in shape invariant
first order Taylor selects profile	REFUTED	projective and WRL share neutral unit slope
FC12 arbitrary profile selects a law	REFUTED_CHOICE_NOT_DERIVATION	A_phi remains free
registered complete clock_soldered profile	ZERO	12 FC rows 28 equation families 3 controls
physical global Xmax	OPEN_NOT_EVALUABLE	no coherent clock angular event_pair global diameter witness
overall	THREE_DISTINCT_BOUNDED_PROFILE_STRUCTURES_NO_PHYSICAL_SELECTOR	registered exact profile overlay
