id	premise	status	use_or_limit
P01	reciprocal clock/ruler exponential response	FOUNDING_WITH_REGULARITY	exp(plus_or_minus_phi) retained exactly
P02	transnormal evaluator	DERIVED_GIVEN_PHYSICAL_OBSERVER_REST_METRIC	dD_dphi_equals_one_over_sqrt_B
P03	physical distance type	NONNEGATIVE	direction or chart sign stored separately
P04	projective tanh coordinate	UNIQUE_GIVEN_ANCHORED_PROJECTIVE_INTERPRETATION	not yet physical proper distance
P05	WRL profile	CONDITIONAL_LOCAL_CLOCK_DEPTH	exact proper radial slice not global pair diameter
P06	FC12 reciprocal toric profile	CONDITIONAL_OPEN_PROFILE	A_phi free and unselected; angular phi and constant lapse
P07	B19 round capped profile	CONDITIONAL_C2_ON_SHELL_SPATIAL_CONTROL	angular phi constant lapse scale b free
P08	relative clock_angular depth unit kappa	FREE_AND_EXPLORED	all finite positive values retained symbolically
P09	positive physical length scales	FREE_SYMBOLIC	constant rescalings retained; no fitted value
P10	complete finite_cell registry	PINNED_BY_PRIOR_VERIFIED_CENSUS	twelve FC rows and twenty_eight equation families
P11	c observational anchor	FOUNDING	converts clock and length units; not used as profile selector
P12	global Xmax	OPEN_WORKING_MAXIMUM_PAIR_DISTANCE	no value or branch realization assumed
P13	angular sector	PINNED_BY_SUPPLIED_CONTROL	round B19 and toric FC12 terms retained; no angular suppression
P14	branch splice	PROHIBITED	pieces from different families cannot be counted as one witness
P15	action provenance	PINNED_BY_SOURCE	B19 conditional C2; no complete native action claimed
P16	observer_pair solder	OPEN	no clock_angular_event_pairing identity assumed
