route_id	route	equation_or_result	load_bearing_assumptions	current_disposition	defect_or_boundary_kind	reusable_clue	source
H01	Reciprocal character and terminal depth	D(delta)=diag(exp(-delta),exp(delta)); chi=tanh(delta)	Supplied ordered depth and complete regular calibrated pair	DERIVED/DERIVED_CONDITIONAL; complete assignment OPEN	Object/ownership upgrade would be invalid	Keep completed evaluator; do not promote phi to an independent field	udt_founding_phi_ownership_morphism_audit_2026-08-05/EXACT_DERIVATION.md
H02	Conformal metric action	S=alpha integral sqrt(-g) C^2 -> Bach=0	Strong local CSN plus stated metric/action class	UNIQUE_CONDITIONAL; strong-CSN selector inactive	Challenged ownership; not refuted algebra	Action classification is conditional; cold agreement is not premise proof	udt_conceptual_object_type_dependency_audit_2026-08-05/AUDIT_REPORT.md
H03	Independent-scalar action	a div(X grad phi)=rho_phi; 4alpha Bach+T=0	Independent weight-zero phi, chosen X^2 action/source and variation	CONDITIONAL; not current metric-only law	Extra field and action were supplied	Keep covariant derivation; do not identify independent phi with pair depth	native_action_stage1_2026-07-18/arm_A/cold_output/D0_D5.md
H04	Early reciprocal EH reduction	r^2R=d_r[-r^2Aprime-2rA+2r]	Reciprocal spherical ansatz inserted before variation	Retained exact diagnostic; not native equation	Restricted/full variation inequivalence	Specify law and variations together; no lost equation reinstated by familiarity	native_action_arm_c_2026-07-18/ARM_C_RETURN/ARM_C_REPORT.md
H05	Carrier covariant completion	Corrected L2+L4 covariant action and distinct stress channels	S2 posit; chosen completion/measure; declared signature/variation	CONDITIONAL; carrier/source identity unselected	Actual sign defects repaired; ownership still conditional	Static energy does not own time-live dynamics or physical source	native_action_final_adjudication_2026-07-18/FINAL_ADJUDICATION_REPORT.md
H06	Stationary P4 F01/F02 equations	exp(a_F p) quadratic family; F02 local jet-response background	Chosen stationary law/census, modulus-vs-field variation and boundary sector	Conditional branch-specific survivors; no full time-live metric law	Quantifier/domain changes alter conclusion	Keep integrated vs pointwise variation and response-jet scope distinct	udt_scientific_arc_recovery_checkpoint_2026-08-04/MASS_BRANCH_AUTHORITY_MAP.tsv
N01	G259 full metric operator class	E=a G+b g; flat vacuum/nonzero a -> G=0	Smooth natural metric two-jet; identity divergence; nonidentity/flat member	Reviewed CONDITIONAL classification	Class membership unowned; old-CSN objection not current	Reuse theorem; symmetry follows within refined theorem; zero equation excluded	udt_g259_metric_only_parent_operator_fork_classification_2026-08-25/LOVELOCK_NAVARRO_SCOPE.md
N02	G301 response classification	E=a Ric+b Rg; generic and exceptional E=0 classes	Full stated naturality/order/domain/regularity/weight/scale/principal gates	Reviewed CONDITIONAL classification; initial certification defects repaired	Conditional assumptions; not failed mathematical landing	Compare equation-equivalence classes; do not duplicate coefficients as laws	udt_g301_scale_free_quiet_regular_causal_principal_classification_2026-08-30/AUDIT_REPORT.md
N03	G310/G311 DDR	TF(E)=0; in full G301 with a!=0 -> Ric=Lambda g	Owner-provisional DDR; specified symmetric response and all regular local pair planes	Owner-provisional postulate plus conditional derived consequence	Balance does not identify response formula	Response-first can build on an owned balance; E=0 is not DDR	udt_g311_universal_reciprocity_full_covariant_response_2026-09-01/EXACT_DERIVATION.md
N04	G312 former native-membership route	Conditional class closure under stronger quiet-GR response overlap	Historical stronger GR input and local finite-jet constitution	Current GR FILTER ONLY; Local Metric Sufficiency owner-provisional; join UNCLOSED	Authority narrowed, conditional mathematics preserved	Do not build desired GR response into its own recovery	udt_gr_filter_reconciliation_2026-09-09/AUTHORITY_RECORD.md
N05	GL1/GL2/RF1 controlled route	TF(E)=a TF(Ric)+controlled remainder; conditional Einstein limit	Fixed typed regular response, nonzero leading coefficient, controlled actual jets/family	G399--G401 BANKED CONDITIONAL; complete law not supplied	Known sufficient hypotheses remain; ambient-extension gap removed	Use realizable jets and honest limits; not exact dynamics from leading term	udt_response_foundations_campaign_2026-09-10/CANDIDATE.md
N06	ND1/ND2 discrimination	Two residuals share filtered static backgrounds but differ outside; nonlinear tangent obstruction	Declared complete spherical class and unadopted quadratic control	G395/G396 BANKED CONDITIONAL	Background and linearized false inference refuted in scope	Test different developments/predictions, not only shared backgrounds	udt_native_response_discrimination_2026-09-09/DECISION_BRIEF.md
N07	Optional sourced equations	Ric=Lambda_*g+beta n qq; restricted analytic joint developments	Chosen product/data and optional source identification/coupling	G367--G373 CONDITIONAL; source law OPTIONAL UNADOPTED PAUSED	Physical coupling not derived; development theorem real	Keep source role separate; residual-defined source is not closure	udt_g367_g369_conditional_banking_2026-09-08/BANKING_RECORD.md
N08	Maxwell-like geometric representation	Chosen field/screen/Killing representations	Supplied profile/generator/screen; optional field identification	NFCA1/GFC1 conditional UNPROMOTED; automatic expansion PAUSED	Representation did not supply native dynamics	No chosen field or generator inserted into the metric equation	udt_native_field_connection_audit_2026-09-13/REVIEWED_AUDIT.md
N09	Law-home and development separation	Full metric faithful state; first local nonidentity order curvature; lawful data distinct from actualization	Declared configuration/response architecture and matching equation/data scope	G296/G314 bounded results; no native law selected	No unique universe required for scoped field theory	Law and variation form one specification; response may precede action	udt_g296_complete_metric_native_residual_order_map_2026-08-29/ARCHITECTURE_CLASSIFICATION.tsv
