object	status	provenance	active_use	forbidden_promotion
metric_complete_coframe	CONDITIONAL_SUPPLIED	G89_G93	natural_forms_and_query_geometry	selected_history_or_dynamics
orientation_time_orientation	CONDITIONAL_SUPPLIED	query_typing	volume_Hodge_future_null_branch	derived_global_arrow
affine_null_query	CONDITIONAL_SUPPLIED	G94_G95	tangent_labels_Jacobi_endpoint_clocks	physical_carrier
source_label_form	QUERY_SUPPLIED	observer_query	geometric_label_measure	emitted_energy_or_particle_number
regular_local_branch	CHOSE	bounded_test_domain	local_orientation_preserving_classification	global_physical_universe
physical_carrier_population	OPEN	NONE	ownership_target	ray_labels_called_cargo
collisionless_evolution	OPEN	NONE	ownership_target	Hamiltonian_flow_called_population_law
zero_side_flux	OPEN	NONE	ownership_target	regularity_called_transparency
action_constitutive_source	OPEN	NONE	not_used	Maxwell_or_matter_imported
c_E	OBSERVED	founding_calibration	dimensional_calibration	carrier_normalization
source_luminosity_isotropy	OPEN	NONE	not_used	observational_closure
