case_id	p	m	n	gram_rank	det_h	signature	a_calibrated_terminal	T2	L2	delta_beta
P0001	0	0	0	0	-36	LORENTZIAN	true	4	9	0
P0002	0	0	1/4	1	-37	LORENTZIAN	true	4	37/4	0
P0003	0	0	1/2	1	-38	LORENTZIAN	true	4	19/2	0
P0004	0	0	1	1	-40	LORENTZIAN	true	4	10	0
P0005	0	0	5/4	1	-41	LORENTZIAN	true	4	41/4	0
P0006	0	0	2	1	-44	LORENTZIAN	true	4	11	0
P0007	0	0	4	1	-52	LORENTZIAN	true	4	13	0
P0008	0	0	17/4	1	-53	LORENTZIAN	true	4	53/4	0
P0009	0	0	5	1	-56	LORENTZIAN	true	4	14	0
P0010	0	0	8	1	-68	LORENTZIAN	true	4	17	0
P0011	1/4	-1	4	1	-199/4	LORENTZIAN	true	15/4	199/15	4/15
P0012	1/4	-1	17/4	2	-811/16	LORENTZIAN	true	15/4	811/60	4/15
P0013	1/4	-1	5	2	-107/2	LORENTZIAN	true	15/4	214/15	4/15
P0014	1/4	-1	8	2	-259/4	LORENTZIAN	true	15/4	259/15	4/15
P0015	1/4	-1/2	1	1	-151/4	LORENTZIAN	true	15/4	151/15	2/15
P0016	1/4	-1/2	5/4	2	-619/16	LORENTZIAN	true	15/4	619/60	2/15
P0017	1/4	-1/2	2	2	-83/2	LORENTZIAN	true	15/4	166/15	2/15
P0018	1/4	-1/2	5	2	-211/4	LORENTZIAN	true	15/4	211/15	2/15
P0019	1/4	-1/4	1/4	1	-139/4	LORENTZIAN	true	15/4	139/15	1/15
P0020	1/4	-1/4	1/2	2	-571/16	LORENTZIAN	true	15/4	571/60	1/15
P0021	1/4	-1/4	5/4	2	-77/2	LORENTZIAN	true	15/4	154/15	1/15
P0022	1/4	-1/4	17/4	2	-199/4	LORENTZIAN	true	15/4	199/15	1/15
P0023	1/4	0	0	1	-135/4	LORENTZIAN	true	15/4	9	0
P0024	1/4	0	1/4	2	-555/16	LORENTZIAN	true	15/4	37/4	0
P0025	1/4	0	1	2	-75/2	LORENTZIAN	true	15/4	10	0
P0026	1/4	0	4	2	-195/4	LORENTZIAN	true	15/4	13	0
P0027	1/4	1/4	1/4	1	-139/4	LORENTZIAN	true	15/4	139/15	-1/15
P0028	1/4	1/4	1/2	2	-571/16	LORENTZIAN	true	15/4	571/60	-1/15
P0029	1/4	1/4	5/4	2	-77/2	LORENTZIAN	true	15/4	154/15	-1/15
P0030	1/4	1/4	17/4	2	-199/4	LORENTZIAN	true	15/4	199/15	-1/15
P0031	1/4	1/2	1	1	-151/4	LORENTZIAN	true	15/4	151/15	-2/15
P0032	1/4	1/2	5/4	2	-619/16	LORENTZIAN	true	15/4	619/60	-2/15
P0033	1/4	1/2	2	2	-83/2	LORENTZIAN	true	15/4	166/15	-2/15
P0034	1/4	1/2	5	2	-211/4	LORENTZIAN	true	15/4	211/15	-2/15
P0035	1/4	1	4	1	-199/4	LORENTZIAN	true	15/4	199/15	-4/15
P0036	1/4	1	17/4	2	-811/16	LORENTZIAN	true	15/4	811/60	-4/15
P0037	1/4	1	5	2	-107/2	LORENTZIAN	true	15/4	214/15	-4/15
P0038	1/4	1	8	2	-259/4	LORENTZIAN	true	15/4	259/15	-4/15
P0039	1/2	-2	8	1	-127/2	LORENTZIAN	true	7/2	127/7	4/7
P0040	1/2	-3/2	5	2	-205/4	LORENTZIAN	true	7/2	205/14	3/7
P0041	1/2	-5/4	17/4	2	-767/16	LORENTZIAN	true	7/2	767/56	5/14
P0042	1/2	-1	2	1	-79/2	LORENTZIAN	true	7/2	79/7	2/7
P0043	1/2	-1	4	2	-93/2	LORENTZIAN	true	7/2	93/7	2/7
P0044	1/2	-3/4	5/4	2	-583/16	LORENTZIAN	true	7/2	583/56	3/14
P0045	1/2	-3/4	17/4	2	-751/16	LORENTZIAN	true	7/2	751/56	3/14
P0046	1/2	-1/2	1/2	1	-67/2	LORENTZIAN	true	7/2	67/7	1/7
P0047	1/2	-1/2	1	2	-141/4	LORENTZIAN	true	7/2	141/14	1/7
P0048	1/2	-1/2	5	2	-197/4	LORENTZIAN	true	7/2	197/14	1/7
P0049	1/2	-1/4	1/4	2	-519/16	LORENTZIAN	true	7/2	519/56	1/14
P0050	1/2	-1/4	5/4	2	-575/16	LORENTZIAN	true	7/2	575/56	1/14
P0051	1/2	0	0	1	-63/2	LORENTZIAN	true	7/2	9	0
P0052	1/2	0	1/2	2	-133/4	LORENTZIAN	true	7/2	19/2	0
P0053	1/2	0	2	2	-77/2	LORENTZIAN	true	7/2	11	0
P0054	1/2	0	8	2	-119/2	LORENTZIAN	true	7/2	17	0
P0055	1/2	1/4	1/4	2	-519/16	LORENTZIAN	true	7/2	519/56	-1/14
P0056	1/2	1/4	5/4	2	-575/16	LORENTZIAN	true	7/2	575/56	-1/14
P0057	1/2	1/2	1/2	1	-67/2	LORENTZIAN	true	7/2	67/7	-1/7
P0058	1/2	1/2	1	2	-141/4	LORENTZIAN	true	7/2	141/14	-1/7
P0059	1/2	1/2	5	2	-197/4	LORENTZIAN	true	7/2	197/14	-1/7
P0060	1/2	3/4	5/4	2	-583/16	LORENTZIAN	true	7/2	583/56	-3/14
P0061	1/2	3/4	17/4	2	-751/16	LORENTZIAN	true	7/2	751/56	-3/14
P0062	1/2	1	2	1	-79/2	LORENTZIAN	true	7/2	79/7	-2/7
P0063	1/2	1	4	2	-93/2	LORENTZIAN	true	7/2	93/7	-2/7
P0064	1/2	5/4	17/4	2	-767/16	LORENTZIAN	true	7/2	767/56	-5/14
P0065	1/2	3/2	5	2	-205/4	LORENTZIAN	true	7/2	205/14	-3/7
P0066	1/2	2	8	1	-127/2	LORENTZIAN	true	7/2	127/7	-4/7
P0067	1	-2	4	1	-43	LORENTZIAN	true	3	43/3	2/3
P0068	1	-2	17/4	2	-175/4	LORENTZIAN	true	3	175/12	2/3
P0069	1	-2	5	2	-46	LORENTZIAN	true	3	46/3	2/3
P0070	1	-2	8	2	-55	LORENTZIAN	true	3	55/3	2/3
P0071	1	-1	1	1	-31	LORENTZIAN	true	3	31/3	1/3
P0072	1	-1	5/4	2	-127/4	LORENTZIAN	true	3	127/12	1/3
P0073	1	-1	2	2	-34	LORENTZIAN	true	3	34/3	1/3
P0074	1	-1	5	2	-43	LORENTZIAN	true	3	43/3	1/3
P0075	1	-1/2	1/4	1	-28	LORENTZIAN	true	3	28/3	1/6
P0076	1	-1/2	1/2	2	-115/4	LORENTZIAN	true	3	115/12	1/6
P0077	1	-1/2	5/4	2	-31	LORENTZIAN	true	3	31/3	1/6
P0078	1	-1/2	17/4	2	-40	LORENTZIAN	true	3	40/3	1/6
P0079	1	0	0	1	-27	LORENTZIAN	true	3	9	0
P0080	1	0	1/4	2	-111/4	LORENTZIAN	true	3	37/4	0
P0081	1	0	1	2	-30	LORENTZIAN	true	3	10	0
P0082	1	0	4	2	-39	LORENTZIAN	true	3	13	0
P0083	1	1/2	1/4	1	-28	LORENTZIAN	true	3	28/3	-1/6
P0084	1	1/2	1/2	2	-115/4	LORENTZIAN	true	3	115/12	-1/6
P0085	1	1/2	5/4	2	-31	LORENTZIAN	true	3	31/3	-1/6
P0086	1	1/2	17/4	2	-40	LORENTZIAN	true	3	40/3	-1/6
P0087	1	1	1	1	-31	LORENTZIAN	true	3	31/3	-1/3
P0088	1	1	5/4	2	-127/4	LORENTZIAN	true	3	127/12	-1/3
P0089	1	1	2	2	-34	LORENTZIAN	true	3	34/3	-1/3
P0090	1	1	5	2	-43	LORENTZIAN	true	3	43/3	-1/3
P0091	1	2	4	1	-43	LORENTZIAN	true	3	43/3	-2/3
P0092	1	2	17/4	2	-175/4	LORENTZIAN	true	3	175/12	-2/3
