item	status	provenance	role	open_boundary
F1_F4_W1	pinned-by-THEORY	founding.md	metric and completed reciprocal pair machinery	values history population completion
W5	pinned-by-THEORY__OWNER_ADOPTED_WORKING	founding.md	physical interpretation of normalized complete projective coordinate	dimensional scale and all global realization
full_frame_morphism	pinned-by-THEORY	udt_g274_projective_pair_position_network_descent_2026-08-26/AUDIT_REPORT.md	composition reversal overlap and screen carry	path independence and physical path population
projective_open_ball	pinned-by-THEORY	udt_g273_projective_pair_distance_foundational_ownership_2026-08-26/AUDIT_REPORT.md	normalized position coordinate	proper radar optical and areal distance relations
constant_positive_homothety	free-and-explored	all ell>0	classify scale ownership	nonconstant conformal histories omitted
anchor_weight	free-and-explored	all real w!=0	classify one-anchor recovery	physical anchor instance not selected
anchor_value	SUPPLIED_ONLY	independent positive same-object datum	conditional scale recovery	value uncertainty and provenance open
relation_domain	free-and-explored	arbitrary subsets of open projective ball	classify supremum dependence	physical population not selected
c_E	OBSERVED	founding.md	clock/ruler unit conversion only	cannot form standalone length
X_max	OPEN_NOT_INPUT	AGENTS.md and G163	possible global populated supremum	value realization and completion open
profile_history	OPEN_NOT_USED	startup authority	no profile or field equation enters	all value propagation open
observations	CLOSED_AND_UNREAD	preregistered scope	prevent outcome-guided calibration	future empirical application open
