item	status	meaning	open_boundary
W5_projective_position	WORKING_FOUNDATIONAL_CLARIFICATION__OWNER_ADOPTED	complete screen-retaining normalized pair position	canonization and global realization
constant_homothety_invariance	DERIVED_CONDITIONAL	full frame morphism and projective state do not change	nonconstant conformal histories
dimensionful_representative	DERIVED_CONDITIONAL	x=ell*chi after scale attachment	operational distance interpretation
screen_and_frame_carry	DERIVED_CONDITIONAL	active screen survives and full morphism still composes	path population and path independence
one_nonzero_weight_anchor	DERIVED_CONDITIONAL	one matched independent datum fixes unique positive ell	anchor identity value uncertainty
additional_anchors	DERIVED_CONDITIONAL	must recover the same ell and therefore test history	physical attachment availability
c_E	OBSERVED_CALIBRATION	converts clock and ruler units after a time or length attachment	does not create ell alone
relation_domain	SUPPLIED_ONLY	determines q_R=sup norm(chi)	physical population open
X_sup	DERIVED_CONDITIONAL	X_sup=ell*q_R on supplied nonempty domain	empty and incomplete populations
X_max_equals_ell	OPEN_CONDITIONAL_ON_POPULATED_BOUNDARY	requires q_R=1 from separately owned global completion	value and realization open
metric_or_kernel_change	NOT_PERFORMED	G275 classifies existing W5 relation	all founding formulas retained
observations	NOT_USED	zero outcomes or fits entered	future calibration only
