source	sha256	bytes
AGENTS.md	e53221344ab5aaf687cfc9b48a94c94b476fa4ad34b8964995601a77a5239970	15205
LIVE.md	b8b89de2693c6493d110515c32deb6ece02275b5678326388aaf212b907214d7	17871
HANDOFF.md	b6ad2d3af738e2c07bfb53cb1f684a5ad30f3f7679a825aadd731a5a371b3de1	15398
CURRENT_RESEARCH_PROGRAM.md	fb0f5abeed26909c6a158b16a0f604547878adf922c0129139fdba1b7cccd0ec	19640
CURRENT_SCIENTIFIC_PREMISES.md	37b448b8db599055b087c940a3caad2e3ba56c10f738009dd8f59fe8c9d8c737	14492
CURRENT_SCIENTIFIC_PREMISES.tsv	2bb885062dce0f47f7ea37562aee882d5d5d41f25cb539e9dd37755bbe722b63	771038
CLAUDE.md	b7e524a5b06760e57877a408630228767ae9a394134095f9851bef5d06e17751	9879
CROSS_MODEL_VERIFY.md	2b0509d933d731fbf3f72aa88777a54d3e48a94d4bae3d324087871777f9a007	2632
INDEX.md	0f80e682b959d9273feff2411f5c539755cf0f5552c61ebd9eeaafa6e1ee7de5	9183
MEMORY.md	b9abad534822dd3acc82fb1be32f1270e8e694503a5a8dbfc6c23feb0a2994e8	5987
udt_hopfion_bridge_stability_reassessment_2026-09-08/WORK_ORDER.md	d702795004ff56fac9effffa371d169e38b8638d0a3538d8175e45e36243abb1	5550
udt_hopfion_bridge_stability_reassessment_2026-09-08/step_02/QUESTION.md	54c623929d79a31db6784cd9632a69eca94b57d4a837b68c0cbbd5c42eafc5fa	4073
udt_hopfion_bridge_stability_reassessment_2026-09-08/step_02/REVIEW_DISPATCH.md	3c387465bb76f66271096f3a4b11dd2b5fd13a88d94e6549ffeb5294d5299a7e	3451
udt_hopfion_bridge_stability_reassessment_2026-09-08/step_01/REVIEWED_RESULT.md	62e05823ae826f1d31c8c6c6dec47573b1976aeb0704b96fc85c3993fb37e2d4	3242
udt_hopfion_bridge_stability_reassessment_2026-09-08/step_01/review/REVIEW_RECORD.md	2463c4261445bcbf53213f6dd8a1ebd570e20d0f454fad69c1f803f3439f1ad3	16088
udt_shared_readout_metric_constraint_campaign_2026-09-06/run_capture.py	8ff5469ace76bdfc84188915242abbf3baff35516f9ee3f9ba4b1cbfeb2573ef	1505
udt_g331_nonsymmetric_ricci_eigenline_fibration_perturbation_2026-09-03/AUDIT_REPORT.md	0b489b4741b5943619ac18272c48e1e23456ac0e534d78883aaf5cf6a7f1b279	5060
udt_g331_nonsymmetric_ricci_eigenline_fibration_perturbation_2026-09-03/EXACT_DERIVATION.md	9182ee3ee42e346c16059fd330c00d9399b692d0f992e25e6dd29edbe3f56a1e	9682
udt_g332_weighted_contact_vacuum_constraint_embedding_2026-09-03/AUDIT_REPORT.md	6a8a7d294f80dc4cc97fc8704a4032830a51a6e852c27b01bd209e5282b6be51	3394
udt_g332_weighted_contact_vacuum_constraint_embedding_2026-09-03/EXACT_DERIVATION.md	1e1ce4ee663c292285adf09b52c7ac4aa437eaea84be6670123fbff843c5cef6	7999
udt_g337_double_silent_third_normal_ownership_2026-09-03/AUDIT_REPORT.md	2994b28b0436a56c99e748920c41859bd7dfee3f7703733bd77c786132a51175	1805
