path	sha256	bytes
CANDIDATE_EXPOSURE.json	5edafa84636d1bda591a154d642e4a8a1df6fcaadbdbd557d6496cfb4b2f2961	737
COMMAND_PROVENANCE.md	879acd3f3bf32af12d3b2143c1f8c605da7c94e2a4ddec3735749eb9dc3f8f6c	1509
EXECUTION_INDEX.json	2d9f6654f526edb6aad2025f728f4aeff8eba1a86cb96a0d9ad1515323140730	3324
POST_EXPOSURE_RECORD.json	247139ce72731b7fc6172cbb3b7d21e695345640cd548c32707b4d0191cc6f75	764
REUSED_RECEIPTS_AUTHENTICATION.json	96c0a44064b224589bd586490e6dee4a664a162b37a449cf5bfb19226d78b6c2	647
REVIEW_RECORD.md	fbcef93d482f6b7546f4ecd450b52c2f88e66877a1035f6258a6bbab40122c81	14358
REVIEW_VERDICT.json	f36f7dee755bb0656b9f4ba32c8de49b3bebb248cde3dc35fde89e74bca2486b	1632
SOURCE_FIRST_ARGUMENT.md	93858299a8e7d6c42d3c996e8b84fc7b4c7552ecab2af3c2a999a3c6453ea89a	4293
SOURCE_FIRST_MANIFEST.tsv	7a4b20777c25368e0a679374336fac87b189aec146bd876f4ca2c4753154e4da	8058
SOURCE_FIRST_REQUIREMENTS.md	f973b271f9cff8997c8c935f78e8e9b63d4323e8de979b1f4b789b93f463dc7c	4332
SOURCE_FIRST_SCALAR_ADDENDUM.md	0202dddcb79623716365d790e38c4e58def8ed805e411efab71f31ea846e3de1	2081
SOURCE_FIRST_SEAL.json	e9cdb550a2badf15ee1a17e00c7c25e5f937841513bce046a9421ecc21ae2984	1213
SOURCE_SNAPSHOT_MANIFEST.tsv	5c6abbd78b4e73d575096e9a089f0b8b9143f5b1150a2e992307ba208e347de1	4956
WORKTREE_AT_RETURN.txt	6db0ea1b9a270a0f196b97fe9f0fb959f34b7be5f6bb66e07a5cf186507d513f	5097
WORKTREE_AT_SOURCE_SNAPSHOT.txt	53ff2a1aabc24843b415a6553a9a69af30e86247945a745fa2b28d4d298d11ca	4162
authenticate_sources.py	e10943a34d4d5d1c15505bc213cc258c3ccc7e8ec0d067854473af909a7aac6d	1496
author_replay.json	58805c40598c6a2c2e046e70bba4d234c53850751aa4db2ebbfa034dec61b3ad	386
author_replay.stderr	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0
author_replay.stdout	9d612f71809b370205acd2645cc9134dc31ffc7db863bf710ae2ef7b7a38c62b	5189
candidate_snapshot/CANDIDATE_FREEZE.md	ae766dcaa328223332430acca89ee68f2ac04e3d65d0787506ecb1cb5ba1f400	2083
candidate_snapshot/CANDIDATE_INITIAL.md	d5238bc2ef9407e3de483d386823b65a128eddaea6e10d7b0e85c33e9b42260c	10138
candidate_snapshot/author_check_initial.json	f28d8efadd6d19608c487397d6deac1aa0a3fab92af3b6cc6b6bca0a5061e4c0	387
candidate_snapshot/author_check_initial.stderr	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0
candidate_snapshot/author_check_initial.stdout	9d612f71809b370205acd2645cc9134dc31ffc7db863bf710ae2ef7b7a38c62b	5189
candidate_snapshot/check_drift.py	52eea245a035284c3699cb3530e2af5d827260862cd16ba03f7f66529730fed8	6806
independent_block_check.py	7f796219114188f91a5e0b98ed5c68a33a5c3f1c75863814e8b2f4eb4128c94f	4484
independent_block_check_focused.py	e84b5b513f35451aeeccbdf4c9f339bc3baa9ee3cc4194e8ccdeed8b47f4ff56	4064
independent_scalar_check.py	5f16efaf59f78aa18ef90860f4e68ed2f0012bda76b7ec6193f3a829f4f34e28	663
post_exposure_matched.json	0355b0c0206e18542cfaf59b701a6d47eb43a194e316eb17841ff9290efae84c	409
post_exposure_matched.stderr	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0
post_exposure_matched.stdout	6ee93d5bf4ba9f4a822fce920b654770e89a9a4667a0f3a53d715aee92400a60	3536
post_exposure_matched_check.py	b072e76a8574cbf681dea9809e20b2f10ee3d5e742adb95b0d7a0f67a19a6157	4859
post_exposure_sources/udt_g337_double_silent_third_normal_ownership_2026-09-03/derive_double_silent_third_response.py	d5dfe3161b7eebe1754f58313ce2c3030d5299048dead333d0d598aaf979b891	15233
post_seal_authentication.json	554c7521e8257e9386ef1d0d93066dcef1d7062e233b84598c56adf2578d4129	404
post_seal_authentication.stderr	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0
post_seal_authentication.stdout	6fbb4167b4c82286d13ef21b9d9df5bb5500e09735bde58e40d5633b5f19c792	2257
source_first_block.command.json	a11ac6f70af5896b180b4b5be5dae7f821927c26ca61310f65041bdc31b64e76	545
source_first_block.json	7167ff27e5b786c16e447d80dd81f64ebf50547deb32bd3b955baa7594f5d79b	408
source_first_block.stderr	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0
source_first_block.stdout	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0
source_first_block_focused.command.json	6ed4b59e61cca72cabc3456ee1a4c4d00194d963bc5432ed6627c2ee2cf8f7fa	592
source_first_block_focused.json	6b810e1f2f741e45a3bac8ecd6629cd3a4095543deca58479e91399832b04f18	413
source_first_block_focused.stderr	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0
source_first_block_focused.stdout	e469ba6591dbda1436945ec70cd21d2634b6acf5b425fe29c4ad5fba719c40cc	11522
source_first_scalar.command.json	ac73d6d9c4b55982c6e66e55ce2e441b3012583cd220c2452c6e3d643342ab2a	578
source_first_scalar.json	acf038cb4fcacaaf1b32f15bdb77284f95539205014c767f3b99198d9664265d	408
source_first_scalar.stderr	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0
source_first_scalar.stdout	6719e20e689db3d6d3ffe28567ab07984a5448b3d4d40fd8f169f80d35b691d2	329
source_snapshots/.claude/skills/completeness-map/SKILL.md	a8cf9e5f4a6d35a0d0ebfe4bc48dbf328ca74e318f020a6a22cb683666a611c0	2490
source_snapshots/.claude/skills/no-shortcuts/SKILL.md	fd3a1f3218481134f2af829d3ae4175ac53518f75bf9673287efbfb7d7708fc1	2966
source_snapshots/.claude/skills/solution-space-not-imposition/SKILL.md	095561e8f307928b286f7935d1d6f161b33ac56fe227d702c708f81a329bd47c	5060
source_snapshots/.claude/skills/solver-first/SKILL.md	b80b1ca9fe5ebccb7170c39b97ca26f32c950650328d9a2f380c3793cb9cd61b	2310
source_snapshots/.claude/skills/verifier-before-record/SKILL.md	9b3a4aacd4b4006b2b7f01edada73b7c87b99bea6e754583558713bfc145e5ac	3545
source_snapshots/AGENTS.md	e53221344ab5aaf687cfc9b48a94c94b476fa4ad34b8964995601a77a5239970	15205
source_snapshots/CLAUDE.md	b7e524a5b06760e57877a408630228767ae9a394134095f9851bef5d06e17751	9879
source_snapshots/CROSS_MODEL_VERIFY.md	2b0509d933d731fbf3f72aa88777a54d3e48a94d4bae3d324087871777f9a007	2632
source_snapshots/CURRENT_RESEARCH_PROGRAM.md	fb0f5abeed26909c6a158b16a0f604547878adf922c0129139fdba1b7cccd0ec	19640
source_snapshots/CURRENT_SCIENTIFIC_PREMISES.md	37b448b8db599055b087c940a3caad2e3ba56c10f738009dd8f59fe8c9d8c737	14492
source_snapshots/CURRENT_SCIENTIFIC_PREMISES.tsv	2bb885062dce0f47f7ea37562aee882d5d5d41f25cb539e9dd37755bbe722b63	771038
source_snapshots/HANDOFF.md	b6ad2d3af738e2c07bfb53cb1f684a5ad30f3f7679a825aadd731a5a371b3de1	15398
source_snapshots/INDEX.md	0f80e682b959d9273feff2411f5c539755cf0f5552c61ebd9eeaafa6e1ee7de5	9183
source_snapshots/LIVE.md	b8b89de2693c6493d110515c32deb6ece02275b5678326388aaf212b907214d7	17871
source_snapshots/MEMORY.md	b9abad534822dd3acc82fb1be32f1270e8e694503a5a8dbfc6c23feb0a2994e8	5987
source_snapshots/native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md	df0171eb83d75ad175727a8db541df8500b7826edf6059ae63a52f1a1ba15bea	10290
source_snapshots/native_hopfion_topology_audit_2026-07-19/TOPOLOGY_STATUS_LEDGER.tsv	de154fbb7787759864786c04186a26a4605c447d362112bb482acee064d457e4	4226
source_snapshots/startup_surface_g310_universal_reciprocity_refresh_2026-08-31/ADOPTION_RECORD.md	4eb7d0a1130dcff997bc5180f420b633e2dcbbb5072d098997ba3672b38d8ab5	2114
source_snapshots/startup_surface_g312_two_premise_adoption_refresh_2026-09-01/ADOPTION_RECORD.md	ebeae075307e7a325a840f4c2d9dcd973c18d9a3be21e6e6eccacce1ae8856f1	3061
source_snapshots/udt_g315_conditional_cauchy_characteristic_data_interface_2026-09-01/EXACT_DERIVATION.md	8653bb2162b54965c9fe0a74a17aa5cb1da9114b6289b15fb8f46cc4b30b2a63	8331
source_snapshots/udt_g321_g320_local_cauchy_development_uniqueness_2026-09-01/EXACT_DERIVATION.md	27ed748fd4d944746d88b6227eb0f4f186628770f4b1a6a9fc9d84563ccc84f4	7098
source_snapshots/udt_g331_nonsymmetric_ricci_eigenline_fibration_perturbation_2026-09-03/AUDIT_REPORT.md	0b489b4741b5943619ac18272c48e1e23456ac0e534d78883aaf5cf6a7f1b279	5060
source_snapshots/udt_g331_nonsymmetric_ricci_eigenline_fibration_perturbation_2026-09-03/EXACT_DERIVATION.md	9182ee3ee42e346c16059fd330c00d9399b692d0f992e25e6dd29edbe3f56a1e	9682
source_snapshots/udt_g332_weighted_contact_vacuum_constraint_embedding_2026-09-03/AUDIT_REPORT.md	6a8a7d294f80dc4cc97fc8704a4032830a51a6e852c27b01bd209e5282b6be51	3394
source_snapshots/udt_g332_weighted_contact_vacuum_constraint_embedding_2026-09-03/EXACT_DERIVATION.md	1e1ce4ee663c292285adf09b52c7ac4aa437eaea84be6670123fbff843c5cef6	7999
source_snapshots/udt_g337_double_silent_third_normal_ownership_2026-09-03/AUDIT_REPORT.md	2994b28b0436a56c99e748920c41859bd7dfee3f7703733bd77c786132a51175	1805
source_snapshots/udt_g337_double_silent_third_normal_ownership_2026-09-03/EXACT_DERIVATION.md	bdd8916b4a4bb1566115e61b26046940281bd38221720aeea41920ac55946826	4982
source_snapshots/udt_g374_g375_conditional_banking_2026-09-08/EXECUTION_RECORD.md	5cfe1e0b3f9876d092cea350f2ea56abbac294b769f00dfb1fe9c9db26906b73	5448
