claim_id	claim	status	scope
S01	founded reciprocal transformation is an exact additive character on supplied ordered depth	DERIVED_WITH_FOUNDING_STAMPS	abstract dimension-matched clock/ruler channels
S02	K exchange reverses depth	DERIVED_ABSTRACT_ONLY	two-channel reciprocal labels; not a causal physical swap
S03	full untyped GL arrow-only scalar cocycle recovering D is impossible	DERIVED_CONDITIONAL_NO_GO	full GL isotropy with trivial real coefficients only
S04	causal 1_2 flag action groupoid is a valid Lie groupoid	DERIVED_MATHEMATICS	open causal restriction with supplied endpoint metrics
S05	delta_RF is a smooth exact cocycle on the supplied causal flag groupoid	DERIVED_GIVEN_SUPPLIED_FLAG_AND_ARROW	algebraic order-zero readout
S06	delta_RF is unique	CONDITIONAL_UNIQUE	universal diffeomorphism-natural order-zero scalar characters plus added formal exchange and normalization only
S07	delta_RF is unique among all smooth cocycles	REFUTED	arbitrary endpoint coboundaries and refined object classes survive
S08	founding UDT supplies the physical causal flag and update	OPEN	pair-relative flag avoids preferred congruence but still requires selection and transport
S09	metric or complete coframe uniquely supplies the nonisometric A	REFUTED_UNIQUENESS	first-order gives zero-depth Levi-Civita; higher-order gives unselected families
S10	physical comparison belongs solely to tangent-bundle transport	NOT_DERIVED_TYPE_WARNING	founding D acts on calibration/coframe channels and is not a physical eta-isometry
S11	exp(-2 delta_RF) defines a reciprocal calibration transport multiplier	DERIVED_MATHEMATICS	associated line/local system
S12	exp(-2 delta_RF) is the physical c_eff endpoint ratio	OPEN_CONSISTENT_EXTENSION	requires calibration object arrow ownership and physical identification
S13	Xmax is selected or computed by the flag law	NOT_DERIVED	asymptotic gate unchanged
S14	action source matter mass CMB or signalling follows	NOT_DERIVED	outside audit scope
