candidate_id	candidate	composition	metric_naturality	depth_behavior	status	reason
A01	full_untyped_GL_arrow_only_character	exact_if_homomorphism	arena_too_large	must_vanish_on_founded_D	REJECTED_TYPE_ARENA	D is a commutator in full GL(4)
A02	causal_flag_action_groupoid_with_supplied_A	exact	groupoid_is_metric_typed_but_A_is_input	delta_RF_exact_and_mixing_sensitive	CONDITIONAL_CANDIDATE	best-typed readout; not arrow ownership
A03	Levi_Civita_parallel_transport	exact_on_supplied_path	unique_first_order_metric_natural	all_graded_density_characters_zero	DERIVED_MATHEMATICS_PHYSICALLY_INSUFFICIENT	isometric transport cannot be nonzero reciprocal dilation
A04	endpoint_orthonormal_coframe_identification	exact	selected_coframes_or_gauge_needed	isometric_or_endpoint_gauge_dependent	REJECTED_AS_OWNER	coframe matching gives zero character
A05	differential_of_exponential_map	not_segment_compositional	metric_derived_after_geodesic_input	curvature_and_focusing_sensitive	REJECTED_AS_GROUPOID_ARROW	fails at conjugate points and branches at cut loci
A06	full_Jacobi_propagator	exact_on_8D_state	metric_derived_after_geodesic_input	curvature_and_mixing_sensitive	WRONG_TYPE_WITHOUT_EXTRA_REDUCTION	4D map needs congruence/Lagrangian/Riccati data
A07	Cartan_affine_development	exact_affine	metric_derived_on_supplied_path	linear_part_isometric	REJECTED_AS_NONZERO_LINEAR_OWNER	translation is outside delta_RF linear-arrow type
A08	strain_or_polar_map	depends_on_prior_A	analysis_only	regular_stratum_invariants	NOT_AN_ARROW_GENERATOR	cannot construct cross-fibre identification
A09	higher_jet_natural_nonmetric_connection	exact_on_admissible_path_state	metric_natural_after_rule_choice	nonzero_family_delta_RF=-3c_on_witness	NONUNIQUE_COUNTERFAMILY	composition and naturality do not select c or the tensor rule
A10	stationary_Killing_norm_ratio	exact_endpoint_cocycle	metric_native_on_intrinsic_stationary_branch	nonzero_branch_local_depth	CONDITIONAL_POSITIVE_BRANCH	does not extend universally or own complete mixing
A11	endpoint_potential_difference	exact_endpoint_cocycle	requires_scalar_owner	arbitrary_coboundary_family	NONUNIQUE_CONDITIONAL	global phi ownership remains open
