object_id	object	status	owned_content	missing_join	controlling_source
F01	abstract_clock_and_ruler_measure_channels	DERIVED_WITH_FOUNDING_STAMPS	dimension-matched pair (c_E dt,dr) and reversible time-length conversion	physical observer/event realization of the channels	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md
F02	abstract_dual_pairing_K	DERIVED_WITH_FOUNDING_INTERPRETATION	contragredient duality and uv=1 on the supplied two-channel pair	physical metric meaning of K is not supplied	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md
F03	abstract_clock_ruler_exchange_parity	DERIVED_ABSTRACT_ONLY	K D(delta) K = D(-delta) on the two reciprocal labels	no causal Lorentz swap or complete-flag automorphism is derived	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md
F04	signed_ordered_depth_value	SUPPLIED_NOT_OWNED	additive input to the founded character	complete observer/event/path-to-depth law	udt_founding_phi_ownership_morphism_audit_2026-08-05/EXACT_DERIVATION.md
F05	physical_tangent_clock_line	CONDITIONAL_SUPPLIED_QUERY_DATA	available when an observer clock axis/worldline is supplied	no universal or pair-native selector in the founding packet	udt_founding_reciprocity_object_audit_2026-07-27/EXACT_DERIVATION.md
F06	physical_tangent_ruler_direction	CONDITIONAL_SUPPLIED_QUERY_DATA	available when a pair/path/measurement direction is supplied	clock line alone leaves a three-dimensional rest space	udt_native_reciprocal_comparison_bundle_audit_2026-07-27/EXACT_DERIVATION.md
F07	Lorentzian_clock_ruler_plane	DERIVED_FROM_SUPPLIED_PAIR	span of supplied timelike clock and orthogonal spacelike ruler	depends on F05 and F06	udt_cmb_N03_profile_role_regular_center_map_2026-08-09/reciprocal_flag_followup_audit.md
F08	causal_1_2_flag	CONDITIONAL_SUPPLIED_QUERY_STRUCTURE	valid typed object for a pair-relative comparison; no global congruence required	physical query must supply and carry it	udt_native_reciprocal_comparison_bundle_audit_2026-07-27/EXACT_DERIVATION.md
F09	flag_update_through_intermediate_observer	OPEN_REQUIRED_FOR_COMPOSITION	target flag of first leg must equal source flag of second	no founded re-selection or transport rule	udt_founding_observer_comparison_semantics_audit_2026-07-27/EXACT_ADJUDICATION.md
F10	orientation_and_coorientation	OPEN_NOT_REQUIRED_FOR_DENSITY_VERSION	absolute metric densities avoid orientation choices	refined signed-volume versions would require them	udt_cmb_N03_profile_role_regular_center_map_2026-08-09/reciprocal_flag_followup_audit.md
F11	complete_local_coframe_solder	CONDITIONAL_NOT_UNIQUE	seven-dimensional affine metric-response query fibre over a supplied ordered pair	finite lift and physical pair section remain open	udt_native_reciprocal_comparison_bundle_audit_2026-07-27/EXACT_DERIVATION.md
F12	reciprocal_root_flag_character	CONDITIONAL_UNIQUE_UNIVERSAL_ORDER_ZERO_READOUT	delta_RF=(ell_r-ell_t)/2 is exact after supplied flag/arrow and added complete exchange extension	not unique in full smooth cocycle class; object refinement changes character space	udt_cmb_N03_profile_role_regular_center_map_2026-08-09/reciprocal_flag_followup_audit.md
F13	physical_nonisometric_comparison_arrow	OPEN_NOT_UNIQUE_FROM_METRIC_NATURALITY	Levi-Civita is the unique first-order natural connection and gives zero depth; higher-jet natural nonmetric families exist	UDT must own one physical comparison functor or a different mathematical home	udt_founding_reciprocity_object_audit_2026-07-27/EXACT_DERIVATION.md
F14	reciprocal_calibration_line_or_local_system	OPEN_CONSISTENT_EXTENSION	exp(-2 delta_RF) defines a multiplicative associated-line transport character	physical identification with c_eff and a trivialization are not derived	udt_cmb_N03_profile_role_regular_center_map_2026-08-09/reciprocal_flag_followup_audit.md
F15	Einsteinian_c_E_scale_anchor	OBSERVED_ACTIVE_CALIBRATION	dimensionally calibrates the ordinary clock/ruler conversion	does not select depth profile arrow flag or global trivialization	CURRENT_SCIENTIFIC_PREMISES.tsv
F16	stationary_Killing_depth	CONDITIONAL_BRANCH_LOCAL_METRIC_OWNER	log lapse-norm ratio gives an exact endpoint cocycle on an intrinsic stationary branch	not universal and does not select the complete flag readout	udt_founding_phi_ownership_morphism_audit_2026-08-05/EXACT_DERIVATION.md
F17	Xmax_asymptotic_pair_limit	WORKING_UNCHANGED_GATE	finite comparisons require separation below Xmax and divergent depth at the asymptote	no separation law value profile or boundary is selected	udt_xmax_asymptotic_limit_frame_correction_2026-08-05/STATUS_AND_WORKFLOW.md
