id	premise	provenance_tag	status	authority_or_role	exclusion
P01	complete_ten_field_triangular_coframe	pinned-by-THEORY	DERIVED_CHART_GROUP	udt_native_coframe_composition_law_audit_2026-07-23	not_physical_composition
P02	independent_scalar_phi	pinned-by-THEORY	SEPARATE_FIELD_SLOTTED	complete_coframe_and_ontology_audits	not_identified_with_angular_character
P03	angular_depth_equals_scalar_phi	conditional-supplied	CHOSE_IN_EXISTING_WITNESS	udt_coframe_hopf_bridge_audit_2026-07-23	not_native_ownership
P04	toric_phase_delta_equals_xi1_minus_xi2	conditional-supplied	CHOSE_IN_EXISTING_WITNESS	coframe_bridge_and_motif_Hopf_audits	not_coframe_composed
P05	round_S2_comparison_target	conditional-supplied	POSIT	native_Hopfion_topology_audit_2026-07-19	not_native_carrier
P06	all_ten_coframe_variations	free-and-explored	ACTIVE_THIS_AUDIT	complete_chart_fields	no_frozen_direction
P07	independent_scalar_variation	free-and-explored	ACTIVE_THIS_AUDIT	separate_scalar	no_ownership_assumed
P08	angular_shear_phase_candidate	free-and-explored	ACTIVE_THIS_AUDIT	strongest_metric_only_phase_candidate	no_descent_assumed
P09	shift_phase_connection_candidate	free-and-explored	ACTIVE_THIS_AUDIT	complete_shift_block	no_section_assumed
P10	local_Lorentz_coframe_freedom	pinned-by-THEORY	GAUGE_EQUIVALENCE	complete_coframe_composition_audit	components_not_physical
P11	CSN_common_scale	pinned-by-THEORY	DERIVED_KINEMATIC_RULE	foundation_and_coframe_bridge	no_representative_selected
P12	nonnull_dphi_S2_fiber	pinned-by-THEORY	DERIVED_CONDITIONAL_FIBER	intrinsic_object_audit	not_a_section
P13	null_and_zero_dphi_interfaces	free-and-explored	RETAINED_STRATA	intrinsic_object_and_Cartan_audits	no_semisimple_extension_assumed
P14	twelve_completion_classes	free-and-explored	COMPLETE_REGISTERED_TAXONOMY	global_metric_assembly_atlas	no_class_privileged
P15	toric_periods_caps_action_orientation	conditional-supplied	EXACT_GLOBAL_CONTROL	angular_toric_closure_selector	not_selected
P16	physical_boundary_framing	conditional-supplied	OPEN	current_frontier	solver_wall_not_promoted
P17	physical_affine_transport	conditional-supplied	OPEN_SELECTOR	transport_naturality_audit	no_connection_adopted
P18	current_bootstrap	pinned-by-THEORY	AFTER_SOLUTION_ADMISSIBILITY	bootstrap_selector_and_parent_audit	not_local_operator
P19	future_Sigma_or_varied_B	conditional-supplied	OPEN_CONDITIONAL_FORM	bootstrap_selector	no_object_invented
P20	action_source_dynamics_mass_scale	conditional-supplied	OPEN_NOT_ACTIVATED	current_frontier	no_downstream_claim
P21	target_particle_or_stable_Hopfion	pinned-by-HABIT	NOT_USED	anti_imposition_rule	audit_characterizes_all_images
P22	numerical_tolerances	pinned-by-THEORY	EXACT_ALGEBRA_ONLY	this_preregistration	no_physics_threshold
