id	object	status	source	evidence
A01	conditional_Hopf_seed	EXACT_CONDITIONAL	udt_coframe_hopf_bridge_audit_2026-07-23	S05_S10_S11
A02	transverse_phase	OPEN	udt_coframe_hopf_bridge_audit_2026-07-23	S06
A03	native_coframe_to_carrier_bridge	OPEN	udt_coframe_hopf_bridge_audit_2026-07-23	S14
A04	complete_ten_field_chart_group	DERIVED_CHART_GROUP	udt_native_coframe_composition_law_audit_2026-07-23	S03
A05	chart_group_physical_descent	OPEN	udt_native_coframe_composition_law_audit_2026-07-23	S05
A06	scalar_composition_with_coframe	OPEN	udt_native_coframe_composition_law_audit_2026-07-23	S15
A07	timelike_dphi_S2_fiber	DERIVED_CONDITIONAL_FIBER	udt_complete_metric_intrinsic_object_audit_2026-07-23	S12
A08	intrinsic_Hopf_section	OPEN	udt_complete_metric_intrinsic_object_audit_2026-07-23	S13_S17
A09	twelve_completion_classes	REGISTERED_UNSELECTED	udt_global_metric_assembly_atlas_2026-07-22	COMPLETION_CLASS_REGISTRY
A10	S3_from_opposite_primitive_caps	UNIQUE_CONDITIONAL	angular_toric_closure_selector_2026-07-19	T06
A11	free_Hopf_quotient_weights	UNIQUE_CONDITIONAL	angular_toric_closure_selector_2026-07-19	T12_T14
A12	bootstrap_topology_ranking	NOT_PRESENT	angular_toric_closure_selector_2026-07-19	T16
A13	static_Hopfion_stability	SETTLED_STATIC_FINITE_BOX_CONDITIONAL	native_hopfion_topology_audit_2026-07-19	T10
A14	current_bootstrap	AFTER_SOLUTION_ADMISSIBILITY_ONLY	udt_hopf_transport_bootstrap_dependency_audit_2026-07-23	S18_S20
A15	emergent_native_Hopf_realization	OPEN_JOIN	udt_hopf_transport_bootstrap_dependency_audit_2026-07-23	S22
