catch_id	rejected_promotion	result	evidence
C01	supplied_phase_counted_as_coframe_field	PASS	established_bridge_rank_one
C02	constant_phase_rotation_counted_as_arbitrary_local_phase	PASS	D14_global_mode_only
C03	exact_torus_coordinate_shift_counted_as_physical_carrier_motion	PASS	D15_gauge_exact_part
C04	nonzero_connection_curvature_counted_as_scalar_phase	PASS	nonexact_witness_curvature_one
C05	global_holonomy_ignored	PASS	periodic_base_period_must_vanish
C06	eigenaxis_used_at_isotropy	PASS	traceless_pair_zero
C07	angular_shear_promoted_without_descent	PASS	D06_chart_candidate_only
C08	S2_fiber_promoted_to_section	PASS	S15_fiber_rank_two_section_open
C09	full_chart_rank_reported_from_aligned_submanifold	PASS	full_chart_differential_undefined
C10	target_tangent_dimension_equated_with_metric_induced_rank	PASS	supplied_phi_delta_rank_two_vs_bridge_rank_one
C11	FC04_S3_privileged_as_native	PASS	conditional_caps_quotient_orientation_phase_retained
C12	null_or_zero_dphi_extension_silently_assumed	PASS	D20_degenerate_or_undefined
C13	current_bootstrap_promoted_to_local_selector	PASS	B1_after_solution_only
C14	total_density_inserted_or_scanned	PASS	no_density_scan
C15	action_stability_time_live_mass_or_carrier_promoted	PASS	not_claimed_ledger
