id	object	status	regime	evidence	remaining_open
S01	conditional_seed_map	EXACT_CONDITIONAL	SUPPLIED_PHI_DELTA_ROUND_S2	unit_norm_and_prior_seed_crosswalk	native_ownership
S02	seed_target_tangent_space	FULL_RANK_TWO_CONDITIONAL	FINITE_PHI_WITH_INDEPENDENT_PHI_AND_DELTA	exact_Gram_diag_4sech2_sech2	both_inputs_must_be_supplied
S03	established_aligned_coframe_bridge	RANK_ONE_LATITUDE_IMAGE	FINITE_PHI_ALIGNED_DIAGONAL_SUBMANIFOLD	only_D_depth_or_conditionally_identified_scalar_column_nonzero	phase_and_full_chart_extension
S04	full_complete_coframe_to_carrier_differential	NOT_DEFINED	CURRENT_SOURCE_AUTHORITY	bridge_has_no_shear_compatible_descended_extension	physical_quotient_or_section_law
S05	base_block_and_common_scale_variations	KERNEL_OF_RESTRICTED_BRIDGE	ALIGNED_CONDITIONAL_SEED	exact_eleven_column_Jacobian	no_claim_outside_bridge_domain
S06	independent_scalar_variation	OWNERSHIP_OPEN_CONDITIONAL_LATITUDE	IF_IDENTIFIED_WITH_ANGULAR_DEPTH	coframe_and_scalar_are_separate_in_source	native_identification
S07	angular_shear_eigenaxis_phase	LOCAL_CHART_CANDIDATE_NOT_DESCENDED	ANISOTROPIC_FIXED_CHART	spin2_traceless_pair_and_nonzero_shear_derivative	invariant_soldering_to_target_phase
S08	angular_eigenaxis_at_isotropy	UNDEFINED_EXACT	PHI_ZERO_SHEAR_ZERO	traceless_pair_vanishes	patch_or_alternative_global_object
S09	shift_row_difference	PHASE_CONNECTION_DERIVED_IN_CHART	COMPLETE_TWO_PLUS_TWO_COFRAME	theta_ang_equals_D_dxi_plus_Sdx	physical_bundle_and_section
S10	shift_connection_curvature	GAUGE_INVARIANT_EXACT	TWO_DIMENSIONAL_BASE	db_equals_partial0_b1_minus_partial1_b0	native_equation_or_flatness_rule
S11	shift_connection_as_scalar_phase	CONDITIONAL_ONLY_IF_FLAT_LOCALLY	CONTRACTIBLE_BASE	db_zero_Poincare_condition	global_periods_and_section
S12	exact_shift_on_static_interval	COORDINATE_GAUGE_WITHOUT_FRAMING	ONE_DIMENSIONAL_TRIVIAL_BASE	exact_part_removed_by_base_dependent_torus_coordinate_change	physical_boundary_or_section
S13	periodic_shift_connection	HOLONOMY_DEPENDENT	S1_OR_TORUS_BUNDLE_BASE	nonzero_period_blocks_global_scalar_phase	holonomy_selection
S14	local_Lorentz_coframe_variation	GAUGE_DESCENT_OPEN	COMPLETE_COFRAME_REPRESENTATIVES	prior_exact_counterexample_to_chart_product_descent	equivariant_quotient_or_selected_section
S15	intrinsic_S2_vertical_tangent	FIBER_RANK_TWO_SECTION_OPEN	TIMELIKE_NONNULL_DPHI	unit_direction_fiber_and_stabilizer_obstruction	selected_global_section
S16	twelve_completion_classes	NO_NATIVE_FULL_CARRIER_DEFORMATION_FOUND	REGISTERED_TAXONOMY	all_twelve_individually_classified	unregistered_higher_or_nonlocal_completion_laws
S17	FC04_S3_and_FC12_control	EXACT_CONDITIONAL_SEED_RESTRICTED_DEFORMATION	SUPPLIED_TORIC_CAP_QUOTIENT_PREMISES	unit_seed_and_rank_one_metric_image	native_selection_phase_section_and_action
S18	null_or_zero_dphi_interface	DEGENERATES_OR_UNDEFINED	CAUSAL_TRANSITION_STRATA	prior_nilpotent_or_absent_line_results	transition_law
S19	current_bootstrap	OUTER_AFTER_SOLUTION_ADMISSIBILITY_ONLY	COMPLETE_MATTER_BEARING_GLOBAL_SOLUTIONS	parent_bootstrap_ruling	complete_action_source_mass_volume_boundary_solutions
S20	density_bracketing	NOT_OPERATIONAL	CURRENT_DEFORMATION_AUDIT	no_complete_matter_or_global_solution_family	future_non_circular_density_system
S21	overall_deformation_ruling	RESTRICTED_CONDITIONAL_SEED_DEFORMATION_ONLY	REGISTERED_COMPLETE_COFRAME_AND_COMPLETIONS	rank_one_bridge_plus_chart_phase_candidate_plus_phase_connection	global_descended_section
S22	carrier_action_stability_time_live_mass	OPEN_NOT_PROMOTED	OUTSIDE_AUDIT	no_downstream_physics_input	native_complete_matter_theory
S23	evidence_grade	VERIFIED_WITH_CAVEATS	EXACT_BOUNDED_TILE	production_and_independent_implementation_pass_but_no_fresh_zero_context_model_review	fresh_adversarial_review
