completion_id	topology_or_role	local_seed_possible	phase_or_torus_test	cap_or_boundary_test	orientation_or_monodromy_test	required_output	outcome	evidence
FC01_BOUNDARY_BOUNDARY	I_X_ORBIT	TO_TEST	physical_boundary_and_phase_framing	zero_caps_two_open_boundaries	orientation_if_Hopf_integral_attempted	CLASSIFY_WITHOUT_FILTER	LOCAL_ONLY_BOUNDARY_FRAMING_OPEN	no_closed_or_compactified_Hopf_domain_without_physical_boundary_data
FC02_ONE_CAP_BOUNDARY	SOLID_TORUS_WITH_BOUNDARY	TO_TEST	phase_regular_at_one_cap	one_cap_one_physical_boundary	remaining_boundary_framing	CLASSIFY_WITHOUT_FILTER	ONE_POLE_PLUS_BOUNDARY_RESTRICTED	phase_regular_at_cap_but_remaining_boundary_open
FC03_TWO_CAP_P0	S2_X_S1_OR_GENERAL_P0	TO_TEST	phase_descent_under_same_dependent_cycles	two_primitive_caps	determinant_zero	CLASSIFY_WITHOUT_FILTER	NON_HOPF_P0_COMPLETION	same_dependent_cycles_do_not_supply_registered_unit_Hopf_bundle
FC04_TWO_CAP_P1	S3	TO_TEST	phase_regular_under_unimodular_caps	two_primitive_caps	orientation_and_quotient_still_supplied	CLASSIFY_WITHOUT_PRIVILEGE	EXACT_CONDITIONAL_SEED_RESTRICTED_DEFORMATION	S3_and_unit_seed_require_supplied_unimodular_caps_quotient_orientation_and_phase
FC05_TWO_CAP_P_GT1	LENS_L_P_Q	TO_TEST	phase_descent_under_general_cap_lattice	two_primitive_caps	monodromy_or_quotient_class	CLASSIFY_WITHOUT_FILTER	LENS_FAMILY_GLOBAL_DATA_REQUIRED	general_cap_lattice_not_registered_unit_Hopf_control
FC06_NONPRIMITIVE_CAP	SINGULAR_TORIC_OR_ORBIFOLD	TO_TEST	phase_at_exceptional_stabilizer	nonprimitive_collapse	orbifold_data	CLASSIFY_WITHOUT_FILTER	SINGULAR_OR_ORBIFOLD_BRANCH	smooth_carrier_descent_not_supplied
FC07_PERIODIC_TORUS_BUNDLE	T2_BUNDLE_OVER_S1	TO_TEST	phase_period_and_connection_holonomy	no_caps	GL2Z_monodromy	CLASSIFY_WITHOUT_FILTER	MONODROMY_AND_HOLONOMY_DEPENDENT	phase_covector_and_connection_must_descend_under_GL2Z
FC08_MIRROR_DOUBLE	DOUBLE_OR_REFLECTION_QUOTIENT	TO_TEST	phase_under_each_registered_lift	mirror_fixed_set_and_jets	lift_choice	CLASSIFY_WITHOUT_FILTER	LIFT_DEPENDENT	registered_angular_lifts_act_differently_on_phase
FC09_NONORIENTABLE_GLUE	ORIENTATION_TWISTED	TO_TEST	phase_under_det_minus_one_glue	no_universal_cap	orientation_obstruction	CLASSIFY_WITHOUT_FILTER	ORIENTATION_TWISTED	global_Hopf_integral_and_phase_require_additional_orientation_data
FC10_STRATIFIED_PROJECTOR	STRATIFIED_DISTRIBUTION	TO_TEST	phase_across_rank_change	projector_merger_or_split	stratum_transition	CLASSIFY_WITHOUT_FILTER	STRATUM_DEPENDENT_OR_DEGENERATE	rank_or_causal_type_change_blocks_universal_bridge
FC11_NONINTEGRABLE_DISTRIBUTION	ANHOLONOMIC_PLANE_FIELD	TO_TEST	no_global_toric_coordinates	no_orbit_surface	Frobenius_obstruction	CLASSIFY_WITHOUT_FILTER	NO_GLOBAL_TORIC_PHASE	anholonomic_plane_field_has_no_supplied_global_xi1_xi2
FC12_RECIPROCAL_TORIC_DIAGONAL	CONDITIONAL_CONTROL_FAMILY	TO_TEST	phase_and_fixed_integral_basis	endpoint_class_free-and-explored	orientation_quotient_not_selected	CLASSIFY_ALL_SUBCASES	CONTROL_FAMILY_SUBCASE_DEPENDENT	only_supplied_FC04_like_full_range_opposite_caps_give_exact_seed
