candidate_id	source_direction	dimension_or_type	provenance_tag	registered_bridge_input	test	required_classification	outcome	evidence
D01	base_block_common_scale	one_function	free-and-explored	no	differentiate_exact_bridge	KERNEL_INDUCED_GAUGE_OR_UNDEFINED	KERNEL_OF_RESTRICTED_BRIDGE	base_common_scale_not_an_input
D02	base_block_reciprocal_depth	one_function	free-and-explored	no	differentiate_exact_bridge	KERNEL_INDUCED_GAUGE_OR_UNDEFINED	KERNEL_OF_RESTRICTED_BRIDGE	base_depth_not_an_input
D03	base_block_shear	one_function	free-and-explored	no	differentiate_exact_bridge	KERNEL_INDUCED_GAUGE_OR_UNDEFINED	KERNEL_OF_RESTRICTED_BRIDGE	base_shear_not_an_input
D04	angular_common_scale	one_function	free-and-explored	cancels_in_normalized_weight	differentiate_exact_bridge	KERNEL_INDUCED_GAUGE_OR_UNDEFINED	EXACT_KERNEL_CSN	common_angular_scale_cancels
D05	angular_reciprocal_depth	one_function	free-and-explored	yes_after_conditional_ownership	exact_target_tangent_and_rank	KERNEL_INDUCED_GAUGE_OR_UNDEFINED	CONDITIONAL_LATITUDE_TANGENT	rank_one_for_finite_phi
D06	angular_upper_triangular_shear	one_function	free-and-explored	outside_aligned_bridge	test_metric_eigenaxis_and_descent	KERNEL_INDUCED_GAUGE_OR_UNDEFINED	CHART_PHASE_CANDIDATE_NOT_DESCENDED	shear_rotates_metric_eigenaxis_away_from_isotropy_but_bridge_extension_and_invariant_phase_are_absent
D07	shift_row_1_base_time	one_function	free-and-explored	not_pointwise	test_phase_connection_curvature_gauge	KERNEL_CONNECTION_SECTION_OR_UNDEFINED	PHASE_CONNECTION_COMPONENT	row_difference_base_time
D08	shift_row_1_base_space	one_function	free-and-explored	not_pointwise	test_phase_connection_curvature_gauge	KERNEL_CONNECTION_SECTION_OR_UNDEFINED	PHASE_CONNECTION_COMPONENT	row_difference_base_space
D09	shift_row_2_base_time	one_function	free-and-explored	not_pointwise	test_phase_connection_curvature_gauge	KERNEL_CONNECTION_SECTION_OR_UNDEFINED	PHASE_CONNECTION_COMPONENT	row_difference_base_time
D10	shift_row_2_base_space	one_function	free-and-explored	not_pointwise	test_phase_connection_curvature_gauge	KERNEL_CONNECTION_SECTION_OR_UNDEFINED	PHASE_CONNECTION_COMPONENT	row_difference_base_space
D11	independent_scalar_phi	one_function	free-and-explored	only_after_conditional_identification	test_both_unidentified_and_identified_routes	KERNEL_INDUCED_GAUGE_OR_UNDEFINED	UNIDENTIFIED_OR_CONDITIONAL_LATITUDE_TANGENT	scalar_angular_depth_ownership_is_chosen
D12	CSN_representative_change	one_function	pinned-by-THEORY	no_effect_on_normalized_seed	test_exact_invariance	KERNEL_OR_INDUCED	EXACT_KERNEL_CSN	normalized_seed_is_scale_free
D13	local_Lorentz_coframe_change	six_gauge_functions	pinned-by-THEORY	component_section_changes	test_metric_descent	GAUGE_OR_PHYSICAL	COFRAME_GAUGE_NOT_PHYSICAL_MAP_VARIATION	independent_representatives_do_not_descend_under_current_bridge
D14	fixed_torus_phase_shift	one_global_parameter	conditional-supplied	yes_as_target_rotation	compare_global_mode_to_local_field	GLOBAL_SYMMETRY_GAUGE_OR_DEFORMATION	GLOBAL_TARGET_ROTATION_MODE_ONLY	one_constant_not_arbitrary_local_phase
D15	base_dependent_torus_phase_shift	one_function	free-and-explored	not_without_shift_integrability	test_exactness_curvature_and_gauge	GAUGE_CONNECTION_OR_DEFORMATION	GAUGE_EXACT_PART_OR_CONNECTION_CURVATURE_HOLONOMY	not_a_selected_scalar_phase
D16	GL2Z_torus_basis_change	discrete_global	conditional-supplied	changes_phase_and_cap_lattice	test_global_descent	DISCRETE_GAUGE_OR_BRANCH_CHANGE	DISCRETE_GLOBAL_BASIS_OR_BRANCH_CHANGE	not_a_local_tangent_direction
D17	cap_profile_and_collapse_cycle	function_plus_discrete	free-and-explored	global_only	test_all_completion_classes	GLOBAL_DEFORMATION_OR_BRANCH_CHANGE	GLOBAL_COMPLETION_BRANCH_CHANGE	not_a_pointwise_carrier_tangent
D18	supplied_celestial_section	two_vertical_functions	conditional-supplied	not_metric_selected	compare_fiber_tangent_to_induced_image	SUPPLIED_SECTION_NOT_METRIC_OUTPUT	SUPPLIED_SECTION_HAS_RANK_TWO_VERTICAL_TANGENT	fiber_does_not_select_section
D19	arbitrary_round_S2_carrier_map	two_local_functions	pinned-by-HABIT	comparison_only	compare_full_target_tangent_space	POSIT_COMPARISON_NOT_METRIC_OUTPUT	POSIT_CARRIER_HAS_FULL_RANK_TWO_TANGENT	comparison_space_not_metric_output
D20	null_or_zero_dphi_transition	stratum_change	free-and-explored	bridge_may_degenerate	test_domain_extension	EXTENDS_DEGENERATES_OR_UNDEFINED	BRIDGE_DEGENERATES_OR_IS_UNDEFINED	nonnull_semisimple_reduction_does_not_extend
