id	object	status	exact_scope_or_premises	what_is_established	what_is_not_claimed	closure_needed
B01	Global bootstrap principle	OWNER_STATED_WORKING	Exact 2026-07-15 realized-solution and narrow proper-total-density clauses	The realized universe must be globally self-consistent; matter-bearing solutions occupy a narrow admissible window	No local action; EOM; representative map; density center/width; root theorem	Complete global UDT construction
B02	Current bootstrap semantic role	ON_SHELL_CLOSURE_OR_ADMISSIBILITY	Only meanings explicitly present in the source and interpretation ledger	The recorded principle constrains realized solutions and forbids fitted local density insertion	It is not yet an off-shell variational functional or unique selection map	Owner or derived off-shell bootstrap law
B03	Bootstrap selection of variation domain	OPEN_NOT_SELECTED	Exact B01 clauses plus CSN and finite cell	Pre-scale and post-scale placements both remain logically compatible	No placement is promoted	An off-shell role/placement theorem excluding the alternatives
B04	Pre-scale C-squared/Bach bulk	UNIQUE_CONDITIONAL	Accepted 4D metric-only local covariant parity-even lowest-curvature-square unrestricted-variation class	Unchanged conditional bulk classification	Bootstrap does not newly derive its class premises or completion	Native premise derivation; finite boundary; source; solution; closure
B05	Post-scale EH/Lovelock bulk	CONDITIONAL	Selected physical representative plus accepted metric-only local covariant second-order/Lovelock premises	Unchanged post-scale comparison branch	Bootstrap does not select EH or its normalization	Representative emergence plus independent action and completion theorem
B06	Representative-selection map Sigma:[g]_CSN->g_star	OPEN	Would require global existence; uniqueness; covariance; differentiability; boundary compatibility	Identified as a required object for a post-scale-first route	No map is supplied or invented	Derive Sigma from UDT global closure
B07	Two-stage bridge	OPEN_NOT_DERIVED	Would require B06 plus a controlled dynamical matching theorem	Representative selection alone cannot equate fourth- and second-order principal operators	No C2-to-EH reduction or emergence is claimed	Field/variation map; regime; principal operator; boundary/source/charge matching
B08	Variation/restriction equivalence	CONDITIONAL	For section y=f(x), equivalence requires S_y f'=0 or another explicit normal-equation theorem	Chain-rule obstruction is exact	No generic commute of vary/restrict operations	Select domain and prove the normal condition
B09	Principal-order conversion by scale selection	REFUTED_AS_SUFFICIENT	Nonzero alpha; beta; M and identity for all Fourier k	alpha k^4 cannot equal beta M^2 k^2 as a polynomial for all k	Does not rule out a separately derived singular/effective regime	Controlled matching or integration-out theorem
B10	Strongest available bridge	CONDITIONAL_CONTRACT_ONLY	All seven bridge gates in DERIVATION_REPORT.md	A fail-closed checklist for a future derivation	Not a physical bridge or new postulate	Satisfy every gate from affirmative post-July UDT premises
B11	Native matter source and carrier emergence	OPEN	Final A/B/C adjudication unchanged	No carrier was used in this derivation	No source or carrier emergence	Complete action/source theorem
B12	Unconditional mass	OPEN	Final A/B/C adjudication and particle-lane premises unchanged	No mass statement was used or changed	No unconditional mass	Native action/source/boundary charge and carrier emergence
B13	Top-level selector result	UNDERDETERMINED	T1-T7 preregistered scope; logical countermodels are not complete universes	Existing bootstrap does not choose pre/post variation or derive a bridge	Not a failure of bootstrap as global closure	Off-shell bootstrap role first; dynamical matching separately
