id	premise	status	use_in_this_derivation	not_supplied
P01	Reciprocal UDT kinematics	DERIVED	Retained foundation; no re-derivation	Action; representative; variation domain; bridge
P02	Common-Scale Neutrality	FOUNDING	Pre-scale geometry is the class [g]_CSN	Representative; action; boundary; scale-selection functional
P03	Finite mirrored cell	CANONIZED_BINDING	Global arena and non-asymptotic boundary ontology	Complete boundary data; differentiable action; charge
P04	Global bootstrap and narrow proper-total-density window	OWNER_STATED_WORKING	Exact realized-solution and matter-admissibility clauses are tested	Off-shell functional; local EOM; representative map; root uniqueness
P05	Four-dimensional arena	INHERITED	Used only for the T4 conformal-weight anchor	Dimension is not derived
P06	C-squared/Bach branch	UNIQUE_CONDITIONAL	Pre-scale comparison under its accepted class premises	Complete action; source; boundary; solution; bootstrap closure
P07	EH/Lovelock branch	CONDITIONAL	Post-scale comparison under its accepted class premises	Representative; G/Lambda; source; finite-cell completion
P08	Dynamical fields; covariance; locality; derivative inventory	OPEN	Kept explicit in the bridge contract	No choice is silently made
P09	Variation domain	OPEN	Object being tested	No pre/post placement is assumed
P10	Representative-selection map Sigma:[g]_CSN->g_star	OPEN	Candidate missing object only	Existence; uniqueness; differentiability; physical authority
P11	Pre-to-post matching map	OPEN	Candidate second bridge object only	Order reduction; field map; regime; source/boundary matching
P12	Matter carrier and native source	OPEN	Excluded	No S2 or other carrier assumption
P13	Total density rho_tot and fractional width Delta rho/rho_star	WORKING	Only dimensionless bootstrap admissibility notation	No center; width; fitted normalization; local coupling
P14	Finite-dimensional selector countermodels	LOGICAL_TECHNIQUE	Test implication and variation placement only	Not complete UDT universes or affirmative physics
P15	Constant-Weyl and Fourier principal-polynomial algebra	CATEGORY_A_TECHNIQUE	Independent necessary-condition anchors	Not a full nonlinear/local boundary theorem
P16	SymPy 1.13.1 CPU execution	CATEGORY_A_TECHNIQUE	Exact algebra and catch-proofs	No physics premise
