id	grade	role	what_is_not_owned
UNIVERSAL_RECIPROCITY_DDR	OWNER_ADOPTED_PROVISIONAL_POSTULATE__NOT_DERIVED__NOT_CANON	balance must hold for every completed admissible observer-pair response	canonization observation or derivation from F1--F4
F2_F3	FOUNDED_OR_POSIT	exact reciprocal one-parameter tangent on supplied ordered depth	curvature response or metric history
W1	WORKING_FOUNDATIONAL_CLARIFICATION	angular screen shift and mixing enter before completed-pair readout	unique physical germ population or field equation
W3	WORKING_POSIT	complete UDT law has the GR field and observer limit in a quiet regime	global response formula or loud-end law
W4	WORKING_POSIT	one completed metric governs clocks rulers free fall and null propagation	locality differential order action or source
REGULAR_LORENTZ_LOCAL_GERMS	TO_BE_DERIVED_OR_REJECTED	local realization of arbitrary orthonormal timelike--spacelike pair planes	actual global observer population
E_RESPONSE	FREE_AND_EXPLORED_COVARIANT_SYMMETRIC_OBJECT	abstract object balanced by DDR	formula order locality divergence or action
ALL_PAIR_RANK	TO_BE_INDEPENDENTLY_REDERIVED	span and annihilator of locally admissible reciprocal tangents	global population or singular strata
G301_RESPONSE_CLASS	CONDITIONAL_DERIVED_CLASSIFICATION	smooth scale-free local metric-only symmetric rank-two curvature-order response	founding ownership of every class hypothesis
RICCI_COEFFICIENT_NONZERO	CONDITIONAL_G301_PRINCIPAL_GATE	faithful trace-free curvature response	ownership outside quiet principal lane
DIVERGENCE_FREE_RESPONSE	NOT_ASSUMED__EXTRA_IF_USED	would carry a pure-trace response as one regional constant	derivation from covariance alone
CAUCHY_GAUGE_METHOD	MATHEMATICAL_METHOD	characterize conditional nonlinear equation and data count	physical initial data or preferred foliation
OBSERVATION_SOURCE_ACTION_MATTER_MASS_SCALE_XMAX	OMITTED	none	not tested imported fitted or selected
