axis	value	target_label	candidates	constructed_repeated_tidal	response_rank_distribution	solved_Hessian_rank_distribution	curvature_operator_rank_distribution	pair_screen_zero	Hessian_norm_minimum	Hessian_norm_median	Hessian_norm_maximum	max_reevaluated_residual
shell	0.3	NEGATIVE	2016	2016	3:2016	1:192;3:384;4:1440	4:12;5:60;6:1944	18	0.007756724299666553	0.1201534993936817	0.4907314282541902	1.000673844563972e-15
shell	0.3	ZERO	2016	2016	3:2016	0:55;1:167;3:372;4:1422	0:36;1:1;2:5;3:18;4:23;5:19;6:1914	42	0.0	0.07025677211675102	0.4446679864236738	1.3311188411154742e-15
shell	0.3	POSITIVE	2016	2016	3:2016	1:192;3:384;4:1440	4:12;5:60;6:1944	18	0.017144390702643345	0.13528891014529465	0.5307765453376208	2.21718722597728e-15
shell	1.0	NEGATIVE	2182	2182	3:2182	1:192;3:550;4:1440	4:12;5:60;6:2110	18	0.03235357656007042	1.5409869510364285	662.467262503194	4.198952296974312e-11
shell	1.0	ZERO	2182	2182	3:2182	0:55;1:167;3:538;4:1422	0:36;1:1;2:5;3:18;4:23;5:19;6:2080	42	0.0	1.0307387375156805	661.3571481330049	8.37303559819702e-11
shell	1.0	POSITIVE	2182	2182	3:2182	1:192;3:550;4:1440	4:12;5:60;6:2110	18	0.0829737027450618	1.4801996930817114	660.2493503238561	4.1655567883935873e-11
coordinate_time	DYNAMIC_4D	NEGATIVE	2880	2880	3:2880	4:2880	4:12;5:48;6:2820	12	0.007756724299666553	0.2680008625644583	21.773549920024504	2.4300561562995426e-12
coordinate_time	DYNAMIC_4D	ZERO	2880	2880	3:2880	0:36;4:2844	0:36;4:36;5:12;6:2796	36	0.0	0.17553496242003225	21.375355698022364	4.277467269275803e-12
coordinate_time	DYNAMIC_4D	POSITIVE	2880	2880	3:2880	4:2880	4:12;5:48;6:2820	12	0.017144390702643345	0.28172149952513936	20.98075972705141	2.1955770534987096e-12
coordinate_time	COORDINATE_STATIC	NEGATIVE	1318	1318	3:1318	1:384;3:934	4:12;5:72;6:1234	24	0.01711512254946281	0.7254586967643892	662.467262503194	4.198952296974312e-11
coordinate_time	COORDINATE_STATIC	ZERO	1318	1318	3:1318	0:74;1:334;3:910	0:36;1:2;2:10;3:36;4:10;5:26;6:1198	48	0.0	0.2207403918905243	661.3571481330049	8.37303559819702e-11
coordinate_time	COORDINATE_STATIC	POSITIVE	1318	1318	3:1318	1:384;3:934	4:12;5:72;6:1234	24	0.02056423095439755	0.6716915393253262	660.2493503238561	4.1655567883935873e-11
phi_gradient	ZERO	NEGATIVE	1296	1296	3:1296	1:192;3:384;4:720	4:24;5:72;6:1200	24	0.013190352630525664	0.24796970656310174	88.12721417959162	1.623590151211829e-12
phi_gradient	ZERO	ZERO	1296	1296	3:1296	0:108;1:144;3:360;4:684	0:72;3:36;5:12;6:1176	72	0.0	0.10624891101204123	85.13717662649172	2.7284841053187847e-12
phi_gradient	ZERO	POSITIVE	1296	1296	3:1296	1:192;3:384;4:720	4:24;5:72;6:1200	24	0.044212015072749404	0.29420513510857366	82.14772192614423	1.5099033134902129e-12
phi_gradient	TIMELIKE	NEGATIVE	804	804	3:804	3:84;4:720	5:12;6:792	0	0.007756724299666553	0.47759481505862755	662.467262503194	4.198952296974312e-11
phi_gradient	TIMELIKE	ZERO	804	804	3:804	3:84;4:720	4:12;6:792	0	9.46699926248362e-05	0.24269198454234228	661.3571481330049	8.37303559819702e-11
phi_gradient	TIMELIKE	POSITIVE	804	804	3:804	3:84;4:720	5:12;6:792	0	0.030626337882278303	0.5037008351024858	660.2493503238561	4.1655567883935873e-11
