axis	value	strata	attempts	constructed	no_causal_witness	structural_rank_incompatible	flat_constructed	pair_screen_zero_constructed	tidal_repeated_constructed	tidal_repeated_nonzero_constructed
shell	0.3	5760	11520	7488	1728	2304	36	43	56	1
shell	1.0	5760	11520	7971	1245	2304	36	43	55	0
coordinate_time	DYNAMIC_4D	5760	11520	11520	0	0	36	36	36	0
coordinate_time	COORDINATE_STATIC	5760	11520	3939	2973	4608	36	50	75	1
phi_gradient	ZERO	2880	5760	4608	0	1152	72	72	109	1
phi_gradient	TIMELIKE	2880	5760	3124	1484	1152	0	0	0	0
phi_gradient	NULL	2880	5760	3119	1489	1152	0	0	0	0
phi_gradient	SPACELIKE	2880	5760	4608	0	1152	0	14	2	0
angular_shape	ISOTROPIC	3840	7680	5132	1012	1536	24	30	38	0
angular_shape	DIAGONAL_ANISOTROPIC	3840	7680	5161	983	1536	24	28	37	1
angular_shape	SHEARED	3840	7680	5166	978	1536	24	28	36	0
shift_value_rank	0	3840	7680	4992	1152	1536	24	36	62	0
shift_value_rank	1	3840	7680	5131	1013	1536	24	26	25	1
shift_value_rank	2	3840	7680	5336	808	1536	24	24	24	0
angular_first_rank	0	2880	5760	3862	746	1152	72	86	74	0
angular_first_rank	1	2880	5760	3869	739	1152	0	0	13	1
angular_first_rank	2	2880	5760	3863	745	1152	0	0	12	0
angular_first_rank	3	2880	5760	3865	743	1152	0	0	12	0
shift_first_rank	0	2304	4608	3285	747	576	72	86	111	1
shift_first_rank	1	2304	4608	3289	743	576	0	0	0	0
shift_first_rank	2	2304	4608	3292	740	576	0	0	0	0
shift_first_rank	3	2304	4608	3289	743	576	0	0	0	0
shift_first_rank	4	2304	4608	2304	0	2304	0	0	0	0
collective_Hessian_rank	0	2880	5760	4198	986	576	72	86	111	1
collective_Hessian_rank	1	2880	5760	4198	986	576	0	0	0	0
collective_Hessian_rank	4	2880	5760	4183	1001	576	0	0	0	0
collective_Hessian_rank	8	2880	5760	2880	0	2880	0	0	0	0
