coordinate_time	phi_gradient	target_label	candidates	constructed_repeated_tidal	solved_Hessian_rank_distribution	Hessian_norm_minimum	Hessian_norm_median	Hessian_norm_maximum	max_reevaluated_residual
DYNAMIC_4D	ZERO	NEGATIVE	720	720	4:720	0.013190352630525664	0.2454185805083267	13.551175832361126	1.623590151211829e-12
DYNAMIC_4D	ZERO	ZERO	720	720	0:36;4:684	0.0	0.11841072656460465	13.20975838379716	2.7284841053187847e-12
DYNAMIC_4D	ZERO	POSITIVE	720	720	4:720	0.044212015072749404	0.2864599827846186	12.87049411536817	1.5099033134902129e-12
DYNAMIC_4D	TIMELIKE	NEGATIVE	720	720	4:720	0.007756724299666553	0.2478123864674411	13.52931125128479	8.393286066166183e-13
DYNAMIC_4D	TIMELIKE	ZERO	720	720	4:720	9.46699926248362e-05	0.17312501769233765	13.174473726963257	1.5560885913146194e-12
DYNAMIC_4D	TIMELIKE	POSITIVE	720	720	4:720	0.030626337882278303	0.3068394425879828	12.826875880132834	7.749356711883593e-13
DYNAMIC_4D	NULL	NEGATIVE	720	720	4:720	0.03235357656007042	0.2754225761713275	21.773549920024504	1.0842438058489279e-12
DYNAMIC_4D	NULL	ZERO	720	720	4:720	0.003127615736499264	0.2172184757706112	21.375355698022364	2.190692072190359e-12
DYNAMIC_4D	NULL	POSITIVE	720	720	4:720	0.017302420952989218	0.2703622264708374	20.98075972705141	9.056089211867402e-13
DYNAMIC_4D	SPACELIKE	NEGATIVE	720	720	4:720	0.021200850226101593	0.2790390908343136	17.262148378704293	2.4300561562995426e-12
DYNAMIC_4D	SPACELIKE	ZERO	720	720	4:720	0.0032226458692816602	0.19856905358481536	15.999771403744734	4.277467269275803e-12
DYNAMIC_4D	SPACELIKE	POSITIVE	720	720	4:720	0.017144390702643345	0.2612631446559647	14.78009729229535	2.1955770534987096e-12
COORDINATE_STATIC	ZERO	NEGATIVE	576	576	1:192;3:384	0.024286874509313376	0.251127641613248	88.12721417959162	9.169331960379168e-13
COORDINATE_STATIC	ZERO	ZERO	576	576	0:72;1:144;3:360	0.0	0.0840369163185451	85.13717662649172	1.689003690333178e-12
COORDINATE_STATIC	ZERO	POSITIVE	576	576	1:192;3:384	0.09554689067229949	0.3265281752793874	82.14772192614423	8.390827965756151e-13
COORDINATE_STATIC	TIMELIKE	NEGATIVE	84	84	3:84	0.30520200127669334	3.025730093575226	662.467262503194	4.198952296974312e-11
COORDINATE_STATIC	TIMELIKE	ZERO	84	84	3:84	0.036716602406592046	2.632569212712663	661.3571481330049	8.37303559819702e-11
COORDINATE_STATIC	TIMELIKE	POSITIVE	84	84	3:84	0.23643093095876971	2.351125335443757	660.2493503238561	4.1655567883935873e-11
COORDINATE_STATIC	NULL	NEGATIVE	82	82	3:82	0.3080453560404238	1.5727886227324401	36.453154398766166	4.860112312599085e-12
COORDINATE_STATIC	NULL	ZERO	82	82	3:82	0.10134267648486975	0.9137371614557706	35.31245469299151	8.469669410260394e-12
COORDINATE_STATIC	NULL	POSITIVE	82	82	3:82	0.21578020019318322	1.5347161689019804	34.17806402335933	3.90087961932295e-12
COORDINATE_STATIC	SPACELIKE	NEGATIVE	576	576	1:192;3:384	0.01711512254946281	0.3854781570950222	243.51154159475027	1.5750567516903402e-11
COORDINATE_STATIC	SPACELIKE	ZERO	576	576	0:2;1:190;3:384	0.0	0.21551783760186172	232.1537527743066	2.9892080683903836e-11
COORDINATE_STATIC	SPACELIKE	POSITIVE	576	576	1:192;3:384	0.02056423095439755	0.34739635341100933	220.7964250853612	1.429234508520949e-11
