stratum_id	shell	coordinate_time	phi_gradient	angular_shape	shift_value_rank	angular_first_rank	shift_first_rank	collective_Hessian_rank	constructive_attempts	classification	status_replicate_0	status_replicate_1	flat_attempts	pair_screen_zero_attempts	tidal_repeated_attempts	tidal_repeated_nonzero_attempts	curvature_operator_ranks
P02S00000	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	0	0	0	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	2	2	2	0	0
P02S00001	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	0	0	1	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00002	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	0	0	4	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00003	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	0	0	8	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00004	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	0	1	0	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00005	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	0	1	1	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00006	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	0	1	4	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00007	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	0	1	8	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00008	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	0	2	0	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00009	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	0	2	1	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00010	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	0	2	4	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00011	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	0	2	8	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00012	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	0	3	0	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00013	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	0	3	1	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
