candidate_index	base_attempt_index	stratum_id	replicate	target_label	target_lambda	shell	coordinate_time	phi_gradient	angular_shape	shift_value_rank	angular_first_rank	shift_first_rank	collective_Hessian_rank	status	response_rank	response_singular_0	response_singular_1	response_singular_2	solved_collective_Hessian_rank	Hessian_frobenius	linear_residual	reevaluated_residual	T22	T23	T33	dphi_norm	scalar_curvature	kretschmann	pair_screen_ricci_mixing	tidal_repeated	curvature_operator_rank	numerically_finite
0	0	P02S00000	0	NEGATIVE	-0.09	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	0	0	0	CONSTRUCTED_REPEATED_TIDAL	3	1.950758605487194	1.5202894940133302	1.2506760771557874	4	0.10014937540060895	2.5463830840026524e-17	2.5463830840026524e-17	-0.08999999999999997	0.0	-0.08999999999999997	0.0	0.23273009024082353	0.0728988149650544	0.0	1	4	1
1	0	P02S00000	0	ZERO	0.0	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	0	0	0	CONSTRUCTED_REPEATED_TIDAL	3	1.950758605487194	1.5202894940133302	1.2506760771557874	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1
2	0	P02S00000	0	POSITIVE	0.09	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	0	0	0	CONSTRUCTED_REPEATED_TIDAL	3	1.950758605487194	1.5202894940133302	1.2506760771557874	4	0.10014937540060895	2.5463830840026524e-17	2.5463830840026524e-17	0.08999999999999997	0.0	0.08999999999999997	0.0	-0.23273009024082353	0.0728988149650544	0.0	1	4	1
3	1	P02S00000	1	NEGATIVE	-0.09	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	0	0	0	CONSTRUCTED_REPEATED_TIDAL	3	2.464621923165594	1.8937273420498515	1.5304000316801347	4	0.08128199019116635	2.5463830840026524e-17	3.819574626003979e-17	-0.08999999999999996	0.0	-0.08999999999999998	0.0	0.2497730359025129	0.07087499180707427	0.0	1	4	1
4	1	P02S00000	1	ZERO	0.0	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	0	0	0	CONSTRUCTED_REPEATED_TIDAL	3	2.464621923165594	1.8937273420498515	1.5304000316801347	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1
5	1	P02S00000	1	POSITIVE	0.09	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	0	0	0	CONSTRUCTED_REPEATED_TIDAL	3	2.464621923165594	1.8937273420498515	1.5304000316801347	4	0.08128199019116635	2.5463830840026524e-17	3.819574626003979e-17	0.08999999999999996	0.0	0.08999999999999998	0.0	-0.2497730359025129	0.07087499180707427	0.0	1	4	1
6	8	P02S00004	0	NEGATIVE	-0.09	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	0	1	0	CONSTRUCTED_REPEATED_TIDAL	3	1.5757951780664816	1.2445218984754591	1.0400417838090221	4	0.11948149885179436	2.5463830840026524e-17	2.5463830840026524e-17	-0.09000000000000002	4.53505632521599e-18	-0.09	0.0	0.13442593130314326	0.09416962778634241	0.02410930879043479	1	6	1
7	8	P02S00004	0	ZERO	0.0	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	0	1	0	CONSTRUCTED_REPEATED_TIDAL	3	1.5757951780664816	1.2445218984754591	1.0400417838090221	4	0.0038614772972122183	1.3010426069826053e-18	1.540207808563921e-18	1.540207808563921e-18	1.7113420095154678e-19	-1.0268052057092806e-18	0.0	-0.08273503194324178	0.006012066507652166	0.02410930879043479	1	6	1
8	8	P02S00004	0	POSITIVE	0.09	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	0	1	0	CONSTRUCTED_REPEATED_TIDAL	3	1.5757951780664816	1.2445218984754591	1.0400417838090221	4	0.12282304608036185	2.5463830840026524e-17	2.5463830840026524e-17	0.09000000000000002	4.53505632521599e-18	0.08999999999999997	0.0	-0.29989599518962684	0.06785749564966251	0.02410930879043479	1	6	1
9	9	P02S00004	1	NEGATIVE	-0.09	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	0	1	0	CONSTRUCTED_REPEATED_TIDAL	3	2.1896007170850553	1.782845702405984	1.5396858600869003	4	0.08094130845742782	2.5463830840026524e-17	3.819574626003979e-17	-0.09000000000000004	2.9819887423716346e-18	-0.09	0.0	0.18061218121287373	0.08065950918369075	0.0027594829191423644	1	6	1
10	9	P02S00004	1	ZERO	0.0	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	0	1	0	CONSTRUCTED_REPEATED_TIDAL	3	2.1896007170850553	1.782845702405984	1.5396858600869003	4	0.0037116356584654853	1.734723475976807e-18	1.5753902789887883e-18	1.5753902789887883e-18	1.6879181560594158e-19	-4.501115082825109e-19	0.0	-0.002394079670392013	-0.0001622938792711455	0.0027594829191423644	1	6	1
11	9	P02S00004	1	POSITIVE	0.09	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	0	1	0	CONSTRUCTED_REPEATED_TIDAL	3	2.1896007170850553	1.782845702405984	1.5396858600869003	4	0.08440352954806336	2.5463830840026524e-17	2.5463830840026524e-17	0.09000000000000002	2.9819887423716346e-18	0.09	0.0	-0.1854003405536577	0.0799426867442896	0.0027594829191423644	1	6	1
