id	object	status	premises	est_result	not_established	next_falsifier
S01	Current finite Reciprocal-c Identity	FOUNDING_UNCHANGED	Owner-stated current C1	Audit finds no contradiction in retained foundation	No proof of uniqueness or infinite regulator	Separate owner ruling after complete alternative
S02	Dual internal K-pairing	FOUNDING_UNCHANGED	Faithful contragredient current formalization	P_R^T K P_R=K for every finite regulator	Not observable from local conformal metric alone	Native independent pairing theorem or counterexample to founding posit
S03	Literal infinite c at the same layer	INCOMPATIBLE_IN_CLASS	C=infinity; inverse zero; finite invertible pair required	No element of GL(2;R); 0 times infinity is undefined	No rejection of regulated/projective limits	Well-defined invertible extended structure with exact inverse/pairing
S04	Regulated reciprocal infinite-c family	CONDITIONAL_COMPATIBLE	Every C_L finite; phi_L=log(C_L/c_eff)/2; projective limit only	Pairing exact at finite L; unscaled components tend to 0 and infinity; rank-one projective endpoint lies outside GL(2)/PGL(2)	No finite invertible endpoint; physical regulator; or post-scale equivalence	Native reason for regulator and limit equivalence
S05	Finite effective causal conversion	FINITE_PROJECTIVE_RESIDUAL	H2 reciprocal family	c_eff=C exp(-2phi) stays finite	No selected value or absolute units	Finite-cell/bootstrap selection with dimensionless predictions
S06	Nonreciprocal calibration P_NR	LOGICAL_COUNTERMODEL_NOT_CURRENT_ADMISSIBLE	Infinite-c plus CSN without dual Reciprocity	Same effective metric; determinant c_eff/C; K-pairing scaled	Does not satisfy full current ledger	Derive K-pairing from H1/H3 inputs
S07	Reciprocal determinant-one representative after CSN	GAUGE_REPRESENTATIVE_AVAILABLE	Any positive diagonal u;v and common-scale quotient	P/sqrt(uv) has determinant one	Does not prove physical internal dual pairing	Observable invariant distinguishing pairing beyond representative
S08	Local time/parallel conformal block discrimination of internal Reciprocity	NO	H2 and H3 exact countermodels; finite pre-scale CSN	Reciprocal and nonreciprocal adapted 1+1 blocks are common-scale related	Full 4D transverse completion; post-scale matter; global; boundary; internal observables unestablished	Native full-geometry/internal/global discriminator
S09	Infinite-c derivation of dual Reciprocity	NOT_DERIVED	H1-H4 bounded audit	Finite cone/CSN quotient supplies ratio but not K-pairing	No theorem that Reciprocity is false	Native implication to K preservation
S10	Dual Reciprocity derivation of infinite bare c	NOT_DERIVED	Current C1 and regulated construction	Pairing fixes uv but leaves C and residual arbitrary	No selection of infinity or c_eff	Global closure forcing singular regulator
S11	Residual field decomposition	EXACT_REPARAMETRIZATION	phi_L=log(C_L/c_star)/2+psi	Divergent constant factors out; dphi=dpsi; c_eff=c_star exp(-2psi)	No new warping or dynamics from constant background	Observable depending on bare constant after CSN
S12	Strong warping from infinite constant dilation	NOT_DERIVED	Constant regulator/background	Only a common factor; derivatives are residual psi derivatives	No denial of curvature from varying psi/full geometry	Explicit curvature invariant retaining bare constant
S13	Lorentz transformations for constant c_eff	ORDINARY_EFFECTIVE_LORENTZ	Finite nondegenerate effective 1+1 block; real speed magnitude below c_eff	Standard O(1;1) boost preserves diag(-c_eff^2;1)	No completed O(1;3) cone or global transformation for varying geometry	Derived deformation beyond metric covariance
S14	Literal Galilean-to-Lorentz emergence	OPEN_REPLACEMENT_THEORY	H4 new pregeometry; dynamics; universal coupling required	Not produced by finite invertible dilation alone	No inconsistency if new structure supplied	Complete emergence model with universal cone and controlled limit
S15	Numerical 186000 or inverse slowness	NOT_A_FOUNDATION_DISCRIMINATOR	Dimensional unit choice	Only finite universal causal structure is invariant content	No value derivation	Dimensionless global prediction fixing operational standards
S16	Ordered spacetime line realization	OPEN	Prior line-selector ledger	Cone slope does not select/projectively realize internal labels	No field or projector supplied	Native positional representation/realization theorem
S17	Action and variation-domain bridge	OPEN	Final A/B/C and selector ledgers	No action branch promoted	C2/Bach and EH statuses unchanged	Native complete selector/bridge
S18	Complete source; boundary charge; mass; shared-static route	OPEN	Downstream firewall	No status strengthened	No carrier; generator; normalization; solution	Complete native construction
