id	assertion	epistemic_status	source_or_motivation	boundary	choice_tag
D01	Smooth regular four-dimensional Lorentz metric and local normal neighborhood	DECLARED_DOMAIN	Existing full local metric arena; RF1 sections2–3	No singular/global/universe claim	pinned-by-THEORY at cited domain scope
D02	Complete metric supplies clock/ruler/screen/mixing/shift geometry	EXISTING_CONDITIONAL_GEOMETRY	G166/G296 and completed-pair sources	No native history selection	pinned-by-THEORY at source scope
P01	Universal Reciprocity/DDR all regular pair balance	OWNER_ADOPTED_PROVISIONAL	G310 adoption; G311; current G312 authority	Balance does not identify E	pinned-by-THEORY means sourced adoption, not derivation
P02	Local Metric Sufficiency	OWNER_ADOPTED_PROVISIONAL	Current G312 AUTHORITY_RECORD	No order, tensor type, regularity or response formula chosen	pinned-by-THEORY means sourced adoption, not derivation
M01	Positive geodesic volume-density ratio D_p and separation Hessian	MATHEMATICAL_DEFINITION	Metric density and exponential map; RF1 normal/Jacobi geometry	Not a physical observer population, action variation or detector	free-and-explored proposed geometric probe
N01	Identify the DDR-balanced physical response with E_vol	PROPOSED_UNADOPTED_PHYSICAL_IDENTIFICATION	FE1 CANDIDATE; motivation is complete clock/ruler density and metric geodesic comparison	Not entailed by kernel, DDR or local metric sufficiency	free-and-explored explicit candidate
N02	Its infinitesimal volume coefficient is the complete response in this local lane	PROPOSED_UNADOPTED_CONSTITUENT_OF_N01	FE1 candidate scope; not a consequence of Taylor expansion	Higher volume coefficients, shear and other jets are not mathematically absent	free-and-explored explicit candidate
M02	Symmetric rank-two, natural, second metric order and linear curvature form	DERIVED_OF_CHOSEN_DEFINITION_ONLY	FE1 DERIVATION plus RF1	Properties of E_vol do not establish physical identification N01	pinned-by-THEORY as conditional mathematics
C01	Nonzero response normalization; displayed factor -3	CONVENTION_FREE_NONZERO	All nonzero constant factors give same homogeneous DDR zero set	No physical coupling or calibrated normalization selected	free-and-explored all nonzero factors
M03	E_vol=Ric and DDR implies TF Ric=0	CONDITIONAL_ON_N01_FOR_PHYSICAL_LAW	FE1 DERIVATION; G310/G311 all-plane result	Same known conditional equation, no new prediction/class	pinned-by-THEORY conditional consequence
M04	R constant on each connected solution region	CONDITIONAL_GEOMETRIC_CONSEQUENCE	Contracted Bianchi after TF Ric=0	No identity div Ric=0; scalar value/sign remain free	pinned-by-THEORY conditional consequence
O01	Full metric variations or action, matter, source, detector, light, scale and global completion	OPEN_OR_EXCLUDED	Current G312 and work order	No action, physical carrier or observational law adopted	not pinned or introduced
