id	claim	status	basis_or_limit
S01	Reciprocal_preserving_and_inverting_transition_maps_form_a_Z2_graded_group	DERIVED_EXACT	G_a_and_F_b_group_laws_in_DERIVATION_RESULT
S02	Every_closed_reciprocal_transition_cocycle_has_even_inversion_parity	DERIVED_EXACT	Three_F_maps_remain_inverting_while_two_F_maps_close_with_one_G_map
S03	Three_pairwise_depth_inverting_maps_can_form_a_triple_overlap_cocycle_by_themselves	REFUTED_EXACT	F_b_F_c_F_d_equals_F_bd_over_c_not_identity
S04	The_reciprocal_cocycle_selects_its_own_chart_cover_and_incidence_graph	NOT_DERIVED	The_group_constrains_a_supplied_cover_but_does_not_create_one
S05	The_diagonal_clock_radial_readout_supports_a_constant_positive_CSN_seal_swap	REFUTED_EXACT	F_b_transposes_eta_to_opposite_signature_placement
S06	Choosing_the_dual_pairing_K_as_the_physical_metric_closes_the_seal	EXACT_CONDITIONAL	All_F_b_preserve_K_but_K_as_physical_readout_is_not_founded
S07	The_pure_K_readout_retains_physical_reciprocal_phi_in_the_isolated_block	REFUTED_EXACT	P_transpose_K_P_equals_K_so_phi_is_metric_invisible_there
S08	A_phi_visible_Lorentzian_mirror_compatible_constant_readout_family_exists	DERIVED_CONDITIONAL	H0_equals_A_B_B_A_b2_with_B2_greater_A2_b2_and_A_nonzero
S09	The_mixed_readout_mirror_identity	DERIVED_EXACT	F_b_transpose_g_minus_phi_F_b_equals_g_phi
S10	The_mixed_readout_family_is_complete_in_the_constant_real_symmetric_2x2_readout_class	DERIVED_CONDITIONAL	Nonzero_cross_term_forces_unit_mirror_scale_and_C_equals_A_b2_while_zero_cross_term_cannot_be_Lorentz
S11	The_mixed_readout_is_just_the_pure_K_limit	FALSE_EXCEPT_LIMIT	A_equals_zero_is_K_and_phi_invisible_while_every_A_nonzero_member_is_phi_visible
S12	The_mixed_readout_can_look_like_an_ordinary_spatial_Lorentz_reflection_at_the_anchor	OBSERVED_EXACT_CONDITIONAL	A1_Bminus2_b1_diagonalizes_to_diag_minus1_3_and_F_to_diag_1_minus1
S13	The_apparent_eta_versus_K_conflict_was_forced_by_requiring_both_structures_diagonal_in_one_basis	DERIVED_IN_AUDITED_CLASS	The_mixed_family_solves_visibility_and_mirror_closure_simultaneously
S14	CSN_and_diagonal_reciprocal_frame_gauge_select_the_mixed_readout	REFUTED_AS_SELECTOR	mu_equals_B2_over_A2b2_is_invariant_and_any_mu_greater_1_is_Lorentz
S15	Full_direct_four_metric_extension_selects_mu	REFUTED_BY_EXACT_WITNESSES	mu4_and_mu9_are_phi_visible_Lorentz_mirror_isometries_with_the_same_angular_plus_identity_lift
S16	Real_F_b_magnitude_is_a_physical_invariant	REFUTED_WITHIN_CONDITIONAL_K_OR_MIXED_FRAME_GAUGE	G_a_conjugation_changes_magnitude_while_sign_remains
S17	Two_declared_seal_generators_are_unconstrained_at_a_corner	FALSE	Commutation_or_finite_order_restricts_parameter_ratios_and_angular_axis_angles
S18	Corner_consistency_selects_a_unique_lift_without_corner_order_or_incidence	NOT_DERIVED	The_allowed_angles_depend_on_unprovided_m_and_incidence
S19	Orientation_selects_one_full_lift	NOT_DERIVED	Orientation_behavior_is_not_founded_and_distinct_determinant_classes_survive
S20	The_three_full_angular_lifts_have_the_same_boundary_tangent_space	REFUTED_EXACT	Metric_even_dimensions_are_7_7_and_6_with_odd_dimensions_3_3_and_4
S21	Static_delta_phi_zero_is_a_complete_metric_boundary_tangent_rule	REFUTED_EXACT	It_leaves_9_of_10_symmetric_metric_directions_not_the_6_or_7_of_a_complete_involution_class
S22	A_complete_involution_selects_C2_boundary_polarization	NOT_DERIVED	Delta_h_delta_K_momenta_and_corner_choices_remain_distinct
S23	Primitive_mirror_compatible_caps_select_S3	REFUTED_EXACT	Primitive_p0_p1_p3_p5_witnesses_survive
S24	Cocycle_consistency_reduces_but_selects_the_global_completion	COCYCLE_CONSISTENCY_REDUCES_BUT_DOES_NOT_SELECT	Exact_group_corner_and_cap_census
S25	Multiple_global_completions_survive	MULTIPLE_GLOBAL_COMPLETIONS_SURVIVE_CONDITIONALLY	Readout_modulus_angular_lift_cover_cap_and_polarization_families
S26	The_global_cocycle_can_be_posed_uniquely_without_topology_or_cover	GLOBAL_COCYCLE_CANNOT_BE_POSED_WITHOUT_OPEN_TOPOLOGY_OR_COVER	Transition_group_is_known_but_base_cover_and_cap_lattice_are_not
S27	Current_data_define_a_unique_complete_global_coframe_and_tangent_space	NOT_DERIVED	Only_local_or_sectorwise_involutions_are_founded
S28	Complete_action_scale_carrier_source_or_mass_follows	OPEN_NOT_ACTIVATED	Explicit_scope_boundary
S29	Banked_grade	VERIFIED_WITH_CAVEATS	Preregistered_bounded_constant_readout_and_conditional_global_classes_with_independent_Fraction_verifier
S30	Maximum_conclusion	UDT_GLOBAL_COFRAME_COCYCLE_STATUS_CHARACTERIZED	No_canonization_or_physics_promotion
