completion_id	base_completion	topology_family	source_selection_status	global_data_level	static_spatial_phi	time_live_phi	projector_survival	hodge_exchange	global_behavior	density_response	selection_ruling
FC01_BOUNDARY_BOUNDARY	FINITE_INTERVAL	I_X_ORBIT	REGISTERED_ALTERNATIVE	PARAMETRIC_COMPLETION_TYPE_NO_COMPLETE_G_PHI_FIELD_WITNESS	POSSIBLE_IF_GLOBAL_SUBMERSION_NONNULL__NOT_FORCED	POSSIBLE_IF_GLOBAL_NONNULL_GRADIENT__NOT_FORCED	CONDITIONAL_ON_UNSUPPLIED_G_PHI_PROFILE_AND_BOUNDARY_DATA	CONDITIONAL_ON_ORIENTATION_AND_NONNULL_DPHI	BOUNDARIES_DO_NOT_FORCE_A_CRITICAL_POINT_BUT_SUPPLY_NO_PROFILE	UNDEFINED_NO_NATIVE_DENSITY_TO_BRANCH_INTERFACE	REGISTERED_ALTERNATIVE_NOT_SELECTED_BY_THIS_AUDIT
FC02_ONE_CAP_BOUNDARY	FINITE_INTERVAL	SOLID_TORUS_WITH_BOUNDARY	REGISTERED_ALTERNATIVE	PARAMETRIC_COMPLETION_TYPE_NO_COMPLETE_G_PHI_FIELD_WITNESS	COHOMOGENEITY_ONE_SMOOTH_CAP_FORCES_CRITICAL_DPHI__GENERAL_STATIC_FIELD_OPEN	TIME_COMPONENT_CAN_EVADE_CAP_CRITICALITY__NOT_FORCED	CONDITIONAL_AND_CAP_EXTENSION_PROFILE_DEPENDENT	CONDITIONAL_ON_ORIENTATION_CAP_REGULARITY_AND_NONNULL_DPHI	CAP_JETS_AND_FULL_FIELD_PROFILE_REQUIRED	UNDEFINED_NO_NATIVE_DENSITY_TO_BRANCH_INTERFACE	REGISTERED_ALTERNATIVE_NOT_SELECTED_BY_THIS_AUDIT
FC03_TWO_CAP_P0	FINITE_INTERVAL	S2_X_S1_STANDARD_OR_GENERAL_P0	REGISTERED_ALTERNATIVE	PARAMETRIC_COMPLETION_TYPE_NO_COMPLETE_G_PHI_FIELD_WITNESS	STATIC_COMPACT_REAL_PHI_HAS_AT_LEAST_ONE_CRITICAL_POINT	TIME_LIVE_NONNULL_GRADIENT_MAY_EVADE_STATIC_OBSTRUCTION__NOT_FORCED	OBSTRUCTED_FOR_STATIC_REAL_PHI__CONDITIONAL_TIME_LIVE	ORIENTABLE_CLASS_BUT_DPHI_DOMAIN_OPEN	STATIC_3PLUS3_CANNOT_SURVIVE_ENTIRE_COMPACT_SLICE	UNDEFINED_NO_NATIVE_DENSITY_TO_BRANCH_INTERFACE	REGISTERED_ALTERNATIVE_NOT_SELECTED_BY_THIS_AUDIT
FC04_TWO_CAP_P1	FINITE_INTERVAL	S3	UNIQUE_ONLY_INSIDE_SUPPLIED_OPPOSITE_EIGENCIRCLE_PREMISES	PARAMETRIC_COMPLETION_TYPE_NO_COMPLETE_G_PHI_FIELD_WITNESS	STATIC_COMPACT_REAL_PHI_HAS_AT_LEAST_ONE_CRITICAL_POINT	TIME_LIVE_NONNULL_GRADIENT_MAY_EVADE_STATIC_OBSTRUCTION__NOT_FORCED	OBSTRUCTED_FOR_STATIC_REAL_PHI__CONDITIONAL_TIME_LIVE	ORIENTABLE_CLASS_BUT_DPHI_DOMAIN_OPEN	STATIC_3PLUS3_CANNOT_SURVIVE_ENTIRE_COMPACT_SLICE	UNDEFINED_NO_NATIVE_DENSITY_TO_BRANCH_INTERFACE	REGISTERED_ALTERNATIVE_NOT_SELECTED_BY_THIS_AUDIT
FC05_TWO_CAP_P_GT1	FINITE_INTERVAL	LENS_L_P_Q	REGISTERED_ALTERNATIVE	PARAMETRIC_COMPLETION_TYPE_NO_COMPLETE_G_PHI_FIELD_WITNESS	STATIC_COMPACT_REAL_PHI_HAS_AT_LEAST_ONE_CRITICAL_POINT	TIME_LIVE_NONNULL_GRADIENT_MAY_EVADE_STATIC_OBSTRUCTION__NOT_FORCED	OBSTRUCTED_FOR_STATIC_REAL_PHI__CONDITIONAL_TIME_LIVE	ORIENTABLE_CLASS_BUT_DPHI_DOMAIN_OPEN	STATIC_3PLUS3_CANNOT_SURVIVE_ENTIRE_COMPACT_SLICE	UNDEFINED_NO_NATIVE_DENSITY_TO_BRANCH_INTERFACE	REGISTERED_ALTERNATIVE_NOT_SELECTED_BY_THIS_AUDIT
FC06_NONPRIMITIVE_CAP	FINITE_INTERVAL	SINGULAR_TORIC_COMPLETION	RETAINED_MATHEMATICAL_BRANCH	PARAMETRIC_COMPLETION_TYPE_NO_COMPLETE_G_PHI_FIELD_WITNESS	SINGULAR_OR_ORBIFOLD_STRATUM_REQUIRES_SEPARATE_EXTENSION_DATA	TIME_DEPENDENCE_DOES_NOT_REPAIR_UNDEFINED_SINGULAR_GEOMETRY	DEFINED_ONLY_ON_REGULAR_NONNULL_DPHI_COMPLEMENT	UNDEFINED_AT_TRUE_METRIC_OR_MANIFOLD_SINGULARITY	NO_THROUGH_SINGULARITY_GLOBAL_CLAIM	UNDEFINED_NO_NATIVE_DENSITY_TO_BRANCH_INTERFACE	REGISTERED_ALTERNATIVE_NOT_SELECTED_BY_THIS_AUDIT
FC07_PERIODIC_TORUS_BUNDLE	S1	TORUS_BUNDLE_OVER_S1	REGISTERED_GLOBAL_ALTERNATIVE_NOT_CURRENT_PHYSICAL_CELL_WITHOUT_EXTRA_JOIN	PARAMETRIC_COMPLETION_TYPE_NO_COMPLETE_G_PHI_FIELD_WITNESS	STATIC_COMPACT_REAL_PHI_HAS_AT_LEAST_ONE_CRITICAL_POINT	TIME_LIVE_NONNULL_GRADIENT_MAY_EVADE_STATIC_OBSTRUCTION__NOT_FORCED	OBSTRUCTED_FOR_STATIC_REAL_PHI__CONDITIONAL_TIME_LIVE	GL2Z_ORIENTATION_AND_DPHI_GLUE_DEPENDENT	PERIODIC_REAL_SCALAR_CANNOT_BE_MONOTONE_AROUND_BASE	UNDEFINED_NO_NATIVE_DENSITY_TO_BRANCH_INTERFACE	REGISTERED_ALTERNATIVE_NOT_SELECTED_BY_THIS_AUDIT
FC08_MIRROR_DOUBLE	DOUBLED_INTERVAL	DOUBLE_OR_REFLECTION_QUOTIENT	MULTIPLE_REGISTERED_LIFTS	PARAMETRIC_COMPLETION_TYPE_NO_COMPLETE_G_PHI_FIELD_WITNESS	MIRROR_INVARIANT_SMOOTH_PHI_HAS_ZERO_NORMAL_DERIVATIVE_AT_FIXED_SEAM__COMPACT_DOUBLE_HAS_CRITICAL_POINT	TIME_LIVE_COMPONENT_MAY_EVADE__MIRROR_LIFT_DEPENDENT	EVEN_STATIC_MIRROR_BRANCH_OBSTRUCTED__OTHER_LIFTS_CONDITIONAL	ANGULAR_AND_ORIENTATION_LIFT_DEPENDENT	ODD_PHI_CAN_BE_SMOOTH_ON_DOUBLE_BUT_NOT_DESCEND_AS_ORDINARY_QUOTIENT_SCALAR	UNDEFINED_NO_NATIVE_DENSITY_TO_BRANCH_INTERFACE	REGISTERED_ALTERNATIVE_NOT_SELECTED_BY_THIS_AUDIT
FC09_NONORIENTABLE_GLUE	S1_OR_QUOTIENT_INTERVAL	NONORIENTABLE_ORIENTATION_TWISTED	REGISTERED_ALTERNATIVE_UNLESS_ORIENTATION_ADDED	PARAMETRIC_COMPLETION_TYPE_NO_COMPLETE_G_PHI_FIELD_WITNESS	COMPACT_SUBCASES_FORCE_CRITICAL_POINT__BOUNDARY_SUBCASES_PROFILE_DEPENDENT	POSSIBLE_IF_DPHI_DESCENDS_NONNULL__NOT_FORCED	REAL_3PLUS3_PROJECTORS_CAN_DESCEND_IF_DPHI_LINE_DESCENDS	ORDINARY_GLOBAL_HODGE_ENDOMORPHISM_FAILS__ORIENTATION_TWIST_REQUIRED	PROJECTOR_REDUCTION_AND_HODGE_RECIPROCITY_SEPARATE_GLOBALLY	UNDEFINED_NO_NATIVE_DENSITY_TO_BRANCH_INTERFACE	REGISTERED_ALTERNATIVE_NOT_SELECTED_BY_THIS_AUDIT
FC10_STRATIFIED_PROJECTOR	FINITE_OR_PERIODIC	STRATIFIED_DISTRIBUTION	RETAINED_NOT_FILTERED	PARAMETRIC_COMPLETION_TYPE_NO_COMPLETE_G_PHI_FIELD_WITNESS	REGISTERED_STRATIFICATION_DOES_NOT_FIX_DPHI_CAUSAL_STRATIFICATION	REGISTERED_STRATIFICATION_DOES_NOT_FIX_DPHI_CAUSAL_STRATIFICATION	SURVIVES_OTHER_MOTIF_CHANGES_IFF_METRIC_REGULAR_AND_DPHI_NONNULL	CONDITIONAL_ON_ORIENTATION_METRIC_REGULARITY_AND_NONNULL_DPHI	OTHER_PROJECTOR_RANK_CHANGE_NEITHER_SELECTS_NOR_REFUTES_DPHI_SPLIT	UNDEFINED_NO_NATIVE_DENSITY_TO_BRANCH_INTERFACE	REGISTERED_ALTERNATIVE_NOT_SELECTED_BY_THIS_AUDIT
