premise_id	object	status	treatment
P01	complete_registered_metric_and_signed_phi	pinned-by-THEORY	source_replay
P02	nonnull_dphi_rank3_plus_rank3_reduction	pinned-by-THEORY	exact_prior_identity_rederived
P03	reciprocal_weighting	pinned-by-THEORY_COMPATIBILITY	physical_sector_ownership_open
P04	registered_completion_taxonomy	pinned-by-EVIDENCE	type_space_not_complete_field_solutions
P05	dphi_causal_class_and_zeros	free-and-explored	all_strata_retained
P06	topology_gluing_orientation_caps_seal_lift	free-and-explored	all_registered_alternatives_retained
P07	static_or_time_live_dependence	free-and-explored	separate_rulings
P08	action_field_equation_source_carrier_mass_functional	OPEN	not_invented
P09	rho_tot	free-and-explored_after_interface_gate	total_proper_density_only
P10	c_E_and_G_obs	OBSERVED_ANCHORS	no_new_equation_inferred
