catch_id	mutation	status
C01	remove_completion	CAUGHT
C02	duplicate_completion	CAUGHT
C03	promote_complete_witness	CAUGHT
C04	promote_static_compact_split	CAUGHT
C05	apply_static_obstruction_to_time_live	CAUGHT
C06	ordinary_Hodge_on_nonorientable	CAUGHT
C07	extend_through_singularity	CAUGHT
C08	equate_phi_zero_with_dphi_zero	CAUGHT
C09	descend_odd_scalar_to_quotient	CAUGHT
C10	conflate_stratified_projector	CAUGHT
C11	activate_density_gate	CAUGHT
C12	claim_numeric_density_sweep	CAUGHT
C13	insert_density_branch_event	CAUGHT
C14	erase_missing_native_objects	CAUGHT
C15	select_topology	CAUGHT
C16	promote_toric_control	CAUGHT
C17	drop_formal_density_domain	CAUGHT
C18	mutate_source_hash	CAUGHT
C19	miscount_static_compact_rows	CAUGHT
C20	treat_other_distribution_as_dphi	CAUGHT
