criterion	covered	dropped_or_open	blind_spot_status
FIELDS	metric_and_signed_phi_invariant_domain	native_matter_source_carrier_and_complete_global_profiles	OPEN_LOAD_BEARING
ACTION_TERMS	none_complete_metric_kinematic_identity_only	bulk_boundary_matter_and_bridge_actions	OPEN_LOAD_BEARING
FULL_EQUATIONS	none	no_native_full_Euler_Lagrange_system	OPEN_LOAD_BEARING
DOMAIN_AND_COORDINATES	twelve_registered_completion_families_and_static_time_live_distinction	arbitrary_four_manifolds_and_complete_coordinate_atlases	BOUNDED_TAXONOMY
BOUNDARY_AND_REGULARITY	boundary_cap_mirror_glue_orientation_singularity_conditions	actual_selected_boundary_data_and_endpoint_profiles	OPEN_LOAD_BEARING
TOPOLOGICAL_SECTOR	all_twelve_registered_families_retained	unregistered_global_topologies	UNBOUNDED_REMAINDER
DYNAMICAL_CHARACTER	static_obstruction_separated_from_time_live_possibility	native_evolution_constraints_and_flux	OPEN_LOAD_BEARING
BRANCH_AND_BIFURCATION	global_survival_classes_and_density_interface_gate	on_shell_branch_catalog_and_density_bifurcations	OPEN_LOAD_BEARING
STABILITY_SPECTRUM	none	full_spectrum	NOT_ADDRESSED
REGIME_OF_VALIDITY	regular_nonzero_nonnull_dphi_and_registered_completion_types	null_zero_singular_and_unsupplied_profiles_retained_as_boundaries	EXPLICIT
