status_id	object	status	evidence	scope_guard
S01	local_nonnull_dphi_rank3_plus_rank3	DERIVED	independent_exact_timelike_and_spacelike_algebra	pointwise_domain_only
S02	global_survival_criterion	DERIVED_CONDITIONAL_ON_COMPLETE_BRANCH	metric_regular_and_dphi_nonzero_nonnull_everywhere	existence_not_selection
S03	static_compact_boundaryless_real_phi	OBSTRUCTED_GLOBALLY_FOR_EVERYWHERE_SPLIT	extreme_value_and_Fermat_critical_point	the_topology_remains_admissible
S04	retained_boundary_global_split	MATHEMATICALLY_POSSIBLE	exact_monotone_spacelike_and_timelike_controls	not_forced_by_current_UDT
S05	time_live_compact_spatial_escape	MATHEMATICALLY_POSSIBLE	timelike_dphi_can_remain_nonnull	static_obstruction_not_a_selection_law
S06	cap_extension	PROFILE_DEPENDENT	cohomogeneity_one_smooth_cap_forces_normal_criticality	general_multicoordinate_and_time_live_open
S07	mirror_double_or_quotient	LIFT_DEPENDENT	even_scalar_normal_criticality_and_odd_scalar_nondescend	ordinary_scalar_distinguished_from_twisted_field
S08	nonorientable_completion	PROJECTORS_CONDITIONAL_HODGE_TWISTED	orientation_independent_P_but_orientation_dependent_Hodge	no_ordinary_global_Hodge_endomorphism
S09	singular_completion	UNDEFINED_AT_TRUE_SINGULAR_STRATUM	inverse_metric_or_smooth_bundle_absent	regular_complement_classifiable
S10	registered_complete_field_witnesses	NONE	eleven_type_only_rows_and_one_conditional_control	no_local_or_type_row_promoted
S11	geometry_only_reduction	REACHED_STOPPING_GATE	missing_complete_g_phi_profiles_and_equations	no_branch_selected
S12	native_density_interface	OPEN_ABSENT	five_route_source_replay	native_mass_varied_closure_response_map_missing
S13	rho_tot_formal_bracket	UNCOUPLED_[0_INFINITY)	no_rho_argument_in_current_branch_system	not_physical_density_independence
S14	density_driven_branch_events	UNDEFINED	no_native_interface	no_appearance_disappearance_merger_singularity_or_window_claim
S15	complete_action_source_carrier_mass_scale	OPEN	not_supplied_by_this_audit	no_physics_promotion
