object	status	scope	forbidden_promotion
G137_position_constitution	CHOSE_WORKING_FOUNDATIONAL_CLARIFICATION	supplied regular complete pairs	called algebraically forced or canonized
pair_depth_and_position	DERIVED_DOWNSTREAM_OF_CHOICE	phi_AB and xi_AB on supplied calibrated pairs	called selected network values
matched_calibration	SUPPLIED_REQUIRED	shared endpoint state for composition	independent pair tapes silently identified
endpoint_descent	CANDIDATE_CLASSIFICATION	zero cycle residual on declared equivalent routes	imposed on every path-labelled relation
path_holonomy	OPEN_VALID_BRANCH	nonzero cycle residual when routes remain distinct	called inconsistency without route identification
reference_observer	CHOSE_GAUGE	root used to reconstruct bounded observer coordinates	called preferred physical center
X_max	WORKING_FOUNDATIONAL_FRAME	one positive common dimensional scale for displayed x coordinates	value inferred from normalized closure
proper_length_areal_radius_signal_distance	OPEN	no join in G138	identified with relational position
network_values_pair_realization_history	OPEN	supplied in G138	called selected by cycle algebra
CANON	UNCHANGED	no CANON.md authorization	working clarification called canon
