object_or_choice	status	owner_or_source	role
complete_metric_history	SUPPLIED_CONDITIONALLY	query input	evaluated, not selected
central_spherical_warped_product	SUPPLIED_BOUNDED_CLASS	G119	exact screen reduction arena
point_observer_null_exponential	SUPPLIED_QUERY_GIVES_DERIVED_F	G110	ones full observer relation
affine_normalization	SUPPLIED_CALIBRATION	G110	minus g of k and u_o equals one
areal_ruler_label	SUPPLIED_CALIBRATED_CHART	G115/G119	regular only where K of R nonzero
terminal_pair_readouts	DERIVED_CONDITIONALLY	kernel/G110	kappa phi beta c_eff from h_parallel
screen_map	DERIVED_IN_DECLARED_CLASS	G119	D_sky equals R times O2
endpoint_source_clock	SUPPLIED_QUERY	G114/G116	defines chi_s and frequency endpoint
source_phase_matching	OPEN	G114	boundary compatibility not imposed
common_event_direct_chart	DERIVED_FOR_SUPPLIED_QUERY	G123	query tangent graph not phase arrow
history_transfer_observations	OMITTED	bounded scope	no selector fit Xmax bootstrap action matter
